year,voulant_VERB être_VERB,voulant_VERB etre_VERB,voulant_VERB naître_VERB
1800,3.11272285280495e-07,0.0,0.0
1801,3.024101928872369e-07,0.0,0.0
1802,2.394488944901241e-07,0.0,0.0
1803,2.4379239604854774e-07,0.0,0.0
1804,3.78193199424004e-07,0.0,0.0
1805,2.3311596741848462e-07,0.0,0.0
1806,3.7173532518863794e-07,2.881669125542885e-09,2.881669125542885e-09
1807,3.7579808420673544e-07,0.0,0.0
1808,3.0138784978817057e-07,0.0,0.0
1809,3.388545861682246e-07,0.0,2.259030518203531e-09
1810,4.7504572853185323e-07,0.0,0.0
1811,2.8831382348215584e-07,0.0,0.0
1812,3.013945288898867e-07,0.0,0.0
1813,2.7894694665242525e-07,0.0,2.8757416448144113e-09
1814,2.5802752823267383e-07,0.0,0.0
1815,2.886029148996272e-07,0.0,0.0
1816,2.7579487138496006e-07,0.0,0.0
1817,4.343676707208033e-07,3.113746815941454e-09,1.556873407970727e-09
1818,3.457141524165763e-07,0.0,1.1921177378582115e-09
1819,3.3433890500589314e-07,0.0,0.0
1820,3.5836773548680867e-07,0.0,4.746592452420373e-09
1821,2.958446572165485e-07,0.0,9.86148829262845e-10
1822,3.4287604933069815e-07,0.0,0.0
1823,4.0716671101392876e-07,0.0,9.882686891060644e-10
1824,3.68844736087226e-07,0.0,0.0
1825,3.6630644295598813e-07,0.0,0.0
1826,4.70346355641027e-07,0.0,1.7615968683770689e-09
1827,3.4472600418666843e-07,0.0,0.0
1828,2.9809980128803204e-07,0.0,0.0
1829,3.5664412045832705e-07,0.0,8.57317605795771e-10
1830,2.6196457447724697e-07,0.0,0.0
1831,2.260724905056577e-07,0.0,0.0
1832,2.3406847260432073e-07,0.0,0.0
1833,2.733736277349408e-07,0.0,6.950177322551099e-09
1834,2.8283629482928063e-07,0.0,0.0
1835,2.942041206210888e-07,7.563087933704082e-10,0.0
1836,3.441023981309854e-07,6.048674894287842e-09,2.016224964762614e-09
1837,2.5744197440502603e-07,0.0,6.957890930081589e-10
1838,2.6447958667574767e-07,0.0,6.312161904276081e-10
1839,2.901462252680176e-07,1.3982950353153e-09,6.9914751765765e-10
1840,3.146626248451412e-07,1.2739377330817092e-09,0.0
1841,3.004816662155463e-07,0.0,1.2841097074556274e-09
1842,3.5151308708236684e-07,6.708265054555795e-10,0.0
1843,3.1070352868312057e-07,5.906911071384968e-10,0.0
1844,2.6180437373568566e-07,5.488561272137815e-10,2.195424508855126e-09
1845,2.539003691737207e-07,5.580227946389016e-10,1.1160455892778032e-09
1846,2.2305650126952514e-07,5.854501328173001e-10,0.0
1847,3.192788469164043e-07,5.393223645455691e-10,0.0
1848,3.177862666348119e-07,0.0,0.0
1849,2.538962693421354e-07,0.0,1.6758829879393033e-09
1850,2.7291764137515884e-07,2.0366988096043315e-09,1.3577992064028876e-09
1851,3.1860228322244666e-07,0.0,2.579775504329973e-09
1852,2.8841717636396424e-07,6.510545436100301e-10,0.0
