year,pourrait_VERB ôter_VERB,pourrait_VERB oter_VERB,pourrait_VERB noter_VERB
1800,4.087413785214267e-08,0.0,0.0
1801,2.8574191901498125e-08,0.0,0.0
1802,1.3427040812530322e-08,0.0,0.0
1803,3.1205427575287104e-08,0.0,0.0
1804,2.7190360185613827e-08,0.0,0.0
1805,2.842877711017877e-09,0.0,0.0
1806,5.76333825108577e-09,0.0,0.0
1807,1.1387820464392462e-08,0.0,1.1387820464392462e-08
1808,1.3596443970698147e-08,0.0,0.0
1809,2.710836710662079e-08,0.0,1.129515236897305e-08
1810,1.1700633351097167e-08,0.0,2.3401267590372754e-09
1811,7.521229861140455e-09,0.0,0.0
1812,1.0668832928217853e-08,0.0,0.0
1813,1.7254450312975678e-08,0.0,0.0
1814,0.0,0.0,0.0
1815,5.394447111228828e-09,0.0,0.0
1816,0.0,0.0,0.0
1817,4.3592454090912724e-08,1.556873407970727e-09,7.784366928831332e-09
1818,2.8610825708597076e-08,1.1921177378582115e-09,1.1921177378582115e-09
1819,2.173720581311045e-08,5.175524897538253e-09,4.140420006848444e-09
1820,3.322614716694261e-08,0.0,0.0
1821,4.043210211079895e-08,0.0,0.0
1822,1.0025615893027862e-08,0.0,2.0051231786055723e-09
1823,1.8777104315859106e-08,0.0,9.882686891060644e-10
1824,2.105278085196005e-08,8.421112696055388e-10,3.3684450784221553e-09
1825,2.905796137042671e-08,0.0,0.0
1826,4.4039921931471326e-08,0.0,1.7615968683770689e-09
1827,2.5808365222701468e-08,3.6869092223668076e-09,0.0
1828,1.1923991571904935e-08,0.0,7.337841001486822e-09
1829,3.8579290873030914e-08,1.714635211591542e-09,8.57317605795771e-10
1830,9.39315203396518e-09,0.0,3.1310507520032616e-09
1831,1.7150327380477393e-08,1.5591206103948707e-09,3.1182412207897414e-09
1832,2.1647950987357945e-08,0.0,1.3529969367098715e-09
1833,9.266902800675325e-09,0.0,1.1583628500844156e-09
1834,3.9205030333278046e-08,0.0,5.600718555598405e-09
1835,3.2521278114927554e-08,7.563087933704082e-10,0.0
1836,2.083432448785061e-08,6.720750067579218e-10,1.1425274948351216e-08
1837,2.365682938432201e-08,6.957890930081589e-10,2.7831563720326358e-09
1838,2.5248647617104325e-08,0.0,1.009945904684173e-08
1839,2.3771015378315496e-08,0.0,1.0487212875887053e-08
1840,2.93005673057678e-08,0.0,9.554533164646273e-09
1841,1.926164472365599e-08,1.2841097074556274e-09,2.8892468861840825e-08
1842,3.018719141323345e-08,0.0,2.95163662400455e-08
1843,1.1813821920725331e-08,0.0,3.603215859016018e-08
1844,1.0977122322231025e-08,0.0,1.3172547497219966e-08
1845,3.1807299905040054e-08,0.0,1.785672942844485e-08
1846,1.9905304071698993e-08,0.0,1.2294452567118697e-08
1847,2.9662729161827883e-08,0.0,4.314578916364553e-09
1848,1.287235473768078e-08,0.0,1.367687652020777e-08
1849,7.54147322368226e-09,8.379414939696517e-10,5.865590679832167e-09
1850,1.3577992064028876e-08,6.788996032014438e-10,2.7155984128057753e-09
1851,7.094382858952031e-09,6.449438760824933e-10,8.384270167027807e-09
1852,9.114764054629632e-09,0.0,1.8229528109259263e-08
1853,1.791579506971175e-08,0.0,1.851298847554972e-08
1854,2.0782657372819813e-08,0.0,9.871762074453727e-09
1855,1.0083180512765466e-08,0.0,1.539011762474729e-08
1856,5.694908100650764e-09,0.0,1.7602443946884705e-08
1857,1.5620829074691756e-08,0.0,2.9777204701986193e-08
1858,1.565976326389773e-08,4.893676019968041e-10,1.3212924976357954e-08
1859,7.129042689513199e-09,0.0,2.9025388315062628e-08
1860,8.238931314963338e-09,0.0,1.785101666484934e-08
1861,1.9807048445841247e-08,4.715963730639317e-10,2.3108222890755314e-08
1862,3.027050965442868e-08,0.0,2.0782737308877586e-08
1863,8.990317823531768e-09,9.989241656072068e-10,1.9479021062807078e-08
1864,1.0068928801842958e-08,1.4384183844029508e-09,2.205574922697906e-08
1865,1.4120533187167439e-08,0.0,1.97687466396701e-08
1866,1.4596838404656864e-08,0.0,4.135770836910524e-08
1867,1.0190904120577216e-08,0.0,4.076361648230886e-08
1868,8.397785578040384e-09,0.0,1.679557115608077e-08
1869,1.8557372527538973e-08,0.0,1.660396442559886e-08
1870,2.2936195165357276e-08,0.0,1.6055336615750093e-08
1871,1.274541272522356e-08,0.0,2.0180236148803488e-08
1872,1.3304146229131675e-08,0.0,7.256807155187062e-09
1873,8.979006871356887e-09,0.0,1.616221290134945e-08
1874,1.0754296120296658e-08,0.0,2.1508592240593316e-08
1875,1.1443054503956773e-08,1.1443054281912168e-09,2.1169650921137873e-08
1876,7.255217759905008e-09,6.04601479992084e-10,2.5997863417615008e-08
1877,1.793596560162314e-08,0.0,2.1028373708986692e-08
1878,3.623453181944569e-08,0.0,2.5968081018845623e-08
1879,1.1607718342077078e-08,0.0,6.1704184872724e-08
1880,5.134277003548959e-09,0.0,3.2089232604448625e-08
1881,1.743126887276958e-08,1.3945015142624584e-09,2.4403776777148778e-08
1882,3.9932310791357395e-09,0.0,4.9249848643739824e-08
1883,1.2638677659992936e-08,0.0,2.6541224329434954e-08
1884,2.6406787867472303e-09,0.0,5.743476449993068e-08
1885,7.7347630522695e-09,0.0,3.0294486919046903e-08
1886,6.4534639854230136e-09,0.0,1.355227396970804e-08
1887,1.9586774424595887e-09,0.0,2.415702127223085e-08
1888,6.974675947901687e-09,0.0,4.12139939953704e-08
1889,3.132568426877924e-09,0.0,3.3205225236088154e-08
1890,9.176140736144589e-09,0.0,4.915789730830511e-08
1891,4.461953917456185e-09,0.0,3.250852387282066e-08
1892,5.014809900671935e-09,0.0,3.761107336686109e-08
1893,4.926733243593162e-09,0.0,5.2962381147381166e-08
1894,8.822155450616265e-09,0.0,4.537108111435373e-08
1895,4.814891596538473e-09,0.0,3.791727110069587e-08
1896,7.66613794667137e-09,0.0,4.009979548413867e-08
1897,6.409385022720926e-09,5.826713556089658e-10,2.330685333618021e-08
1898,7.355861253444118e-09,5.6583548957434e-10,1.867257104493092e-08
1899,8.291367592505594e-09,0.0,1.1055156790007459e-08
1900,9.34389543516545e-09,0.0,3.633737222230593e-08
1901,6.706486921359556e-09,5.588738916095792e-10,5.253414414596591e-08
1902,4.910283735171106e-09,4.910283846193408e-10,2.258730624760119e-08
1903,0.0,0.0,4.6981917023458664e-08
1904,1.6123875568041512e-09,0.0,3.9772224624812225e-08
1905,4.1286072338664326e-09,0.0,4.335037573355294e-08
1906,8.230695236477459e-09,0.0,7.253299827425508e-08
1907,8.228549397415463e-09,0.0,2.9314207949937554e-08
1908,2.9468334439286537e-09,0.0,2.7503778810000767e-08
1909,1.6502950117569526e-09,0.0,3.905698164885507e-08
1910,5.34415089958884e-09,0.0,4.11499598840237e-08
1911,1.3300935464144459e-08,0.0,4.256299490634774e-08
1912,9.897900277167082e-09,1.0418842455450772e-09,4.844761747335724e-08
1913,5.833288518886093e-09,0.0,4.8787505591008085e-08
1914,4.018046340092951e-09,0.0,5.6252648761301316e-08
1915,2.3561523843085297e-09,0.0,7.539687629787295e-08
1916,5.493730803607377e-09,0.0,4.394984642885902e-08
1917,1.0966424435210342e-09,0.0,4.1672411299487067e-08
1918,2.2972752589112133e-09,0.0,4.3648228142956214e-08
1919,1.8415696745321952e-09,0.0,3.6831394822911534e-08
1920,4.543339038320937e-09,0.0,3.710393414735336e-08
1921,1.5145494858259667e-09,0.0,5.9067428281878165e-08
1922,1.4755870969551665e-09,0.0,3.9103056792555435e-08
1923,8.492758496458919e-09,0.0,5.307974149104666e-08
1924,0.0,0.0,4.640984840875717e-08
1925,1.0998178368026856e-08,0.0,5.169143690864075e-08
1926,1.1146138456652466e-09,0.0,5.795991953050361e-08
