year,doivent_VERB être_VERB,doivent_VERB etre_VERB,doivent_VERB naître_VERB
1800,5.174351463210769e-05,1.1633408547595536e-07,3.175606195782166e-07
1801,5.226695793680847e-05,1.2858386355674156e-07,2.690736380372982e-07
1802,5.533059811568819e-05,8.280008501060365e-08,2.416867346255458e-07
1803,5.626923666568473e-05,1.0336797862109393e-07,4.875848276242323e-07
1804,5.742357097915374e-05,1.0381774084855522e-07,4.721235313809302e-07
1805,6.128391396487132e-05,2.587018839150801e-07,3.752598445316835e-07
1806,6.121817568782717e-05,1.8442682847563674e-07,2.939302419235901e-07
1807,6.987851520534605e-05,1.6512339096053097e-07,1.7935816742919997e-07
1808,5.742004941566847e-05,1.33698361270973e-07,2.3567169193938753e-07
1809,6.427393964258954e-05,2.575294826279162e-07,1.6265019553429738e-07
1810,6.221226794878021e-05,1.4976810946976116e-07,3.3463811632827856e-07
1811,5.7261633628513664e-05,1.178326058948187e-07,2.0808737133393151e-07
1812,6.927006324985996e-05,1.1202274929900113e-07,1.893717893608482e-07
1813,6.154950096970424e-05,9.489947183638492e-08,2.0992914073758584e-07
1814,5.063318167231046e-05,7.552024783308298e-08,2.2026739543434815e-07
1815,5.20078647241462e-05,7.012781111370714e-08,1.5643897199879575e-07
1816,6.454990216298029e-05,1.1819779643928996e-07,2.897004947044479e-07
1817,4.532525417744182e-05,5.604744224285696e-08,2.3041727104100573e-07
1818,4.650212940759957e-05,6.318223921830679e-08,2.813397941281437e-07
1819,5.125426105223596e-05,7.763287301898458e-08,2.2565289725662296e-07
1820,4.4622716814046726e-05,8.42520151422832e-08,1.9342364510066545e-07
1821,4.5761251385556534e-05,8.382264837791809e-08,2.504818041870749e-07
1822,4.590929893311113e-05,6.616906489398389e-08,3.127992158624693e-07
1823,4.511347651714459e-05,6.819053699480548e-08,1.7195874590925087e-07
1824,4.611906479112804e-05,4.126345132249298e-08,1.1873768812620256e-07
1825,4.6093853597994894e-05,5.3713202330385457e-08,2.9674342272301146e-07
1826,4.560774323181249e-05,5.372870370834448e-08,1.8849085847705283e-07
1827,5.649911690852605e-05,5.530363844652442e-08,1.963279174788113e-07
1828,5.135755054652691e-05,6.237164740241496e-08,1.4859128327771032e-07
1829,5.1530791097320616e-05,9.859152588775899e-08,1.2602568233432976e-07
1830,5.54957878193818e-05,7.931995327226105e-08,1.628146435450617e-07
1831,5.281833000481129e-05,9.822459823283225e-08,1.5747117743103445e-07
1832,5.8471116062719375e-05,8.253281391645828e-08,1.718306066322839e-07
1833,5.355690518626943e-05,7.761030984543282e-08,1.9692168962137657e-07
1834,5.5073731346055865e-05,1.1014746537085784e-07,1.8762406739369908e-07
1835,4.850510958931409e-05,9.529490796467144e-08,1.5428699384756328e-07
1836,4.624884240911342e-05,1.1626897444827478e-07,1.384474472843067e-07
1837,4.659003752749413e-05,1.0854309673291596e-07,1.4541991788519226e-07
1838,4.436439849087037e-05,1.218247216439039e-07,1.3697390954803268e-07
1839,5.020159005653113e-05,1.8597324658031766e-07,9.57832071435405e-08
1840,4.9882306484505534e-05,1.6306403693988614e-07,1.5159858435254137e-07
1841,4.9756039516068995e-05,1.5088289551101752e-07,1.3418946309684543e-07
1842,4.841690315515734e-05,1.140405094801622e-07,1.1001554867107188e-07
1843,4.837287633563392e-05,1.2995204135002325e-07,1.3408687493665639e-07
1844,5.026589133194648e-05,1.3831174117129308e-07,1.0812465944809446e-07
1845,5.089112164569087e-05,1.5234021655263774e-07,1.322514009416409e-07
1846,4.9645586841506884e-05,1.340680795269833e-07,1.2352997202924598e-07
1847,5.2760289690922946e-05,1.8498756837459496e-07,1.310553301436812e-07
1848,5.2745279390364885e-05,1.198738023289181e-07,8.20612626739603e-08
1849,5.624514597002417e-05,1.4915358947931168e-07,1.2736710175431654e-07
1850,4.7546735004289076e-05,1.167707299742915e-07,9.911934029105396e-08
1851,4.944720058119856e-05,1.4575731843713413e-07,1.1093034402165358e-07
1852,5.380380025599152e-05,1.49091486489894e-07,1.1718982051434068e-07
1853,4.662944047595374e-05,1.2003582794406498e-07,1.1884144157647825e-07
1854,4.6489247324643657e-05,1.4807643755609945e-07,1.1170678249072807e-07
1855,4.519175490713678e-05,1.204674759947011e-07,1.146298416188074e-07
1856,4.9679270887281746e-05,1.4806761772234722e-07,1.102741293834697e-07
1857,4.1862844227580354e-05,1.386348515985958e-07,8.786716421127494e-08
1858,4.3366777390474454e-05,1.4974648498977672e-07,1.0668213690223638e-07
1859,4.329722287366167e-05,1.0388033855335266e-07,9.318677030023537e-08
1860,4.265981260687113e-05,1.0756382290422195e-07,1.1580275582900867e-07
1861,4.480967254494317e-05,7.875659147060787e-08,1.2968899909537868e-07
1862,4.483242810238153e-05,1.4141296855729735e-07,1.0436548336656415e-07
1863,4.482122676563449e-05,1.1437681846082626e-07,9.689564706150122e-08
1864,4.338893268140964e-05,1.0884032652924702e-07,9.109982812560702e-08
1865,4.484587043407373e-05,1.0072647271819335e-07,7.248540612181387e-08
1866,4.163067205809057e-05,1.0753004353603046e-07,9.244664767038557e-08
1867,4.279840140952729e-05,1.0239432413072791e-07,7.036576477048584e-08
