year,durent_VERB être_VERB,durent_VERB etre_VERB,durent_VERB naître_VERB
1800,6.288328791015374e-07,0.0,3.144164484325529e-09
1801,5.952956598775927e-07,0.0,9.524730337773235e-09
1802,3.7819498288627074e-07,0.0,1.7902721083373763e-08
1803,4.680814242874476e-07,0.0,9.751696339321825e-09
1804,4.943701696902281e-07,0.0,1.730295728918918e-08
1805,4.804463173968543e-07,0.0,3.4114531644036106e-08
1806,4.437770542153885e-07,0.0,0.0
1807,6.491057433777314e-07,0.0,0.0
1808,5.506559546120116e-07,0.0,2.2660739951163578e-09
1809,5.286131568027486e-07,0.0,1.8072244145628247e-08
1810,5.452495202007412e-07,2.3401267590372754e-09,0.0
1811,4.287101376121427e-07,0.0,1.0028307073639553e-08
1812,4.774302624355187e-07,0.0,2.6672082320544632e-09
1813,4.68745895432221e-07,0.0,0.0
1814,9.314164231000177e-07,3.1466771410748606e-09,3.1466771410748606e-09
1815,7.39039251129725e-07,0.0,3.236668177919455e-08
1816,5.539073413274309e-07,0.0,0.0
1817,8.111310307867825e-07,1.556873407970727e-09,0.0
1818,5.138027177054028e-07,0.0,1.1921176934492905e-08
1819,6.676427233287541e-07,0.0,3.1053151161586356e-09
1820,4.675393654451909e-07,0.0,5.933240565525466e-09
1821,6.005646469020576e-07,0.0,3.254291058851777e-08
1822,6.346214718178089e-07,0.0,1.804610860745015e-08
1823,5.998791152705962e-07,9.882686891060644e-10,2.569498569471307e-08
1824,6.442151061492041e-07,0.0,8.421112696055388e-09
1825,5.970090342088952e-07,8.805443041381977e-10,5.283265824829186e-09
1826,6.244860628612514e-07,8.807984341885344e-10,8.80798456392995e-09
1827,9.309445658800541e-07,0.0,2.027800150017356e-08
1828,8.823753887554631e-07,0.0,1.3758452155343548e-08
1829,7.321492603296065e-07,0.0,1.1145129263923081e-08
1830,8.787815772848262e-07,0.0,1.0436835840010872e-09
1831,6.361212285810325e-07,0.0,4.677361609140007e-09
1832,9.646868193158298e-07,1.3529969367098715e-09,1.3529969367098715e-09
1833,7.598860065627377e-07,0.0,1.1583628278799551e-08
1834,1.045467456606275e-06,0.0,3.733812370398937e-09
1835,1.1722786439349875e-06,0.0,4.386591001548368e-08
1836,9.18054468002083e-07,3.36037508930076e-09,6.72075017860152e-09
1837,1.0304636361979647e-06,0.0,4.87052354003481e-09
1838,1.1652250577753875e-06,3.787297142565649e-09,8.2058102535143e-09
1839,9.536371976537339e-07,2.7965900706306e-09,1.0487212875887053e-08
1840,1.0701077144403826e-06,6.369688665408546e-10,2.93005673057678e-08
1841,1.2077051678716089e-06,1.2841097074556274e-09,1.7977535904378783e-08
1842,1.2490789913499611e-06,0.0,8.049918065466954e-09
1843,1.103411022995715e-06,1.7720733769266417e-09,1.4176587015413133e-08
1844,1.292556135013001e-06,2.195424508855126e-09,1.4819115712327857e-08
1845,1.194726792164147e-06,2.7901139176833567e-09,2.7901139176833567e-08
1846,1.1597767297644168e-06,5.854501328173001e-10,1.1123552745573306e-08
1847,9.966677225747844e-07,0.0,6.47186837454683e-09
1848,1.2381595979604754e-06,4.02261068899179e-09,3.218088684420195e-09
1849,1.2703193306151661e-06,8.379414939696517e-10,2.513824481908955e-09
1850,9.68789777289203e-07,2.7155984128057753e-09,6.788996032014438e-09
1851,1.0228809514956083e-06,2.579775504329973e-09,1.805842941848823e-08
1852,9.088721526495647e-07,0.0,1.3021090872200602e-08
1853,1.0719617193899467e-06,0.0,7.166318205520383e-09
1854,1.0131545877811732e-06,2.0782657816909023e-09,5.7152309551611324e-09
1855,1.1489519238239154e-06,1.0613874223963649e-09,2.653468555990912e-09
1856,1.0520049045226187e-06,1.5531567143511893e-09,1.2425253714809514e-08
1857,9.933870614986517e-07,1.9526036343364694e-09,2.4407544874094356e-09
1858,1.0447997738083359e-06,2.4468380654951716e-09,2.936205500958522e-09
1859,1.2944304899065173e-06,2.036869339860914e-09,2.036869339860914e-09
1860,1.0788422741825343e-06,4.577183909670879e-10,6.408057640072684e-09
1861,9.762045465322444e-07,1.8863854922557266e-09,9.431927239234028e-09
1862,1.2456088143153465e-06,9.035972525772706e-10,8.132375661773494e-09
1863,1.068848860086291e-06,9.989241656072068e-10,8.990317823531768e-09
1864,1.1531320751601015e-06,2.3973640850272204e-09,1.0068928801842958e-08
1865,1.1428218158471282e-06,9.41368871743009e-10,1.3179164426446732e-08
1866,1.168720245914301e-06,3.8924903300596725e-09,2.432806400776144e-09
1867,1.204953036904044e-06,2.91168689159349e-09,2.91168689159349e-09
1868,1.1124595857836539e-06,4.44588676984381e-09,3.457911734727759e-09
1869,9.679134791440447e-07,2.441759683335931e-09,8.30198221279943e-09
1870,1.1944023299292894e-06,1.7202146374017957e-09,5.734048791339319e-09
1871,1.460411908738024e-06,0.0,4.248470908407853e-09
1872,1.1272240953985602e-06,2.4189357183956872e-09,5.442605477412599e-09
1873,1.0613185850161244e-06,2.3944017879529156e-09,8.979006871356887e-09
1874,1.1859599453600822e-06,2.3898436563030145e-09,2.3898436563030145e-09
1875,1.1042546930184471e-06,4.005069165202713e-09,2.8607636259891933e-09
1876,1.0495881497263326e-06,1.209202959984168e-09,4.836811839936672e-09
1877,1.123781089518161e-06,0.0,1.4843558382438005e-08
1878,1.0876398164327838e-06,5.435179861734696e-09,3.6234530931267273e-09
1879,1.0129260772373527e-06,1.221865053580018e-09,1.0385853066452455e-08
1880,8.940060070017353e-07,2.5671385017744797e-09,1.0910338410496934e-08
1881,9.83123527475982e-07,2.7890030285249168e-09,6.2752567586699115e-09
1882,1.0023010190707282e-06,1.9966155395678697e-09,7.320923423037584e-09
1883,1.000983274934697e-06,1.8958017378167824e-09,1.2638677882037541e-09
1884,1.0371265943831531e-06,0.0,6.601696966868076e-09
1885,1.0177658396059996e-06,1.2891271383708158e-09,2.5782542767416317e-09
1886,1.0099671499119722e-06,1.2906927748801422e-09,7.098810428374236e-09
1887,1.0733551789599005e-06,1.3057849246322917e-09,1.3057849246322917e-09
1888,1.0094258868775796e-06,1.268122939990235e-09,4.4384300679212174e-09
1889,1.0744709015853005e-06,1.8795409673089125e-09,8.14467782106476e-09
1890,9.208912956637505e-07,2.6217545912032847e-09,0.0
1891,9.140631505033525e-07,1.2748440081367107e-09,2.5496880162734215e-09
1892,9.409037033947243e-07,0.0,1.8805537127519756e-09
1893,9.527070687909145e-07,1.2316833108982905e-09,4.926733243593162e-09
1894,9.540530072627007e-07,1.2603078580752936e-09,2.520615716150587e-09
1895,9.93673211269197e-07,6.018614495673091e-10,7.22233739480771e-09
1896,1.0844636335605173e-06,1.7691086373616827e-09,6.486732040400511e-09
1897,1.0155961263080826e-06,2.330685422435863e-09,1.7480140668268973e-09
1898,9.087318062483973e-07,3.960848538042683e-09,1.6975064687230201e-09
1899,8.932566970543121e-07,2.7637891975018647e-09,5.527578395003729e-10
1900,1.0844109965546522e-06,4.15284251431558e-09,1.038210628578895e-09
1901,1.0490063004908734e-06,5.588738916095792e-10,5.029864968975062e-09
1902,9.295167160416895e-07,1.4730852093691738e-09,2.455141867585553e-09
1903,9.639393283578102e-07,2.7001101354784396e-09,2.1600881083827517e-09
1904,1.0281657978339354e-06,1.0749250378694342e-09,5.374625189347171e-10
1905,9.500957389718678e-07,5.160759042333041e-10,0.0
1906,1.023178356263088e-06,2.572092316910357e-09,5.658602919567102e-09
1907,9.874258921627188e-07,2.057137349353866e-09,0.0
1908,9.537917549096164e-07,1.964555629285769e-09,1.964555629285769e-09
1909,9.241652492164576e-07,2.7504918342913243e-09,6.0510818578052294e-09
1910,9.400361022926518e-07,0.0,1.068830135508847e-09
1911,9.576673392075463e-07,5.320374141248863e-10,5.852411444351446e-09
1912,9.991670140152564e-07,5.209421227725386e-10,4.688478938419394e-09
1913,9.794622428671573e-07,1.590896969716482e-09,5.30298971401777e-10
1914,1.0748273098215577e-06,0.0,7.366418142140674e-09
1915,1.0897205129367649e-06,0.0,1.1780761921542648e-09
1916,1.1119311693619238e-06,3.2962386153911893e-09,0.0
1917,1.0703230373110273e-06,0.0,0.0
1918,1.0728275583460345e-06,1.1486376294556067e-09,1.1486376294556067e-09
1919,1.076397438737331e-06,3.6831393490643904e-09,3.6831393490643904e-09
1920,9.93476760413614e-07,7.572231730534895e-10,7.572231730534895e-10
1921,9.375061154059949e-07,0.0,1.5145494858259667e-09
1922,1.0284842346663936e-06,0.0,7.377935484775833e-10
1923,9.681745041234535e-07,1.0615948120573648e-09,6.369568872344189e-09
