year,pourraient_VERB être_VERB,pourraient_VERB etre_VERB,pourraient_VERB naître_VERB
1800,3.936494067602325e-06,9.432493897065797e-09,9.746909768182377e-08
1801,3.7860802422073903e-06,1.904946067554647e-08,1.04772034603684e-07
1802,3.844609182124259e-06,4.475680270843441e-09,2.215461734067503e-07
1803,3.955287866119761e-06,1.5602713787643552e-08,2.6134546260436764e-07
1804,4.380119662528159e-06,0.0,1.878606781247072e-07
1805,3.110108309556381e-06,2.842877711017877e-09,1.449867568226182e-07
1806,4.734582489618333e-06,8.645007376628655e-09,1.2391177506287931e-07
1807,6.4255777942889836e-06,1.4234775136401367e-08,2.306033621835013e-07
1808,4.457367595023243e-06,4.5321478125970316e-08,1.654234011994049e-07
1809,4.2492365537327714e-06,2.4849335034105025e-08,1.807224379035688e-07
1810,4.937667654303368e-06,9.360507036149102e-09,1.3572734758326988e-07
1811,5.262354079604847e-06,1.0028307073639553e-08,1.7549537290051376e-07
1812,6.3186162151396275e-06,2.9339290108509886e-08,1.226915742336132e-07
1813,4.66157734990702e-06,8.627225156487839e-09,1.2940837734731758e-07
1814,5.0346834541414864e-06,9.440030979135372e-09,1.5104049566616595e-07
1815,5.2137329475954175e-06,1.0788894222457657e-08,1.5104451733805035e-07
1816,4.934178832627367e-06,9.270415546325239e-09,1.4369143741532753e-07
1817,5.282471647660714e-06,1.0898113522728181e-08,1.55687345682054e-07
1818,5.700706878997153e-06,9.536941902865692e-09,1.9073883095188648e-07
1819,5.827640961797442e-06,7.24573512300708e-09,2.3600394172262895e-07
1820,6.004439455864485e-06,7.119888678630559e-09,2.3495633172387898e-07
1821,5.569768745772308e-06,1.0847637454958203e-08,2.2878653282987216e-07
1822,5.676503860740922e-06,6.015369535816717e-09,2.456275751683279e-07
1823,5.851538844581228e-06,3.9530747564242574e-09,1.4922856905741355e-07
1824,5.936042271059705e-06,7.57900142644985e-09,1.6673803315825353e-07
1825,5.928704922553152e-06,4.4027217427355936e-09,1.831532188134588e-07
1826,6.694948751828633e-06,7.0463874735082754e-09,2.0082204343907506e-07
1827,8.33149351819884e-06,5.530363722527909e-09,3.336652980578947e-07
1828,7.934040695545264e-06,8.255071293206129e-09,1.9445278098828567e-07
1829,8.736066774872597e-06,6.001223074036943e-09,2.2375989772172034e-07
1830,8.454881026409566e-06,1.2524203230057651e-08,2.2961039292113128e-07
1831,8.57204486237606e-06,1.4032085715598441e-08,2.1983601072861347e-07
1832,8.47652609081706e-06,1.7588959622116818e-08,2.0024354796532862e-07
1833,8.639070074423216e-06,8.108539617524002e-09,2.2703912350152677e-07
1834,1.0068225492432248e-05,1.773560920348416e-08,2.137607566510269e-07
1835,8.00552879809402e-06,1.5126175867408165e-08,2.6319546009290207e-07
1836,7.538665158790536e-06,2.2850549896702432e-08,2.1976852337957098e-07
1837,7.899989213910885e-06,2.5048407792382932e-08,2.1151988960355084e-07
1838,7.517153790104203e-06,1.009945904684173e-08,2.1524472515466186e-07
1839,8.275808795588091e-06,2.4470162784950844e-08,2.4330333303623775e-07
1840,8.64430421643192e-06,1.8472096741106725e-08,2.0446699977583194e-07
1841,8.724883628019597e-06,2.5040138851295524e-08,2.1701454500089312e-07
1842,9.064878213393968e-06,2.6162233268678392e-08,2.8577210287039634e-07
1843,8.52544508234132e-06,1.1813821920725331e-08,1.8488631781110598e-07
1844,8.896408871805761e-06,3.1284798751585186e-08,2.3765470302805625e-07
1845,9.062289791472722e-06,2.5111025980795176e-08,2.003301773356725e-07
1846,9.240744475391693e-06,2.0490753982471688e-08,2.6111075612789136e-07
1847,1.0075081263494212e-05,3.937053350000497e-08,2.335265776309825e-07
1848,1.0331673365726601e-05,3.459445352405055e-08,2.1239385716853576e-07
1849,1.089994293579366e-05,3.016589289472904e-08,2.371374421272776e-07
1850,9.977787158277351e-06,2.7155984128057753e-08,1.6836710869938543e-07
1851,9.51614674704615e-06,3.224719336003545e-08,2.0702698577679257e-07
1852,8.697437806404196e-06,2.8646400807019745e-08,1.6536785096832318e-07
1853,8.493281711707823e-06,2.448492075757258e-08,1.2959091577613435e-07
1854,8.557259207009338e-06,2.1302223984775992e-08,2.16139639519497e-07
1855,7.625537818967132e-06,1.539011762474729e-08,2.207685838584439e-07
1856,8.116279786918312e-06,1.7084724746041502e-08,1.9103828208244522e-07
1857,7.118216672097333e-06,1.513267733344037e-08,1.4302821682576905e-07
1858,7.301854111574357e-06,1.9085335978274998e-08,1.433847103271546e-07
1859,7.670850209251512e-06,1.5276519604867644e-08,2.1438049202515685e-07
1860,7.888318577897735e-06,1.373155189554609e-08,1.7530614115912613e-07
1861,8.373664968530647e-06,2.1221836732365773e-08,1.93354509292476e-07
1862,8.297733984363731e-06,2.304173032929846e-08,1.617439124856901e-07
1863,8.140233148878906e-06,2.1476870060155306e-08,1.7031656796007155e-07
1864,7.458678737748414e-06,2.349416661218129e-08,1.8987122984981397e-07
