year,fallait_VERB ôter_VERB,fallait_VERB oter_VERB,fallait_VERB noter_VERB
1800,0.0,3.144164484325529e-09,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0,0.0
1802,3.1329761895904085e-08,0.0,1.1189200677108602e-08
1803,1.1702034896643454e-08,0.0,0.0
1804,4.449331569844617e-08,0.0,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0,0.0
1806,5.76333825108577e-09,0.0,0.0
1807,0.0,0.0,0.0
1808,2.2660739062985158e-08,0.0,0.0
1809,2.4849335034105025e-08,0.0,4.518061036407062e-09
1810,2.3401266702194334e-08,0.0,2.3401267590372754e-09
1811,1.504245972228091e-08,0.0,0.0
1812,2.400487453257938e-08,0.0,0.0
1813,1.4378708002027452e-08,0.0,0.0
1814,9.125363931161701e-08,0.0,0.0
1815,1.3486118000116676e-08,0.0,0.0
1816,1.1588019432906549e-08,0.0,0.0
1817,5.7604317760251433e-08,1.556873407970727e-09,7.784366928831332e-09
1818,2.1458118837358597e-08,0.0,1.1921177378582115e-09
1819,3.2088255608186955e-08,2.070210003424222e-09,2.070210003424222e-09
1820,3.20394981656591e-08,0.0,0.0
1821,6.114122896860863e-08,9.86148829262845e-10,5.9168927535324656e-09
1822,5.413832582235045e-08,1.0025615893027862e-09,2.0051231786055723e-09
1823,6.522573414713406e-08,0.0,0.0
1824,7.579001248814166e-08,0.0,4.210556348027694e-09
1825,2.3774695989686734e-08,0.0,0.0
1826,3.2589543508265706e-08,0.0,2.642395191543301e-09
1827,2.6730091917670507e-08,1.8434546111834038e-09,0.0
1828,4.586150570418113e-09,0.0,0.0
1829,4.372319750700626e-08,0.0,4.286587973467704e-09
1830,2.817945699007396e-08,0.0,0.0
1831,3.274153215215847e-08,0.0,1.5591206103948707e-09
1832,7.441482807735156e-08,0.0,4.058990921151917e-09
1833,1.9692167896323554e-08,0.0,2.3167257001688313e-09
1834,3.080395316601425e-08,0.0,1.8669061851994684e-09
1835,2.3445572594482655e-08,0.0,0.0
1836,1.008112526790228e-08,0.0,1.3441500135158435e-09
1837,2.922314124020886e-08,0.0,6.957891152126194e-09
1838,2.5248647617104325e-08,0.0,0.0
1839,2.7965899818127582e-08,0.0,3.4957374772659477e-09
1840,2.8663599493938818e-08,0.0,0.0
1841,3.467096121312352e-08,2.5682194149112547e-09,1.2841097074556274e-09
1842,3.6224630406422875e-08,1.341653010911159e-09,4.695785538189057e-09
1843,3.4260082770742883e-08,0.0,1.1813822142769936e-09
1844,2.4698525891153622e-08,0.0,1.097712254427563e-09
1845,3.124927516751086e-08,0.0,1.674068439427856e-09
1846,3.102885770545072e-08,1.1709002656346001e-09,3.5127007969038004e-09
