year,veut_VERB être_VERB,veut_VERB etre_VERB,veut_VERB naître_VERB
1800,3.735267455340363e-06,2.5153315874604232e-08,1.8864987794131594e-08
1801,4.305178208596772e-06,2.3811825844433088e-09,4.7623651688866175e-09
1802,3.2739601465436863e-06,4.475680270843441e-09,0.0
1803,3.853870111925062e-06,3.900678446910888e-09,1.755305234496518e-08
1804,5.4677343541698065e-06,2.4718509461507665e-09,5.9324420931261557e-08
1805,3.582026010917616e-06,0.0,3.1271653710973624e-08
1806,4.310977146815276e-06,5.76333825108577e-09,5.187004603612877e-08
1807,3.6213268685969524e-06,5.693910232196231e-09,1.1387820464392462e-08
1808,3.3130002066172892e-06,4.5321479902327155e-09,2.7192887941396293e-08
1809,3.3411060940125026e-06,2.259030518203531e-09,3.840352036377226e-08
1810,4.596009148372104e-06,1.1700633351097167e-08,2.574139479349924e-08
1811,2.943308118119603e-06,0.0,5.0141535368197765e-09
1812,3.7660979614884127e-06,1.0668832928217853e-08,1.0668832928217853e-08
1813,3.6263102174416417e-06,2.8757416448144113e-09,7.189353823378042e-08
1814,3.634411996245035e-06,3.1466771410748606e-09,2.5173417128598885e-08
1815,3.4308684462303063e-06,1.618334155573109e-08,2.6972236000233352e-08
1816,4.227309545967728e-06,6.952811659743929e-09,4.6352077731626196e-08
1817,4.542956503428286e-06,6.227493631882908e-09,2.1796227045456362e-08
1818,4.4215648813406006e-06,7.152706205104664e-09,5.960588467246453e-09
1819,4.520303718891228e-06,5.175525008560555e-09,2.173720581311045e-08
1820,4.502142928686226e-06,8.306536791735653e-09,1.0679833017945839e-08
1821,5.3971925808582455e-06,2.9584463767662328e-09,2.1695274909916407e-08
1822,4.9105465222964995e-06,7.017931125119503e-09,2.606660132187244e-08
1823,4.014347268821439e-06,9.882686891060644e-10,1.2847492847356534e-08
1824,3.5486568776832428e-06,4.210556348027694e-09,2.947389532437228e-08
1825,4.085725777258631e-06,7.924898959288385e-09,1.8491430608946757e-08
1826,3.5002929053007392e-06,4.403992281964975e-09,1.4973572604048968e-08
1827,3.707187261170475e-06,7.373818444733615e-09,1.566936447261469e-08
1828,3.607466169341933e-06,4.586150570418113e-09,1.834460228167245e-08
1829,3.6838937376160175e-06,2.571952817387313e-09,7.715858174606183e-09
1830,4.041142801725073e-06,7.305785310052215e-09,4.696576283436116e-08
1831,3.735653081093915e-06,7.795603274018958e-09,4.677361609140007e-09
1832,3.6260316846892238e-06,5.411987746839486e-09,2.4353944638733083e-08
1833,3.6963358525099466e-06,4.6334514003376626e-09,1.50587169400751e-08
1834,4.085724413016578e-06,9.334531370086552e-09,2.8003592333902816e-08
1835,4.066672318003839e-06,1.0588323107185715e-08,1.663879345414898e-08
1836,4.090920356247807e-06,1.0753200108126748e-08,3.024337402735e-08
1837,3.807357870755368e-06,5.566312633042969e-09,1.6003149028165353e-08
1838,3.161761924275197e-06,3.787297142565649e-09,1.3255539776935166e-08
1839,3.1923075312079163e-06,8.38977065598101e-09,1.3982949909063791e-08
1840,3.634544327724143e-06,6.3696887764308485e-09,1.3376346252869098e-08
1841,3.5171765375707764e-06,5.778493683550323e-09,1.7977535904378783e-08
1842,3.5989842217531987e-06,4.695785538189057e-09,3.219967226186782e-08
1843,3.649289737950312e-06,1.0041748765843295e-08,1.4767278067040479e-08
1844,4.131788955419324e-06,8.232841963717874e-09,2.4149668931272572e-08
1845,3.653375188150676e-06,1.0044410470033682e-08,3.013322924516615e-08
1846,3.833527443930507e-06,7.025401371762996e-09,2.4003455223464698e-08
1847,3.3518886084493715e-06,1.5640348571821505e-08,1.5640349459999925e-08
1848,3.5431155538390158e-06,1.4481399079890878e-08,1.206783295515379e-08
1849,3.52019219462818e-06,5.865590679832167e-09,1.8434713311421547e-08
1850,3.410112640267471e-06,3.394498016007219e-09,1.3577992064028876e-08
1851,3.269220542279072e-06,7.094382636907426e-09,3.611685883697646e-08
1852,3.5886125715478556e-06,1.3021090872200602e-09,2.539112742283578e-08
1853,3.727679768417147e-06,1.0152283902442605e-08,1.4929829816878737e-08
1854,4.18666650148225e-06,1.7145692698949944e-08,5.195664343204953e-08
1855,3.828424269158859e-06,9.552486801567284e-09,3.131092896069276e-08
1856,4.17126148022362e-06,2.5885946719483854e-09,3.727576114442854e-08
1857,3.7006720958743244e-06,6.345961978126979e-09,1.5620829074691756e-08
1858,3.7607899230351904e-06,1.9085335978274998e-08,2.6915218498402282e-08
1859,4.052351414429722e-06,8.14747713739905e-09,3.106225676674512e-08
1860,3.683717523017549e-06,7.323494255473406e-09,2.1055045706930287e-08
1861,4.099115813005483e-06,5.187560159214399e-09,2.357981898626349e-08
1862,3.9997730709728785e-06,9.939570055905733e-09,2.6656119089807362e-08
1863,4.160019670962356e-06,9.489779628779615e-09,4.0955889346605545e-08
1864,4.236142103763996e-06,6.712618905169165e-09,3.1165733105353866e-08
1865,3.85302291761036e-06,6.589582213223366e-09,1.6003271596787272e-08
1866,3.940173428418348e-06,1.3137154752929092e-08,1.216403244796993e-08
1867,3.443069772401941e-06,7.279217228983725e-09,1.552899675516528e-08
1868,3.4702616176218726e-06,1.0867722721741302e-08,2.4699369660652337e-08
1869,3.64896550308913e-06,1.5627261262807224e-08,1.8069020057964735e-08
