year,devaient_VERB ôter_VERB,devaient_VERB noter_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,8.306536791735653e-09,0.0
1821,5.9168927535324656e-09,0.0
1822,0.0,0.0
1823,6.917880934764753e-09,0.0
1824,8.421112696055388e-10,0.0
1825,3.522177216552791e-09,0.0
1826,9.688783109140786e-09,4.403992281964975e-09
1827,7.373818444733615e-09,0.0
1828,2.7516904310687096e-09,0.0
1829,0.0,4.286587973467704e-09
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,9.266902800675325e-09,0.0
1834,9.334530925997342e-10,0.0
1835,0.0,0.0
1836,4.032449929525228e-09,0.0
1837,2.5048407792382932e-08,0.0
1838,1.4517972601879592e-08,6.312161904276081e-10
1839,4.194885327990505e-09,3.4957374772659477e-09
1840,4.458782232319436e-09,0.0
1841,4.494383976094696e-09,1.926164561183441e-09
1842,8.049918065466954e-09,1.341653010911159e-09
1843,5.31621990873532e-09,0.0
1844,3.2931368743049916e-09,6.037417232818143e-09
1845,3.9061593959388574e-09,0.0
1846,5.854501328173001e-10,0.0
1847,9.707802561820245e-09,5.393223645455691e-10
1848,8.045221711050488e-10,0.0
1849,1.0893239199560867e-08,0.0
1850,2.7155984128057753e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,5.208436348880241e-09,1.3021090872200602e-09
1853,1.0749477752369785e-08,0.0
1854,4.676098175337984e-09,0.0
1855,1.0613874223963649e-09,5.306937111981824e-10
1856,4.504154560436291e-08,0.0
1857,1.513267733344037e-08,0.0
1858,2.936205500958522e-09,0.0
1859,3.5645213447565993e-09,0.0
1860,4.57718396518203e-09,0.0
1861,1.4147891747029462e-09,9.431927461278633e-10
1862,9.035972525772706e-10,1.8071945051545413e-09
1863,1.4983863039219614e-09,4.994620717013731e-09
1864,2.8768367688059016e-09,0.0
1865,5.177528628053096e-09,0.0
1866,4.379051787850585e-09,4.865612912574591e-10
1867,7.279217228983725e-09,0.0
1868,1.0867722721741302e-08,4.44588676984381e-09
1869,4.883519144627257e-10,4.883519144627257e-10
1870,1.1468097582678638e-09,4.013834153937523e-09
1871,7.434824311758348e-09,0.0
1872,4.23313739617015e-09,0.0
1873,1.7958012854535355e-09,0.0
1874,3.5847653734322193e-09,1.1949218281515073e-09
1875,7.437985338754061e-09,1.1443054281912168e-09
1876,1.1487427897804992e-08,3.02300739996042e-09
1877,0.0,0.0
1878,4.831270938865373e-09,1.8117265465633636e-09
