year,pourront_VERB être_VERB,pourront_VERB etre_VERB,pourront_VERB naître_VERB
1800,9.702891475171782e-06,2.2009151834367913e-08,3.458580977167003e-08
1801,6.281559763010591e-06,1.904946067554647e-08,3.095537337571841e-08
1802,7.543759238615166e-06,2.4616241489638924e-08,7.384872446891677e-08
1803,7.865717634558678e-06,1.5602713787643552e-08,5.265916058760922e-08
1804,8.1571079135756e-06,1.2359254952798437e-08,4.449331569844617e-08
1805,8.639505722385366e-06,5.1171799242411e-08,1.5635826855486812e-07
1806,1.843115569499787e-05,4.8988376022407465e-08,8.06867319624871e-08
1807,1.751731542753987e-05,3.701041606518629e-08,1.195721210933698e-07
1808,1.3795858649245929e-05,4.5321478125970316e-08,1.3823051858707913e-07
1809,1.1819247447419912e-05,4.292158095609011e-08,5.421673421324158e-08
1810,1.4901926988386549e-05,3.7442028144596406e-08,3.2761775514700275e-08
1811,1.7787710021366365e-05,7.019814773912003e-08,6.518399686683551e-08
1812,1.2474532923079096e-05,3.200649700829672e-08,1.0135391192989118e-07
1813,1.265613900613971e-05,1.4378708002027452e-08,4.026038169513413e-08
1814,1.1007076864189003e-05,2.5173417128598885e-08,4.72001566720337e-08
1815,1.040858569467673e-05,2.6972236000233352e-08,4.315557688983063e-08
1816,1.1910165994777344e-05,3.0128852301913867e-08,9.733936678912869e-08
1817,1.0647457202139776e-05,4.203558034987509e-08,7.161617787687646e-08
1818,1.3052496797172353e-05,2.5034472272977837e-08,3.695565098382758e-08
1819,1.3275222045194823e-05,2.6912729822470283e-08,1.500902300222151e-07
1820,9.295014933741186e-06,1.3053129244156025e-08,3.085285271708926e-08
1821,7.88721808930859e-06,1.1833785507064931e-08,4.536284592404627e-08
1822,7.707693839620333e-06,1.1028177482330648e-08,6.817418807258946e-08
1823,7.56420877223718e-06,7.906149512848515e-09,4.249555374258307e-08
1824,8.272901141026523e-06,6.736890156844311e-09,3.9579230559638745e-08
1825,8.808085112832487e-06,1.2327619813845558e-08,5.987701001686219e-08
1826,1.2260714356671087e-05,1.5854372037438225e-08,9.248383747717526e-08
1827,1.5632494978490286e-05,1.935627302884768e-08,1.456329101756637e-07
1828,1.1076471309934277e-05,2.2930752408001354e-08,5.1364885678140126e-08
1829,1.3172684703022242e-05,4.629515065746048e-08,4.8009784592295546e-08
1830,1.3487522664945573e-05,2.0873670791843324e-08,2.0769303432643937e-07
1831,1.3211987607064657e-05,2.182768810143898e-08,7.016042502527853e-08
1832,1.147341390606016e-05,1.488296597074168e-08,4.19429042608499e-08
1833,1.2356256775092334e-05,1.6217079235048004e-08,5.6759780875381693e-08
1834,1.712606353976298e-05,3.173740514839096e-08,8.214387037241977e-08
1835,1.2739265002892353e-05,3.554651328840919e-08,8.697551123759695e-08
1836,1.4683494555356447e-05,4.099657502365517e-08,1.3374292961998435e-07
1837,1.1612720300036017e-05,2.852735292435682e-08,6.331680424409569e-08
1838,1.1343586265866179e-05,2.9035945203759184e-08,4.7341213615936795e-08
1839,1.343621715932386e-05,1.7478688718597368e-08,9.368577025270497e-08
1840,1.1058416930609383e-05,3.24854127486951e-08,6.242294858793684e-08
1841,1.2254900866537355e-05,2.6966304744746594e-08,7.447836480878323e-08
1842,1.0767435924208257e-05,1.9453969102301016e-08,5.1653639587811995e-08
1843,1.243168480868917e-05,2.539971788451112e-08,3.6622846977252266e-08
1844,1.1197214007552247e-05,2.9089374464774664e-08,4.7750482679020934e-08
1845,1.4792626643611584e-05,5.9150416120701266e-08,5.8034370198356555e-08
1846,1.3124035831424408e-05,4.156695965207291e-08,6.732676638421253e-08
1847,1.6268659237539396e-05,7.442648808364538e-08,6.364003724002032e-08
1848,1.566324135637842e-05,4.585776380849893e-08,4.907585093860689e-08
1849,1.519690704299137e-05,3.1841775438579134e-08,6.284561493430374e-08
1850,1.2281972885830328e-05,3.326607966869233e-08,3.190828223864628e-08
1851,1.4097183338890318e-05,6.320450296470881e-08,4.70809027319774e-08
1852,1.4564740922651254e-05,7.487127362537649e-08,7.812654700956045e-08
1853,1.0569721780484542e-05,5.673335201628049e-08,4.240071760364117e-08
1854,1.1689725397445727e-05,8.105236642963476e-08,3.636965217879151e-08
1855,9.465983566769864e-06,3.02495415382964e-08,6.42139355022664e-08
1856,9.522921573079657e-06,3.1063134287023786e-08,6.057311452423164e-08
1857,8.89166858542012e-06,3.3194261561675376e-08,2.5871997877402464e-08
1858,8.90844785317313e-06,2.2510910469009104e-08,3.8170671956549995e-08
1859,1.001121290755691e-05,2.546086697030603e-08,4.6338776371612767e-08
1860,1.0978375939885154e-05,2.1512764902809067e-08,4.668727626722102e-08
1861,1.0679771548893768e-05,3.5369726703038395e-08,2.87673795895671e-08
1862,1.0510642823646776e-05,2.1234535907410645e-08,4.743885639868495e-08
1863,9.983747986552771e-06,5.0445670751742e-08,5.693867777267769e-08
1864,1.0159069461224135e-05,1.7740493518658695e-08,7.14414483127257e-08
1865,1.1096855814685114e-05,3.530133302342975e-08,4.989254875908955e-08
1866,1.0455229130457155e-05,2.238181906477621e-08,3.405929049904444e-08
1867,9.329530257673468e-06,1.6014277903764196e-08,2.7661025470138156e-08
1868,1.065185006154934e-05,2.6181332657415624e-08,3.013323279787983e-08
