year,eût_VERB ôté_VERB,eût_VERB oté_VERB,eût_VERB noté_VERB
1800,9.432493186523061e-08,0.0,3.144164484325529e-09
1801,2.0716288418043405e-07,2.3811825844433088e-09,0.0
1802,9.84649659585557e-08,0.0,0.0
1803,8.191424427650418e-08,0.0,0.0
1804,2.175228814849106e-07,2.4718509461507665e-09,0.0
1805,1.8762992226584174e-07,0.0,0.0
1806,9.221341201737232e-08,0.0,0.0
1807,9.394951661079176e-08,0.0,1.4234775136401367e-08
1808,1.155697759713803e-07,2.2660739951163578e-09,2.7192887941396293e-08
1809,1.2876473931555665e-07,0.0,0.0
1810,1.0296557917399696e-07,0.0,0.0
1811,6.267691787797958e-08,0.0,0.0
1812,8.001624962616916e-08,0.0,0.0
1813,6.326631307729258e-08,0.0,0.0
1814,4.405347908686963e-08,0.0,0.0
1815,7.012781111370714e-08,0.0,2.966945977789237e-08
1816,7.648093003354006e-08,0.0,0.0
1817,1.0898114055635233e-07,1.556873407970727e-09,0.0
1818,1.2398024296089716e-07,4.768470951432846e-09,5.960588467246453e-09
1819,7.763287612760905e-08,1.035105001712111e-09,3.1053151161586356e-09
1820,1.376511846729045e-07,1.1866481131050932e-09,0.0
1821,1.962436186886407e-07,0.0,3.254291058851777e-08
1822,1.6341753905635414e-07,0.0,7.017931125119503e-09
1823,2.8956273467883875e-07,0.0,2.9648061783404955e-09
1824,1.0526390781251393e-07,0.0,2.5263338088166165e-09
1825,1.2503728896717803e-07,2.641632912414593e-09,8.805443485471187e-09
1826,1.0657660709512129e-07,0.0,8.807984341885344e-10
1827,1.1890282536342056e-07,9.217273055917019e-10,1.8434546111834038e-09
1828,7.246117661452445e-08,1.8344602503717056e-09,0.0
1829,1.2516836989107105e-07,8.57317605795771e-10,0.0
1830,1.0019362406410437e-07,1.0436835840010872e-09,3.1310507520032616e-09
1831,3.897801548191637e-08,1.5591206103948707e-09,0.0
1832,9.606278439378002e-08,0.0,2.705993873419743e-09
1833,4.6334513115198206e-08,0.0,3.4750886612755494e-09
1834,8.58776871837108e-08,0.0,9.334530925997342e-10
1835,7.563087933704082e-08,0.0,1.5126175867408165e-09
1836,1.1694105239712371e-07,6.720750067579218e-10,0.0
1837,1.196757182242436e-07,1.3915781860163179e-09,1.1828414692161004e-08
1838,1.2434958307494526e-07,3.787297142565649e-09,7.574594285131298e-09
1839,8.319855737681792e-08,6.9914751765765e-10,3.4957374772659477e-09
1840,7.38883869644269e-08,2.5478754661634184e-09,1.2739377330817092e-09
1841,7.640452537316378e-08,0.0,2.5682194149112547e-09
1842,9.056157779241403e-08,6.708265054555795e-10,4.695785538189057e-09
1843,7.324569395450453e-08,5.906911071384968e-10,5.906911071384968e-10
1844,8.78169785778482e-08,1.097712254427563e-09,1.6465684371524958e-09
1845,7.86812108799495e-08,0.0,0.0
1846,6.908311434017378e-08,5.854501328173001e-10,1.7563503984519002e-09
1847,5.9325458323655766e-08,0.0,3.235934187273415e-09
1848,6.194820656446609e-08,0.0,4.82713291560799e-09
1849,5.279031256577582e-08,8.379414939696517e-10,2.513824481908955e-09
1850,7.671565782629841e-08,0.0,6.788996032014438e-10
1851,6.255955753431408e-08,6.449438760824933e-10,0.0
1852,4.687592536356533e-08,1.9531636308300904e-09,3.2552727180501506e-09
1853,6.270528274399112e-08,2.9859659189668264e-09,1.1943863675867306e-09
1854,6.650450501410887e-08,0.0,7.27393034694046e-09
1855,5.094659627502551e-08,0.0,1.0083180512765466e-08
1856,4.4523826403519706e-08,5.177189232874468e-10,1.0354378465748937e-09
1857,9.47012779306533e-08,4.881509085841174e-10,3.4170564155999728e-09
1858,7.53626139271546e-08,9.787352039936081e-10,3.4255731584664773e-09
