year,doit_VERB ôter_VERB,doit_VERB oter_VERB,doit_VERB noter_VERB
1800,8.174827570428533e-08,0.0,6.288328968651058e-09
1801,8.096020565062645e-08,0.0,2.3811825844433088e-09
1802,9.84649659585557e-08,0.0,1.3427040812530322e-08
1803,6.241085515057421e-08,0.0,7.80135707145746e-08
1804,1.0134588990240445e-07,0.0,1.2359254952798437e-08
1805,7.960057502032214e-08,0.0,1.1371510844071508e-08
1806,3.7461699520235925e-08,0.0,2.5935023018064385e-08
1807,3.701041606518629e-08,0.0,5.693910054560547e-08
1808,9.290903335568146e-08,0.0,2.4926814390369145e-08
1809,4.969867006821005e-08,0.0,2.4849335034105025e-08
1810,6.31834211617388e-08,0.0,2.3401266702194334e-08
1811,7.771937760026049e-08,0.0,1.2535384286138651e-08
1812,5.3344166417446104e-08,2.6672082320544632e-09,8.268345652595599e-08
1813,5.7514832008109806e-08,0.0,7.189353823378042e-08
1814,5.97868634599763e-08,0.0,1.2586708564299443e-08
1815,5.664169577812572e-08,0.0,2.4275012222574333e-08
1816,6.025770460382773e-08,0.0,3.0128852301913867e-08
1817,4.3592454090912724e-08,0.0,8.718490818182545e-08
1818,7.391130196765516e-08,0.0,6.914282835168706e-08
1819,5.900098543065724e-08,1.035105001712111e-09,4.864993385922389e-08
1820,7.95054262425765e-08,2.3732962262101864e-09,1.3527788667033747e-07
1821,7.001656854299654e-08,0.0,7.691961201317099e-08
1822,7.017931125119503e-08,1.0025615893027862e-09,2.3058916553964082e-08
1823,7.412015179397713e-08,0.0,5.336650943377208e-08
1824,4.126345132249298e-08,0.0,4.8000341479337294e-08
1825,4.57883047033647e-08,0.0,5.2832657360113444e-08
1826,3.699353356978463e-08,7.927186018719112e-09,7.398706713956926e-08
1827,9.770309361556428e-08,9.217273055917019e-10,4.516463647519231e-08
1828,7.33784091266898e-08,9.172301251858528e-10,4.953042775923677e-08
1829,4.200856196234781e-08,0.0,3.600733933240008e-08
1830,5.114049628218709e-08,0.0,7.514521627172144e-08
1831,6.392394169552063e-08,0.0,7.327867024287116e-08
1832,7.035583848846727e-08,0.0,7.576782934393123e-08
1833,2.3167256557599103e-08,0.0,5.560141858040879e-08
1834,2.8937046536725575e-08,0.0,7.654315226091057e-08
1835,7.184933537018878e-08,7.563087933704082e-10,7.033671778344797e-08
1836,5.040562456315456e-08,6.720750067579218e-10,7.460032236394909e-08
1837,7.166627824517491e-08,6.957890930081589e-10,1.3289572109442815e-07
1838,6.56464820281144e-08,6.312161904276081e-10,6.185918977053007e-08
1839,3.076248944466897e-08,6.9914751765765e-10,7.900366938429215e-08
1840,7.834717052901397e-08,6.369688665408546e-10,5.414235459966221e-08
1841,6.420548714913821e-08,6.420548537278137e-10,7.57624718517036e-08
1842,4.22620693996123e-08,0.0,7.580339200785602e-08
1843,4.1939067330076796e-08,3.5441467538532834e-09,9.037574244530333e-08
1844,5.1592476069117765e-08,0.0,5.1592476069117765e-08
1845,6.249855033502172e-08,1.674068439427856e-09,1.1272060618239266e-07
1846,4.2152407786488766e-08,5.854501328173001e-10,5.327596142024049e-08
1847,5.770749211819748e-08,4.314578916364553e-09,7.226919507274943e-08
1848,3.459445352405055e-08,5.63165514222419e-09,7.160247150750365e-08
1849,3.351765798242923e-08,8.379414939696517e-10,1.6758828991214614e-08
1850,4.480737203493845e-08,1.3577992064028876e-09,7.739455298860776e-08
1851,3.1602251482354404e-08,0.0,8.384270699934859e-08
1852,4.231854688896419e-08,6.510545436100301e-10,7.812654700956045e-08
1853,3.881755716861335e-08,0.0,1.1227231766497425e-07
1854,4.2084881357595805e-08,0.0,7.741540031247496e-08
1855,3.555647865027822e-08,0.0,9.393278332936461e-08
1856,6.316170697573398e-08,5.177189232874468e-10,7.299836823904116e-08
1857,3.612316845647001e-08,0.0,8.884346414106403e-08
1858,2.8872689128434104e-08,4.893676019968041e-10,1.0374593273354549e-07
1859,2.800695320104296e-08,5.092173349652285e-10,8.300242626546606e-08
1860,2.288591893773173e-08,4.577183909670879e-10,7.964300152707438e-08
1861,3.0182167876091626e-08,4.715963730639317e-10,7.498382359472089e-08
1862,5.0601446588416366e-08,1.3553959066214816e-09,1.0617267776069639e-07
1863,2.7969877081091e-08,4.994620828036034e-10,7.092361897775845e-08
1864,3.404256787575832e-08,0.0,8.726404843173441e-08
1865,2.3063536858103362e-08,0.0,8.707662146889561e-08
1866,3.065336073859726e-08,1.4596839292835284e-09,9.098695841203153e-08
1867,3.542552207136396e-08,0.0,8.20125123368598e-08
1868,2.5193358510477992e-08,9.87974813071446e-10,1.1905096641839918e-07
1869,3.613804011592947e-08,1.4650557433881772e-09,1.0304225384061283e-07
1870,2.5803219116937726e-08,0.0,1.3016290267842123e-07
1871,1.0621176826930423e-08,0.0,8.815577245968598e-08
1872,1.8746751706544273e-08,0.0,7.740594298866199e-08
1873,2.21482157058972e-08,0.0,1.7538992835852696e-07
