year,voulut_VERB être_VERB,voulut_VERB etre_VERB,voulut_VERB naître_VERB
1800,6.382653623404622e-07,3.144164484325529e-09,9.432493897065797e-09
1801,7.429289894389512e-07,0.0,0.0
1802,7.899575393821578e-07,0.0,8.951360541686881e-09
1803,8.035397627281782e-07,0.0,7.801356893821776e-09
1804,1.013458927445754e-06,0.0,2.4718509461507665e-09
1805,1.2338089163677068e-06,0.0,3.1271653710973624e-08
1806,9.59595809035818e-07,0.0,6.627838899930794e-08
1807,8.028413276406354e-07,1.1387820464392462e-08,5.4092147649953404e-08
1808,8.86034911218303e-07,0.0,2.945896149242344e-08
1809,8.019558208616218e-07,0.0,2.25903047379461e-08
1810,9.454112159801298e-07,0.0,2.8081521108447305e-08
1811,1.0579864238025039e-06,0.0,2.2563691359778204e-08
1812,1.3469401665133773e-06,0.0,2.6672083208723052e-08
1813,7.649472877346852e-07,0.0,1.7254450312975678e-08
1814,1.0289634246873902e-06,0.0,2.2026739543434815e-08
1815,8.658087722324126e-07,0.0,4.315557688983063e-08
1816,8.783718499216775e-07,0.0,6.952811659743929e-09
1817,1.0773563872135128e-06,3.113746815941454e-09,2.490997452753163e-08
1818,1.226689164468553e-06,1.1921177378582115e-09,1.5497530370112145e-08
1819,1.2887056755062076e-06,4.140420006848444e-09,3.001804671498576e-08
1820,1.05730350696831e-06,0.0,1.6613073583471305e-08
1821,9.753011909197085e-07,1.97229765852569e-09,1.0847637454958203e-08
1822,9.343874012301967e-07,0.0,4.0102463572111446e-08
1823,1.0821541991390404e-06,9.882686891060644e-10,2.3718449426723964e-08
1824,1.2757985814459971e-06,0.0,5.894778887238772e-09
1825,1.3533965557144256e-06,1.7610886970942374e-08,3.169959583715354e-08
1826,1.030534122037352e-06,1.7615968683770689e-09,3.52319382557198e-08
1827,1.0977772717524203e-06,0.0,3.6869092667757286e-08
1828,8.658652177473414e-07,0.0,2.5682442839070063e-08
1829,1.2696873454842716e-06,0.0,1.2859763920403111e-08
1830,9.048736728800577e-07,0.0,9.39315203396518e-09
1831,8.060653726715827e-07,0.0,1.5591206548037917e-08
1832,7.576782650176028e-07,0.0,2.841293600397421e-08
1833,7.089180371622206e-07,1.1583628500844156e-09,1.50587169400751e-08
1834,8.41974667764589e-07,0.0,5.0406466556296436e-08
1835,9.045453452927177e-07,0.0,1.8151411040889798e-08
1836,8.206035886360041e-07,6.720750067579218e-10,3.5619976301859424e-08
1837,7.472775109818031e-07,6.957890930081589e-10,2.7831564608504777e-08
1838,1.068017809302546e-06,6.312161904276081e-10,1.3255539776935166e-08
1839,7.697614137214259e-07,3.4957374772659477e-09,5.383435919270596e-08
1840,8.204158916669257e-07,1.2739377330817092e-09,1.52872523528913e-08
1841,7.781704880471807e-07,6.420548537278137e-10,1.4767261191650505e-08
1842,8.807951985545515e-07,6.708265054555795e-10,6.77534757187459e-08
1843,9.256129374080047e-07,1.7720733769266417e-09,2.5990408047960045e-08
1844,8.907935011848167e-07,5.488561272137815e-10,1.866110821424627e-08
1845,8.883723126018594e-07,1.1160455892778032e-09,1.562463758375543e-08
1846,7.956267040754028e-07,0.0,2.1076203893244383e-08
1847,8.478147606183484e-07,2.6966118227278457e-09,2.6426796750911308e-08
1848,6.798212552894256e-07,1.6090443422100975e-09,1.287235473768078e-08
1849,6.276181920839008e-07,2.513824481908955e-09,3.6869426622843093e-08
1850,7.006244118201721e-07,1.3577992064028876e-09,1.5614691761811628e-08
1851,8.616449918008584e-07,1.2898877521649865e-09,1.0319102017319892e-08
1852,7.851717782614287e-07,2.6042181744401205e-09,1.5625309046640723e-08
1853,7.912809678600752e-07,5.971931837933653e-10,2.508211416341055e-08
1854,9.222304129252734e-07,3.63696517347023e-09,3.117398605922972e-08
1855,9.748843012857833e-07,2.1227748447927297e-09,2.7596072982305486e-08
1856,9.344826708002074e-07,3.1063134287023786e-09,2.5885945831305435e-08
1857,9.875292334982078e-07,4.881509085841174e-10,2.147863931156735e-08
1858,8.358398417840363e-07,3.4255731584664773e-09,1.1255455234504552e-08
1859,8.24422841105843e-07,1.5276520048956854e-09,2.1387128512628806e-08
1860,7.685091532039223e-07,1.8308735638683515e-09,1.876645328025006e-08
1861,7.356903211075405e-07,1.8863854922557266e-09,2.5466203368296192e-08
1862,8.398936302000948e-07,1.3553959066214816e-09,2.4848924695675123e-08
1863,7.866527766964282e-07,1.4983863039219614e-09,2.3474717281146695e-08
1864,6.971534389776934e-07,4.315255264231155e-09,2.349416661218129e-08
1865,7.803947710272041e-07,1.4120533631256649e-09,2.3534221682552925e-08
1866,7.254628826558474e-07,1.9462451650298362e-09,2.092213513549268e-08
1867,8.351688620678033e-07,1.94112459439566e-09,1.8925964795357686e-08
1868,6.426776053558569e-07,5.433861360870651e-09,2.0253484223076157e-08
1869,7.032267603790388e-07,2.9301114867763545e-09,2.3929244363785074e-08
1870,7.471465437447478e-07,2.2936195165357276e-09,2.121598008386627e-08
1871,4.046668493629113e-07,1.0621177271019633e-09,5.3105884134652115e-09
1872,6.343659038066107e-07,1.8142017887967654e-09,1.69325495846806e-08
1873,6.482842991317739e-07,4.190203295451056e-09,1.5563610844537834e-08
1874,6.77520688441291e-07,1.1949218281515073e-09,9.559374625212058e-09
1875,7.226288971651229e-07,1.1443054281912168e-09,1.0870901512305409e-08
1876,5.931140663051337e-07,1.209202959984168e-09,1.6928840551599933e-08
1877,6.574459234798269e-07,1.2369631985365004e-09,1.2988113695655557e-08
1878,6.328965014290588e-07,4.22736201599605e-09,6.039088784604019e-09
1879,6.237621050786402e-07,1.832797580370027e-09,1.2829582729523281e-08
1880,6.225311039997905e-07,1.9253538763308597e-09,8.984985200299889e-09
1881,5.145710701981443e-07,2.7890030285249168e-09,4.8807553554297556e-09
1882,5.597178756033827e-07,6.655385131892899e-10,2.1962771157291172e-08
1883,4.6131174258334795e-07,1.2638677882037541e-09,6.951272890631799e-09
1884,4.951272671860352e-07,6.601696966868076e-10,7.922036360241691e-09
