year,aurait_VERB ôté_VERB,aurait_VERB oté_VERB,aurait_VERB noté_VERB
1800,3.772997558826319e-08,0.0,0.0
1801,3.809892135109294e-08,0.0,0.0
1802,2.4616241489638924e-08,0.0,0.0
1803,6.436119548425268e-08,0.0,0.0
1804,3.460591457837836e-08,0.0,0.0
1805,2.55858996212055e-08,0.0,0.0
1806,1.729001475325731e-08,0.0,0.0
1807,1.3380689267705748e-07,0.0,2.8469551160981155e-09
1808,1.5862518409903714e-08,0.0,0.0
1809,3.388545621874073e-08,0.0,0.0
1810,8.658469141664682e-08,0.0,7.020380277111826e-09
1811,1.0028307073639553e-08,0.0,0.0
1812,1.8670457180292033e-08,0.0,0.0
1813,6.901780125190271e-08,0.0,0.0
1814,2.2026739543434815e-08,0.0,0.0
1815,6.47333635583891e-08,0.0,0.0
1816,2.0858434979231788e-08,0.0,0.0
1817,4.981994905506326e-08,0.0,0.0
1818,5.48374146092101e-08,1.1921177378582115e-09,0.0
1819,9.626476327184719e-08,0.0,0.0
1820,7.238553223487543e-08,5.933240565525466e-09,1.1866481131050932e-09
1821,6.7058117281249e-08,0.0,0.0
1822,4.210758675071702e-08,1.0025615893027862e-09,0.0
1823,2.174191138237802e-08,0.0,0.0
1824,6.14741253457396e-08,8.421112696055388e-10,0.0
1825,5.547429182684027e-08,0.0,0.0
1826,6.253669226907732e-08,1.7615968683770689e-09,7.0463874735082754e-09
1827,5.7147094167930845e-08,0.0,0.0
1828,4.494427585655103e-08,2.7516904310687096e-09,1.0089530988466322e-08
1829,8.487444347338169e-08,0.0,2.571952872898464e-09
1830,5.0096812032052185e-08,0.0,1.3567886369969528e-08
1831,7.639690835503643e-08,0.0,1.5591206103948707e-09
1832,7.035583848846727e-08,0.0,0.0
1833,9.498575082034222e-08,0.0,0.0
1834,3.453776287187793e-08,0.0,0.0
1835,8.016873209726327e-08,0.0,2.2689263801112247e-09
1836,3.8308275662757296e-08,0.0,6.048674894287842e-09
1837,2.922314124020886e-08,1.3915781860163179e-09,6.957890930081589e-10
1838,4.7341213615936795e-08,6.312161904276081e-10,0.0
1839,5.942753844578874e-08,0.0,1.7478688718597368e-08
1840,4.649872664685972e-08,1.2739377330817092e-09,2.5478754661634184e-09
1841,4.237562123421412e-08,0.0,3.852329122366882e-09
1842,5.0311989241436095e-08,0.0,5.366612043644636e-09
1843,4.961805188941071e-08,5.906911071384968e-10,5.906910960362666e-09
1844,7.354672248993666e-08,0.0,2.7442805805577564e-09
1845,5.133809821700197e-08,0.0,5.022205318283568e-09
1846,3.102885770545072e-08,0.0,4.0981511517657054e-09
1847,5.662884916546318e-08,1.6179670936367074e-09,2.6966118227278457e-09
1848,3.700802153616678e-08,8.045221711050488e-10,1.6090443422100975e-09
1849,4.273501730267526e-08,0.0,1.8434713311421547e-08
1850,5.4311968256115506e-08,0.0,3.394498016007219e-09
1851,5.804495017969202e-08,6.449438760824933e-10,5.8044946626978344e-09
1852,4.7526981461487594e-08,6.510545436100301e-10,4.557382027314816e-09
1853,2.9262466227919504e-08,2.9859659189668264e-09,2.388772735173461e-09
1854,4.1565314745639625e-08,1.558699391779328e-09,5.195664343204953e-09
