year,grand_ADJ an_NOUN
1800,1.2576658381391326e-08
1801,2.1430642593855964e-08
1802,1.7902721083373763e-08
1803,5.851017670366332e-09
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,6.7770915546105925e-09
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.0130190847567064e-08
1814,6.293354282149721e-09
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,7.784366928831332e-09
1818,1.549753059215675e-08
1819,3.1053151161586356e-09
1820,5.933240565525466e-09
1821,7.88919063410276e-09
1822,4.010246357211145e-09
1823,9.882686669016039e-09
1824,0.0
1825,7.044354433105582e-09
1826,3.5231936257318353e-09
1827,7.373818333711313e-09
1828,7.337841112509125e-09
1829,1.714635211591542e-09
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,4.633451511359965e-09
1834,4.667265685043276e-09
1835,3.781543966852041e-09
1836,1.881810018922181e-08
1837,6.957891152126194e-09
1838,5.049729523420865e-09
1839,0.0
1840,1.2739377552861697e-08
1841,1.926164561183441e-09
1842,2.0124795163667386e-09
1843,1.7720733769266417e-09
1844,3.841992946007622e-09
1845,5.022205262772417e-09
1846,7.610851726624901e-09
1847,1.0786447290911383e-09
1848,8.045221711050488e-10
1849,7.54147322368226e-09
1850,4.073397619208663e-09
1851,2.579775504329973e-09
1852,3.2552727180501506e-09
1853,5.3747384320956826e-09
1854,3.117398783558656e-09
1855,1.5920811335945473e-09
1856,6.73034605824796e-09
1857,1.9526036898476207e-09
1858,1.761723344984034e-08
1859,3.055304009791371e-09
1860,8.696649622663699e-09
1861,1.886385547766878e-09
1862,2.2589932147099034e-09
1863,6.493007131957995e-09
1864,7.192092144059359e-09
1865,2.8241066707401785e-09
1866,7.784980604608194e-09
1867,5.338092634588065e-09
1868,2.4699371437009177e-09
1869,5.371870948067681e-09
1870,1.7202146374017957e-09
1871,1.0621177271019633e-09
1872,1.8142017887967654e-09
1873,4.1902031844287535e-09
1874,3.5847653734322193e-09
1875,1.4303817741367908e-08
1876,1.813804439976252e-09
1877,3.7108897066318036e-09
1878,3.0195443923020093e-09
1879,3.0546627449723474e-09
1880,5.134277225593564e-09
1881,3.486253785656146e-09
1882,3.3276925659464496e-09
1883,4.423537314224291e-09
1884,6.601696966868076e-09
1885,3.2228177904158883e-09
1886,6.453463874400711e-10
1887,1.3057849246322917e-09
1888,1.9021844099853524e-09
1889,1.8795409673089125e-09
1890,4.588070479094597e-09
1891,6.374220040683554e-10
1892,8.14906586654729e-09
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,4.213030146971164e-09
1896,5.89702897624278e-09
1897,4.078699378240458e-09
1898,2.8291773368493978e-09
1899,4.4220627160029835e-09
1900,5.191053142894475e-10
1901,0.0
1902,1.4730851538580225e-09
1903,3.2401321625741275e-09
1904,1.0749250378694342e-09
1905,4.128607289377584e-09
1906,3.0865107691901983e-09
1907,1.028568674676933e-09
1908,2.4556945366072114e-09
1909,2.750491778780173e-09
1910,2.2979847136284093e-08
1911,3.1922244847493175e-09
1912,2.6047105583515417e-09
1913,3.8181524719682614e-08
1914,2.6786975415582504e-09
1915,1.1780761921542648e-09
1916,6.592477230782379e-09
1917,5.483212106582869e-09
1918,4.594550517822427e-09
1919,2.762354567309444e-09
1920,3.786115865267448e-09
1921,2.27182422873895e-09
1922,3.688967686876765e-09
1923,2.1231896241147297e-09
1924,3.867487330388997e-09
1925,2.1996355847875293e-09
1926,2.229227691330493e-09
1927,2.2298449753321847e-09
1928,3.4278123672848437e-09
1929,3.342121912552898e-09
1930,2.100720708497761e-09
1931,5.7026783295555106e-09
1932,3.287861094491973e-09
1933,5.735331320977366e-09
1934,1.1981580172459871e-09
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,0.0
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,0.0
1945,2.178504043826024e-09
1946,0.0
1947,1.1920870957027319e-09
1948,1.0871887834440486e-09
1949,1.9634016634739737e-09
1950,5.317680740191122e-09
1951,3.198420528427448e-09
1952,2.1089607837865287e-09
1953,2.1547654771580937e-09
1954,1.9545072227344917e-09
1955,6.569925492527773e-09
1956,1.744228317335228e-09
1957,3.534015080575159e-09
1958,3.3088974338291166e-09
1959,3.100299128533379e-09
1960,1.3841666701708277e-09
1961,4.863711433600315e-09
1962,1.2683912808952869e-09
1963,4.526237273871914e-09
1964,6.083968329129164e-10
1965,1.0944086747954884e-09
1966,2.215629901769489e-09
1967,7.888537101319315e-09
1968,8.982831700699023e-10
1969,1.3625273131978588e-09
1970,1.3796175035718505e-09
1971,7.70759622792383e-09
1972,1.5390440588625154e-09
1973,8.269805618077442e-09
1974,2.250228725575454e-09
1975,1.7134440533084216e-09
1976,2.8567633814091664e-09
1977,1.7630346071939584e-09
1978,4.752473081737207e-09
1979,2.3407893401383717e-09
1980,2.2740602734216964e-09
1981,4.427884781055269e-09
1982,3.103751144983846e-09
1983,1.8945948143667124e-09
1984,2.319603453759811e-09
1985,3.0077789148208467e-09
1986,8.39227959348321e-09
1987,7.94406213033838e-09
1988,2.9982769045311386e-09
1989,4.390497743145261e-09
1990,3.269190584909154e-09
1991,3.5168792322792797e-09
1992,5.5099441120809445e-09
1993,2.769603768548734e-09
1994,5.8024192117756e-09
1995,3.253470381991974e-09
1996,3.736664311304594e-09
1997,3.835915696193126e-09
1998,4.29131630230728e-09
1999,3.6561608462992723e-09
2000,4.418031274155965e-09
2001,3.943090687297257e-09
2002,5.25746568502683e-09
2003,3.7502307925763034e-09
2004,1.761916529341434e-09
2005,3.1526246058177776e-09
2006,2.470733950765691e-09
2007,1.5977917877663117e-09
2008,6.3861594623570994e-09
2009,9.53638501499654e-10
2010,0.0
2011,3.82397197240536e-10
2012,6.808505426114664e-10
2013,8.367375126105969e-10
2014,1.5158116567492996e-09
2015,6.649726186358507e-10
2016,2.0713400439298368e-10
2017,0.0
2018,5.162933414126769e-10
2019,5.1019755087367e-10
