year,faudrait_VERB être_VERB,faudrait_VERB etre_VERB,faudrait_VERB naître_VERB
1800,2.986956246786576e-07,0.0,0.0
1801,2.524053570596152e-07,0.0,0.0
1802,2.752543366568716e-07,2.2378401354217203e-09,0.0
1803,2.4379241381211614e-07,0.0,1.950339223455444e-09
1804,4.053835596096178e-07,0.0,0.0
1805,3.439882050315646e-07,0.0,0.0
1806,3.429186392622796e-07,2.881669125542885e-09,0.0
1807,2.9893027431171504e-07,0.0,0.0
1808,2.7646103717415826e-07,0.0,0.0
1809,3.162642769893864e-07,0.0,0.0
1810,3.697400359214953e-07,0.0,0.0
1811,4.136676636790071e-07,0.0,0.0
1812,7.468183298442455e-07,0.0,0.0
1813,6.844265385552717e-07,0.0,0.0
1814,5.538151981454575e-07,3.1466771410748606e-09,0.0
1815,4.6392244712478714e-07,2.697223555614414e-09,0.0
1816,4.310743122459826e-07,0.0,0.0
1817,6.149650175757415e-07,0.0,0.0
1818,6.818913220740797e-07,1.1921177378582115e-09,0.0
1819,4.3991963138978463e-07,0.0,0.0
1820,6.075638339098077e-07,1.1866481131050932e-09,0.0
1821,9.378275649396528e-07,1.97229765852569e-09,0.0
1822,8.401466402574442e-07,1.0025615893027862e-09,0.0
1823,4.980874450666306e-07,0.0,0.0
1824,4.690559762821067e-07,0.0,0.0
1825,5.406541845331958e-07,0.0,0.0
1826,5.06459116422775e-07,0.0,0.0
1827,5.180107223168307e-07,0.0,0.0
1828,6.585712526430143e-07,9.172301251858528e-10,9.172301140836225e-09
1829,6.66135804294754e-07,0.0,0.0
1830,7.243164077408437e-07,0.0,0.0
1831,7.577326073260338e-07,0.0,0.0
1832,8.889189757610438e-07,1.3529969367098715e-09,0.0
1833,6.556333573826123e-07,0.0,0.0
1834,6.870214974696864e-07,1.8669061851994684e-09,0.0
1835,8.17569798527984e-07,0.0,7.563087933704082e-10
1836,5.820169803882891e-07,2.016224964762614e-09,0.0
1837,5.761133934356621e-07,2.7831563720326358e-09,0.0
1838,5.927120128035313e-07,6.312161904276081e-10,0.0
1839,5.026870439905906e-07,6.9914751765765e-10,0.0
1840,5.853743800798838e-07,0.0,0.0
1841,7.4414157325009e-07,6.420548537278137e-10,0.0
1842,6.346018608383019e-07,2.0124795163667386e-09,0.0
1843,8.09837501947186e-07,1.1813822142769936e-09,0.0
1844,7.12964094873314e-07,1.097712254427563e-09,1.097712254427563e-09
1845,7.025507215985272e-07,1.1160455892778032e-09,0.0
1846,6.750240117980866e-07,5.854501328173001e-10,0.0
