year,peuvent_VERB être_VERB,peuvent_VERB etre_VERB,peuvent_VERB naître_VERB
1800,4.586707291309722e-05,4.087413785214267e-08,4.024530539936677e-07
1801,4.127065767534077e-05,1.0715321963061797e-07,6.85780605635955e-07
1802,4.617559170583263e-05,8.727576528144709e-08,5.415573127720563e-07
1803,4.911149153485894e-05,6.631153581793114e-08,5.675487386724853e-07
1804,5.489239265443757e-05,1.3842364587901557e-07,6.748152827640297e-07
1805,5.2610295824706554e-05,1.9047280286343948e-07,4.861320803684066e-07
1806,5.089604019303806e-05,1.786634786782315e-07,5.820971864523017e-07
1807,6.261023372644559e-05,1.708173105186006e-07,6.064014428375231e-07
1808,5.1847771828761324e-05,1.2463406395823995e-07,4.736094751933706e-07
1809,5.472049451782368e-05,1.1295152546608733e-07,4.4502900209408836e-07
1810,5.623324614134617e-05,1.8018975822542416e-07,5.312087978381896e-07
1811,5.0191676564281806e-05,8.273353557797236e-08,3.8859690221215715e-07
1812,6.254069739952683e-05,9.068507988985175e-08,6.748036867065821e-07
1813,5.7661494793137535e-05,1.1502966401621961e-07,6.039057325324393e-07
1814,4.660858030547388e-05,9.754699359376673e-08,3.776012533762696e-07
1815,4.9043614126276225e-05,6.203614333344376e-08,3.9649185623602534e-07
1816,5.6512453738832846e-05,1.321034233114915e-07,5.260960733721731e-07
1817,4.058457489009015e-05,4.670620157298799e-08,5.698156542166544e-07
1818,4.174081186647527e-05,6.914282835168706e-08,5.865219350198458e-07
1819,4.765209450852126e-05,7.659777168100845e-08,6.810990953454166e-07
1820,4.235977758071385e-05,6.526564533260171e-08,5.719643922930118e-07
1821,4.385600914247334e-05,6.903042049088981e-08,6.173291922095814e-07
1822,4.353924305178225e-05,7.519211919770896e-08,6.626931963182869e-07
1823,4.419735341798514e-05,7.214361374963119e-08,4.822751407118631e-07
1824,4.5826011046301574e-05,4.12634522106714e-08,4.884245186076441e-07
1825,4.007973620900884e-05,5.3713202330385457e-08,4.913437123832409e-07
1826,4.312653254601173e-05,4.932471187046872e-08,4.844391128244752e-07
1827,5.02562579640653e-05,6.359918225395944e-08,6.645653911618865e-07
1828,4.925617395201698e-05,7.704733206992387e-08,4.384359897358081e-07
1829,4.984615952707827e-05,6.172687055938653e-08,5.246783985057846e-07
1830,5.2791601774515584e-05,8.140732177253085e-08,3.788571518725803e-07
1831,5.077588139101863e-05,1.3252525032925178e-07,3.663933512143558e-07
1832,5.5729942687321454e-05,9.606278006391022e-08,5.08726827774808e-07
1833,5.188538852962665e-05,8.919394045570073e-08,5.177881803319906e-07
1834,5.1735703891608864e-05,1.2134889892934098e-07,5.274009708955418e-07
1835,4.750602602143772e-05,9.22696727911898e-08,4.908443997919676e-07
1836,4.474406523513608e-05,1.2298972640323313e-07,4.5029025841358816e-07
1837,4.697759140981361e-05,1.3359150186076363e-07,4.432176581303793e-07
1838,4.5890679757576436e-05,1.5591039614903934e-07,4.115529463888379e-07
1839,5.150969445821829e-05,1.629013781645483e-07,4.600390752784733e-07
1840,4.757775241159834e-05,1.1592833271123482e-07,4.911029805043654e-07
1841,5.321222124621272e-05,1.3611563076665334e-07,7.101126584529993e-07
