year,ont_VERB ôté_VERB,ont_VERB oté_VERB,ont_VERB noté_VERB
1800,1.5091990235305275e-07,2.2009151834367913e-08,3.772997558826319e-08
1801,2.28593535211985e-07,0.0,4.0480102825313224e-08
1802,2.0140561218795483e-07,2.2378401354217203e-09,6.489736392722989e-08
1803,2.515937467251206e-07,0.0,6.046051481689574e-08
1804,3.1392505661642645e-07,4.943701892301533e-09,4.69651695311768e-08
1805,2.0184431548386783e-07,8.528632911009026e-09,5.685755510853596e-08
1806,1.7001848107156547e-07,5.76333825108577e-09,2.305335300434308e-08
1807,2.1636859059981361e-07,0.0,1.9928686256776018e-08
1808,1.0877155176558517e-07,0.0,1.1330369531492579e-08
1809,2.6882463544097845e-07,0.0,2.25903047379461e-08
1810,1.4040760731859336e-07,1.6380887757350138e-08,6.31834211617388e-08
1811,6.769107585569145e-08,5.0141535368197765e-09,6.016983888912364e-08
1812,1.6536691305191198e-07,0.0,1.1735716043403954e-07
1813,1.8979895344273245e-07,0.0,2.8757416448144113e-09
1814,3.492811515570793e-07,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.88602933551374e-07,0.0,4.5852800667489646e-08
1816,2.595716352971067e-07,1.8540831092650478e-08,2.3176038865813098e-08
1817,3.0981780696492933e-07,6.227493631882908e-09,6.383181272440197e-08
1818,3.2187179499487684e-07,1.1921177378582115e-09,2.2650237241350624e-08
1819,3.446899654591107e-07,8.280840013696888e-09,4.243930362690662e-08
1820,3.287015317710029e-07,3.5599443393152796e-09,4.034603762193001e-08
1821,1.962436186886407e-07,2.9584463767662328e-09,7.987805616949117e-08
1822,2.0051231786055723e-07,2.0051231786055723e-09,9.123310462655354e-08
1823,1.5812298670425662e-07,1.9765373782121287e-09,7.510841726343642e-08
1824,1.7263280938095704e-07,2.5263338088166165e-09,8.842168597311684e-08
1825,2.0076410578440118e-07,1.7610886082763955e-09,3.522177394188475e-08
1826,2.078684246953344e-07,8.807984341885344e-10,6.429828403042848e-08
1827,1.6683264902894734e-07,9.217273055917019e-10,7.742509211539073e-08
1828,2.2288692491656548e-07,1.8344602503717056e-09,5.4116576109208836e-08
1829,1.6889157450350467e-07,0.0,3.0006116702452346e-08
1830,2.0143093593105732e-07,3.1310507520032616e-09,2.817945699007396e-08
1831,2.0268568334813608e-07,1.5591206103948707e-09,9.354723573551382e-08
1832,2.448924476539105e-07,2.705993873419743e-09,9.065079353831607e-08
1833,1.8417969727124728e-07,1.1583628500844156e-09,7.761030929032131e-08
1834,2.3242982649662736e-07,9.334530925997342e-10,7.094243414940138e-08
1835,2.1479169731719594e-07,7.563087933704082e-10,1.0890846624533879e-07
1836,1.9490175873215776e-07,3.3603749782784575e-09,1.0417162599196672e-07
1837,1.5794412888681109e-07,2.087367279024477e-09,1.5168201628057432e-07
1838,2.0072674544735492e-07,2.5248647617104325e-09,8.963269948480956e-08
1839,1.8038005578091543e-07,2.09744255297295e-09,1.3143973376372742e-07
1840,1.3949617994057917e-07,5.095750932326837e-09,1.2675680238771747e-07
1841,1.4895672961756645e-07,1.926164561183441e-09,1.3996795189541444e-07
1842,1.207487656529338e-07,3.3541325272778977e-09,1.9655216476621717e-07
1843,1.329054981624722e-07,1.7720733769266417e-09,1.1872891292341592e-07
1844,1.4983771734478069e-07,1.6465684371524958e-09,1.103200801821913e-07
1845,1.5010813569915626e-07,3.348136878855712e-09,1.1885885697893173e-07
1846,2.0724934302052134e-07,4.6836012845830055e-09,1.43435286759086e-07
1847,1.4399907399820222e-07,3.235934187273415e-09,1.2134752580550412e-07
1848,1.432049430150073e-07,8.045221711050488e-10,1.9388984640045237e-07
1849,1.6842624006585538e-07,8.379414939696517e-10,1.0893239732467919e-07
1850,1.3442212321024272e-07,2.7155984128057753e-09,1.5886250537278102e-07
1851,9.996630012665264e-08,1.9348316282474798e-09,1.4188765362632694e-07
1852,1.8359737907758245e-07,1.9531636308300904e-09,1.2174720609436918e-07
1853,1.0570319375347026e-07,3.5831591027601917e-09,2.1319796417174075e-07
1854,1.7145693220754765e-07,2.597832227113628e-09,1.278133510140833e-07
1855,1.1834470114990836e-07,2.1227748447927297e-09,1.57085338514662e-07
1856,1.5945742859457823e-07,3.106313539724681e-09,9.940202971847611e-08
1857,1.1227471219399376e-07,2.928905395993553e-09,9.958278468502613e-08
1858,1.5806573117060907e-07,7.3405139189297586e-09,5.5787907626836386e-08
1859,1.6855094031598128e-07,5.092173349652285e-09,1.2934120263707882e-07
1860,1.1397187904549355e-07,2.288591982591015e-09,1.3960411138214113e-07
1861,1.3864932668639085e-07,5.659156698811785e-09,1.7543385411045165e-07
1862,1.4773814882573788e-07,3.6143890658202338e-09,1.4593095443160564e-07
1863,1.3735207460285892e-07,3.496234690647526e-09,8.690640385111692e-08
1864,1.4048552543499682e-07,3.3563096746291876e-09,1.3473184878876054e-07
1865,1.2379000224882475e-07,1.882737743486018e-09,1.9015651275822165e-07
1866,1.0315099530089356e-07,2.432806400776144e-09,2.077616727547138e-07
1867,9.462982575314527e-08,6.308654931785895e-09,1.834362706176762e-07
1868,1.1164115676365327e-07,4.93987406535723e-09,1.4967818628974783e-07
1869,1.2062292853443068e-07,9.767038289254515e-10,2.3685068128997955e-07
1870,1.1697459711967895e-07,2.2936195165357276e-09,1.7144806463420537e-07
1871,1.0196330180178848e-07,1.0621177271019633e-09,1.8162212711558823e-07
1872,1.1550417866601492e-07,1.8142017887967654e-09,1.8625804898420029e-07
1873,9.757187058312411e-08,1.7958013409646867e-09,2.2746816341623344e-07
1874,6.930546447847519e-08,4.779687312606029e-09,2.718447262850532e-07
1875,1.0527610072585958e-07,5.721527140956084e-10,2.1169650210595137e-07
1876,1.0640985692589311e-07,4.836811839936672e-09,2.6844304557016585e-07
1877,9.462768701951063e-08,3.092407996341251e-09,2.2265336951932113e-07
1878,7.850815109122777e-08,1.2078177347163432e-09,2.0653683918681054e-07
1879,9.408361023588441e-08,4.276527798552365e-09,2.394855584952893e-07
1880,1.0910338943403985e-07,3.8507077526617195e-09,1.822668309614528e-07
1881,8.018383823582553e-08,1.1156011725521608e-08,1.9801920814188634e-07
1882,7.91990828474809e-08,5.989846840748214e-09,1.969993945749593e-07
1883,8.215140923084618e-08,1.2638677882037541e-09,2.2939200050586805e-07
1884,8.846274113238906e-08,2.6406787867472303e-09,2.851933231795556e-07
1885,5.9299846810745294e-08,4.511944928786704e-09,2.0948316148405866e-07
1886,5.6145136539953455e-08,1.936039106809062e-09,1.9424926733790926e-07
1887,6.333056745688737e-08,6.528924512139156e-09,2.4744625193307e-07
1888,7.22830080235326e-08,4.438430289965822e-09,2.897660920098133e-07
1889,9.460356409363158e-08,2.506054641582267e-09,3.0260611083576805e-07
1890,4.915789730830511e-08,6.554386478008212e-10,1.9204352952328918e-07
1891,7.967774706685304e-08,1.2748440081367107e-09,2.613430183373566e-07
1892,7.083419006903569e-08,1.2537024751679837e-09,2.538747594371671e-07
1893,3.94138659487453e-08,1.847525021858587e-09,3.023782539912645e-07
1894,4.7261544011689693e-08,3.150769645188234e-09,2.2433479784922383e-07
1895,6.19917273070314e-08,2.4074457982692365e-09,3.1417167178915406e-07
1896,5.012474701970859e-08,1.7691086373616827e-09,2.6359720095570083e-07
1897,6.5259193604561e-08,5.826713334045053e-09,3.7640569416907965e-07
1898,4.866185321361627e-08,3.960848538042683e-09,3.078145027757273e-07
1899,6.467266899790047e-08,5.527578395003729e-09,3.084388708884944e-07
1900,5.5544269628171605e-08,3.1146317747143826e-09,2.9589003247565415e-07
