year,grand_ADJ air_NOUN,grand_ADJ nerf_NOUN
1800,1.748155455061351e-06,6.917161954334006e-08
1801,1.6525407318113139e-06,2.6193008650921e-08
1802,1.5262069155141944e-06,1.9245425164626795e-07
1803,1.7104474636653322e-06,1.4042441875972145e-07
1804,1.7945637864613673e-06,5.166168648429448e-07
1805,1.7028837646648753e-06,2.8144489760961733e-07
1806,1.5013496295068762e-06,7.204172902675055e-08
1807,1.2213437230457203e-06,6.547996855843508e-08
1808,1.0129350584975327e-06,3.6257183921861724e-08
1809,1.6106887414935045e-06,1.2876473931555665e-07
1810,1.1934646408917615e-06,1.1232608443378922e-07
1811,1.3889205092709744e-06,4.262030373070047e-08
1812,1.2909288216178538e-06,6.401299401659344e-08
1813,1.9555043309082976e-06,1.351598606369464e-07
1814,1.3845379953636439e-06,8.810695817373926e-08
1815,1.372886799799744e-06,1.429528548868575e-07
1816,1.4114207260718103e-06,6.489290882427667e-08
1817,1.1022664239135338e-06,6.383181272440197e-08
1818,1.2314576451899484e-06,3.814776761146277e-08
1819,1.064087996383023e-06,6.314140676977331e-08
1820,1.31599279029615e-06,6.88255905600954e-08
1821,9.250076118405559e-07,6.01550809165019e-08
1822,1.2371609727779287e-06,3.909990198280866e-08
1823,1.1305793350402382e-06,6.81905376609393e-08
1824,1.2210613249408198e-06,9.179012749882531e-08
1825,1.195779191220936e-06,1.8403375712239267e-07
1826,9.812094958761008e-07,6.077508885038441e-08
1827,7.88998590905976e-07,7.097300586123012e-08
1828,1.0346356020818348e-06,7.06267186956211e-08
1829,1.3254129953566007e-06,9.687688873327716e-08
1830,1.2920802419102984e-06,5.63589133140141e-08
1831,1.3299298871061183e-06,9.19881175676096e-08
1832,2.473278300385573e-06,7.035583848846727e-08
1833,2.002809424084262e-06,3.8225973497674204e-08
1834,3.9755768739269115e-06,1.4468522757660196e-07
1835,1.7364850464218762e-06,9.756383434478266e-08
1836,1.2218323490742478e-06,1.6062592678167675e-07
1837,1.4778560171180288e-06,2.386556592348654e-07
1838,1.3223979067333858e-06,1.7737174307086434e-07
1839,1.334672560915351e-06,9.088917796162832e-08
