year,avait_VERB ôté_VERB,avait_VERB oté_VERB,avait_VERB noté_VERB
1800,3.9302057075474295e-07,9.432493897065797e-09,2.2009151834367913e-08
1801,3.7384566553555487e-07,2.3811825844433088e-09,9.524730337773235e-09
1802,1.7455153056289419e-07,0.0,2.6854081625060644e-08
1803,1.911332390136522e-07,0.0,0.0
1804,1.4336735887354735e-07,0.0,7.4155526164076946e-09
1805,4.09374393939288e-07,0.0,2.842877711017877e-09
1806,1.671368039524168e-07,2.881669125542885e-09,4.3225035994964855e-08
1807,4.3558412698985194e-07,0.0,8.540865792383556e-09
1808,3.285807395059237e-07,4.5321479902327155e-09,0.0
1809,3.140052342587296e-07,0.0,2.710836710662079e-08
1810,3.205973655440175e-07,0.0,1.8721014072298203e-08
1811,3.8358274423444527e-07,2.5070767684098882e-09,2.2563691359778204e-08
1812,2.960601079848857e-07,8.00162425207418e-09,4.000812481308458e-08
1813,5.090062700219278e-07,0.0,1.0927818294703684e-07
1814,4.688548926878866e-07,0.0,2.2026739543434815e-08
1815,4.881974859927141e-07,8.091670444798638e-09,4.045835311217161e-08
1816,3.73134213305093e-07,1.622322720606917e-08,5.7940098940889584e-08
1817,4.1101458236880717e-07,0.0,1.0898113522728181e-08
1818,4.3989143705402967e-07,1.1921177378582115e-09,2.2650237241350624e-08
1819,4.927100007989793e-07,2.070210003424222e-09,1.6561680027393777e-08
1820,5.826442475154181e-07,2.3732962262101864e-09,4.50926265216367e-08
1821,4.5855921371185104e-07,4.930744257336528e-09,1.8736827200882544e-08
1822,5.28349971773423e-07,1.303330066093622e-08,2.105379337535851e-08
1823,6.315036671367125e-07,7.906149623870817e-09,8.30145694408202e-08
1824,4.724244320186699e-07,3.3684450784221553e-09,5.136878655775945e-08
1825,5.362514912121696e-07,8.805443041381977e-10,2.905796137042671e-08
1826,5.504990099325369e-07,3.5231937367541377e-09,2.9947145208097936e-08
1827,5.447408284453559e-07,1.8434546111834038e-09,5.2538457140371975e-08
1828,5.182350264476554e-07,5.5033806956039655e-09,3.118582370120748e-08
1829,6.026942855896777e-07,6.858540846366168e-09,3.086343269842473e-08
1830,3.64245579476119e-07,3.1310507520032616e-09,7.201416707403041e-08
1831,4.240808095801185e-07,1.5591206103948707e-09,3.585977381703742e-08
1832,4.600189527081966e-07,1.3529969367098715e-09,3.3824925083081325e-08
1833,4.2743587869154e-07,1.2741991461950875e-08,5.6759780875381693e-08
1834,4.471240231396223e-07,2.8003592777992026e-09,3.733812548034621e-08
1835,5.089958108328574e-07,8.31939672707449e-09,6.42862474364847e-08
1836,4.496181702506874e-07,6.048675060821296e-09,3.2259599436201825e-08
1837,5.635891398014792e-07,7.653679912067446e-09,7.584100814028716e-08
1838,5.384274004427425e-07,5.049729523420865e-09,5.428459104450667e-08
1839,4.2717914539025514e-07,2.7965901816529026e-09,9.29866175169991e-08
1840,6.019355964781425e-07,3.184844332704273e-09,7.45253601053264e-08
1841,4.404496394272428e-07,5.1364388298225094e-09,6.934192242624704e-08
1842,5.467235837386397e-07,6.037438549100216e-09,6.305769062464606e-08
1843,3.9930719708536344e-07,6.4976020675011625e-09,8.210606239344997e-08
1844,5.093384629617503e-07,4.939705144924034e-09,5.54344694592146e-08
1845,5.172871055947326e-07,3.348136878855712e-09,8.147132746216812e-08
1846,4.753855193939671e-07,6.439951460990301e-09,8.664662232149567e-08
1847,4.379297706691432e-07,7.550513103637968e-09,1.4561703665094683e-07
1848,3.000867820901476e-07,2.413566457803995e-09,7.401604307233356e-08
1849,3.670183730264398e-07,8.379414939696517e-10,8.295620546050486e-08
1850,3.7746818293271645e-07,6.1100964288129944e-09,7.807345525634446e-08
1851,3.7471238556463504e-07,9.674158141237399e-09,1.0512584935895575e-07
1852,3.001361505994282e-07,8.463709066930392e-09,9.049658444837405e-08
1853,3.786204842981533e-07,8.360704795151719e-09,1.1704986491167801e-07
1854,4.0058571926238074e-07,5.195664565249558e-09,9.663936140213991e-08
1855,4.081034603586886e-07,8.491099379170919e-09,9.28714030123956e-08
1856,3.6188552599014656e-07,4.141751275277272e-09,5.9537676122545236e-08
1857,4.6471967607430997e-07,1.2203772437047178e-08,7.712784366731285e-08
1858,4.1253687754760904e-07,6.361778603913848e-09,9.249047394632726e-08
1859,4.0431856973555114e-07,7.1290429115578036e-09,1.5582050139073544e-07
1860,4.810620453099546e-07,1.4189270536313359e-08,9.154367575092692e-08
1861,4.1311841414426453e-07,1.0846716969048487e-08,9.573406600793533e-08
1862,4.540576128420071e-07,7.2287781316404676e-09,1.48641746022804e-07
1863,3.601121534302365e-07,3.995696662428827e-09,1.0238972691922754e-07
1864,2.828889478223573e-07,5.753673537611803e-09,9.014088675485254e-08
1865,3.9396286410919856e-07,1.4120533631256649e-09,1.3367437645683822e-07
1866,3.1285890145227313e-07,4.379051787850585e-09,1.3818340960369824e-07
1867,3.2707950481380976e-07,3.88224918879132e-09,8.783588612004678e-08
1868,3.191158555182483e-07,4.445886658821507e-09,7.459210138449635e-08
1869,3.403812911528803e-07,3.9068152046795035e-09,1.1866951865613373e-07
1870,3.245471589252702e-07,4.587239033071455e-09,1.0952032880595652e-07
1871,2.8783389893760614e-07,8.496941816815706e-09,8.603153389685758e-08
1872,3.2957998996607785e-07,1.8142017887967654e-09,1.663018309727704e-07
1873,2.933142297933955e-07,2.9930022904522957e-09,1.8017873060216516e-07
