year,dut_VERB être_VERB,dut_VERB etre_VERB,dut_VERB naître_VERB
1800,1.78588538801705e-06,3.144164484325529e-09,6.288328968651058e-09
1801,1.697783204690495e-06,0.0,1.904946067554647e-08
1802,1.2442391152944765e-06,2.2378401354217203e-09,8.056224487518193e-08
1803,1.3593864878203021e-06,0.0,3.1205427575287104e-08
1804,1.4781668369323597e-06,0.0,9.640218934237055e-08
1805,1.7995415646510082e-06,5.685755422035754e-09,2.55858996212055e-08
1806,1.4465979347733082e-06,0.0,3.1698359492793315e-08
1807,1.5658253005312872e-06,5.693910232196231e-09,5.693910232196231e-09
1808,1.6043803725551697e-06,2.2660739951163578e-09,7.024829073998262e-08
1809,1.8140015072276583e-06,9.036122072814123e-09,3.388545621874073e-08
1810,1.4976810689404374e-06,0.0,4.914266327205041e-08
1811,1.5719371049272013e-06,0.0,4.262030373070047e-08
1812,1.7976983599510277e-06,2.6672082320544632e-09,1.1468995353425271e-07
1813,1.2480718396545853e-06,2.8757416448144113e-09,2.8757416448144113e-09
1814,2.4858750293788034e-06,3.1466771410748606e-09,6.922689976818219e-08
1815,2.076862074318342e-06,2.697223555614414e-09,1.0788894222457657e-08
1816,1.5041249525893363e-06,0.0,2.5493642752394408e-08
1817,2.285490154463332e-06,3.113746815941454e-09,1.401186100480345e-08
1818,1.877585418696981e-06,2.384235475716423e-09,4.053200441944682e-08
1819,1.9439271454757545e-06,1.035105001712111e-09,3.001804671498576e-08
1820,1.8155716361434315e-06,1.1866481131050932e-09,3.322614716694261e-08
1821,1.987089945032494e-06,1.97229765852569e-09,5.226588939422072e-08
1822,1.768518586686696e-06,0.0,3.208197085768916e-08
1823,1.7077283018807066e-06,0.0,3.360113609574e-08
1824,2.134752094207215e-06,0.0,2.947389532437228e-08
1825,2.392438773313188e-06,8.805443041381977e-10,9.68598712347557e-08
1826,2.183499418606516e-06,8.807984341885344e-10,3.3470339388941284e-08
1827,2.0812601633224403e-06,2.7651818612639545e-09,1.6591091167583727e-08
1828,1.8381291511104791e-06,2.7516904310687096e-09,4.677873732816806e-08
1829,2.0712793684651842e-06,1.714635211591542e-09,3.6864655328372464e-08
1830,2.3524628431914607e-06,5.218417697960831e-09,2.2961039292113128e-08
1831,1.8397623762211879e-06,3.1182412207897414e-09,1.870944643656003e-08
1832,2.8818835744459648e-06,2.705993873419743e-09,8.794479811058409e-08
1833,2.2808164885645965e-06,2.3167257001688313e-09,5.09679658478035e-08
1834,2.4325788672285853e-06,1.8669061851994684e-09,3.360431222176885e-08
1835,2.8603599275811575e-06,9.075705520444899e-09,7.638718813041123e-08
1836,2.5780798296182184e-06,1.1425274948351216e-08,2.8899226123257904e-08
1837,2.532672397137503e-06,8.349468672008697e-09,2.852735292435682e-08
1838,2.5229710445273668e-06,5.680945491803868e-09,5.1759727170974656e-08
1839,2.366614353377372e-06,9.788065469251706e-09,2.586845759822154e-08
1840,2.7510684503795346e-06,5.732719632334238e-09,4.0129037870428874e-08
1841,2.939969135695719e-06,5.778493683550323e-09,5.1364388298225094e-08
1842,2.7879550543730147e-06,5.366612043644636e-09,2.750388716776797e-08
1843,2.8010572350467555e-06,5.906910960362666e-09,6.497602100807853e-08
1844,2.871615151889273e-06,2.7442805805577564e-09,3.1833653935109396e-08
1845,3.06800939142704e-06,6.696273757711424e-09,2.9575208060350633e-08
1846,2.886269157897914e-06,5.854501328173001e-09,2.9272506196775794e-08
1847,2.4490627765771933e-06,3.775256551818984e-09,6.47186837454683e-08
