year,avaient_VERB ôté_VERB,avaient_VERB oté_VERB,avaient_VERB noté_VERB
1800,4.4018303668735825e-08,0.0,3.144164484325529e-09
1801,1.3572740442668874e-07,0.0,0.0
1802,1.7902721083373763e-08,0.0,0.0
1803,4.095712213825209e-08,1.950339223455444e-09,0.0
1804,1.1864884186252311e-07,2.4718509461507665e-09,0.0
1805,6.822906328807221e-08,0.0,1.7057265822018053e-08
1806,5.4751712497136396e-08,0.0,2.881669125542885e-09
1807,5.693910054560547e-08,0.0,0.0
1808,6.118399653587403e-08,0.0,2.2660739951163578e-09
1809,6.551188391767937e-08,0.0,0.0
1810,7.254392642153107e-08,0.0,0.0
1811,5.264861258069686e-08,0.0,0.0
1812,4.000812481308458e-08,2.6672082320544632e-09,2.6672082320544632e-09
1813,4.3136125782439194e-08,2.8757416448144113e-09,0.0
1814,2.5173417128598885e-08,0.0,3.1466771410748606e-09
1815,8.631115377966125e-08,0.0,0.0
1816,6.025770460382773e-08,0.0,6.952811659743929e-09
1817,5.1376822796100896e-08,0.0,1.5568733857662664e-08
1818,9.417730240102173e-08,0.0,3.5763532135746345e-09
1819,9.315944993204539e-08,2.070210003424222e-09,0.0
1820,1.4002448267547152e-07,2.3732962262101864e-09,2.3732962262101864e-09
1821,1.1735171057125626e-07,0.0,1.97229765852569e-09
1822,8.120748873352568e-08,0.0,5.012807946513931e-09
1823,1.2452186126665765e-07,9.882686891060644e-10,8.894418535021487e-09
1824,7.831634718513669e-08,1.6842225392110777e-09,8.421112696055388e-09
1825,1.1535130539641614e-07,1.7610886082763955e-09,7.044354433105582e-09
1826,1.0657660709512129e-07,0.0,5.284790383086602e-09
1827,1.0968555130830282e-07,1.8434546111834038e-09,0.0
1828,7.429564163885516e-08,0.0,3.668920500743411e-09
1829,1.2516836989107105e-07,0.0,2.571952872898464e-09
1830,9.393152566872232e-08,1.0436835840010872e-09,4.174734336004349e-09
1831,7.795603096383275e-08,0.0,0.0
1832,5.682587200794842e-08,4.058990921151917e-09,5.411987746839486e-09
1833,8.571885246055899e-08,0.0,8.108539617524002e-09
1834,1.4375177670444828e-07,9.334530925997342e-10,4.667265685043276e-09
1835,1.2705987728622858e-07,0.0,7.563087933704082e-09
1836,1.2567802798457706e-07,1.3441500135158435e-09,1.008112526790228e-08
1837,1.14805203565993e-07,1.3915781860163179e-09,1.6698937344017395e-08
1838,1.04781889831429e-07,6.312161904276081e-10,1.830527018853445e-08
1839,7.061390050466798e-08,0.0,2.23727205650448e-08
1840,1.0828470919932442e-07,0.0,1.8472096741106725e-08
1841,1.0208672307499e-07,0.0,2.5040138851295524e-08
1842,7.647422251011449e-08,6.708265054555795e-10,1.1404051036834062e-08
1843,7.856191786004274e-08,1.1813822142769936e-09,1.594865928211675e-08
1844,1.0153838303494922e-07,5.488561272137815e-10,1.5367971784030487e-08
1845,1.1272060618239266e-07,1.1160455892778032e-09,1.562463758375543e-08
1846,8.957387365171599e-08,0.0,1.2294452567118697e-08
1847,1.0786447290911383e-07,1.0786447290911383e-09,1.5640349459999925e-08
1848,8.447482713336285e-08,1.6090443422100975e-09,1.126331028444838e-08
1849,7.709061833338637e-08,8.379414939696517e-10,1.256912263158938e-08
1850,7.060555873295016e-08,6.788996032014438e-10,2.5119284430275002e-08
1851,3.8696633453128015e-08,6.449438760824933e-10,8.384270167027807e-09
1852,7.356916142953196e-08,1.3021090872200602e-09,2.8646400807019745e-08
1853,9.137055911878633e-08,1.7915795513800958e-09,3.0456853039595444e-08
1854,6.442623856628416e-08,1.0391328908454511e-09,7.79349651480743e-09
1855,8.331890910540096e-08,5.306937111981824e-10,2.3350523292720027e-08
1856,1.0716781417841048e-07,0.0,7.765783571755946e-09
1857,8.005675056210748e-08,9.763018171682347e-10,7.322263684272912e-09
1858,7.09583005686909e-08,1.468102750479261e-09,5.872411001917044e-09
1859,9.114990007219603e-08,1.5276520048956854e-09,2.800695320104296e-08
1860,6.682688535875059e-08,4.577183909670879e-10,2.242820151820979e-08
1861,6.272231445336729e-08,0.0,2.3108222890755314e-08
1862,6.776979688538631e-08,1.8071945051545413e-09,1.581295272501393e-08
1863,7.342092800399769e-08,9.989241656072068e-10,1.9479021062807078e-08
1864,6.041356925834407e-08,9.589455896019672e-10,1.965838514195184e-08
1865,6.165966226490127e-08,1.882737743486018e-09,2.165148416111151e-08
1866,5.498142741089396e-08,4.865612912574591e-10,3.405929049904444e-08
1867,5.483676801532056e-08,4.85281148598915e-10,3.202855580752839e-08
1868,3.951899429921468e-08,4.93987406535723e-10,1.9265508299781686e-08
1869,5.9578933786497146e-08,4.883519144627257e-10,4.3463320054115684e-08
1870,5.3326655091723296e-08,0.0,1.9495765002375265e-08
1871,3.611200227737754e-08,1.0621177271019633e-09,2.2304472935275044e-08
1872,7.438227100919903e-08,6.047339295989218e-10,1.6327815544059376e-08
1873,3.292302608315367e-08,5.986004469882289e-10,3.412022664406322e-08
1874,2.8080663128093875e-08,5.974609140757536e-10,3.644511537004291e-08
1875,3.833423178889461e-08,5.721527140956084e-10,1.8881038954532414e-08
1876,5.3204928462946555e-08,0.0,4.7158916771650183e-08
1877,5.690030846494665e-08,0.0,3.154256233983688e-08
1878,3.5026715750063886e-08,0.0,1.509772218355465e-08
1879,7.758843167948726e-08,1.221865053580018e-09,1.2829582729523281e-08
1880,5.711883233061599e-08,0.0,1.9253539207397807e-08
1881,2.8587281875047665e-08,0.0,2.5101027034679646e-08
1882,4.592215674392719e-08,0.0,1.9966154951589488e-08
1883,3.5388296737437486e-08,6.319338941018771e-10,4.676310894069502e-08
1884,2.442627788923346e-08,1.3203393933736152e-09,2.5086448474098688e-08
1885,4.18966337178972e-08,1.2891271383708158e-09,2.7716232864349877e-08
1886,4.7755634113855194e-08,6.453463874400711e-10,2.8395241713496944e-08
1887,3.4603299781110763e-08,0.0,3.525619263200497e-08
1888,2.6630582183884144e-08,6.340614699951175e-10,3.360525724360741e-08
1889,3.57112810434046e-08,6.265136742733546e-10,4.1349903057152915e-08
1890,2.6217545467943637e-08,0.0,2.1629475099871343e-08
1891,2.995883363610119e-08,1.2748440081367107e-09,3.059625441892422e-08
1892,2.6954603882245465e-08,6.268512375839919e-10,1.5044429702015805e-08
1893,2.894455697344256e-08,0.0,2.894455697344256e-08
1894,2.3945849747519787e-08,1.8904617871129403e-09,2.898708117982096e-08
1895,2.046328972937772e-08,3.0093072478365457e-09,3.671354775747204e-08
1896,2.8305738197786923e-08,5.89702897624278e-10,2.299841384001411e-08
1897,2.5637540090883704e-08,0.0,2.4472196713531957e-08
1898,2.2633418694795182e-08,1.13167097914868e-09,3.281845906144554e-08
1899,1.9346524382513053e-08,0.0,3.040167939616367e-08
1900,2.3359739032002835e-08,5.191053142894475e-10,3.322274011452464e-08
