year,veulent_VERB être_VERB,veulent_VERB etre_VERB,veulent_VERB naître_VERB
1800,1.458892370465037e-06,0.0,0.0
1801,1.3453681049213628e-06,0.0,0.0
1802,1.3986500562168658e-06,6.713520406265161e-09,0.0
1803,1.5368673302873503e-06,0.0,0.0
1804,1.890966018436302e-06,2.4718509461507665e-09,0.0
1805,1.1200937706234981e-06,0.0,8.528632911009026e-09
1806,1.0950342357318732e-06,2.881669125542885e-09,0.0
1807,1.249813294634805e-06,5.693910232196231e-09,0.0
1808,1.2939282214574632e-06,0.0,0.0
1809,1.122738126468903e-06,0.0,0.0
1810,1.4461983255387167e-06,0.0,0.0
1811,7.721796464466024e-07,2.5070767684098882e-09,0.0
1812,8.081640885393426e-07,0.0,8.00162425207418e-09
1813,1.0122610092366813e-06,2.8757416448144113e-09,2.8757416004054903e-08
1814,1.3499244460035698e-06,3.1466771410748606e-09,2.8320094713762956e-08
1815,9.898810731101548e-07,2.697223555614414e-09,5.394447111228828e-09
1816,1.2839525425079046e-06,0.0,2.3176038865813098e-09
1817,1.3171148793844623e-06,6.227493631882908e-09,4.670620334934483e-09
1818,1.5676348539273022e-06,3.5763532135746345e-09,7.152706427149269e-09
1819,1.6499574257977656e-06,3.1053151161586356e-09,0.0
1820,1.5272161135726492e-06,0.0,2.0173018810965004e-08
1821,1.536419858894078e-06,0.0,4.930744257336528e-09
1822,1.3173658999221516e-06,0.0,0.0
1823,1.2234766018082155e-06,9.882686891060644e-10,0.0
1824,1.3650624168803915e-06,8.421112696055388e-10,0.0
1825,1.2565367342176614e-06,0.0,9.68598712347557e-09
1826,1.4418670843951986e-06,0.0,0.0
1827,1.1586112123040948e-06,0.0,9.217273055917019e-10
1828,1.4226238818082493e-06,0.0,0.0
1829,1.2259641835044022e-06,1.714635211591542e-09,0.0
1830,1.2879055475423229e-06,0.0,5.218417697960831e-09
1831,1.200522888211708e-06,1.5591206103948707e-09,0.0
1832,1.358408894702734e-06,1.3529969367098715e-09,2.705993873419743e-09
1833,1.2695657005679095e-06,2.3167257001688313e-09,2.3167257001688313e-09
1834,1.17801778287685e-06,1.8669061851994684e-09,0.0
1835,1.298582219533273e-06,3.025235173481633e-09,3.025235173481633e-09
1836,1.2393063570925733e-06,1.3441500135158435e-09,6.72075017860152e-09
1837,1.0798646599141648e-06,2.0873671680021744e-09,4.174734336004349e-09
1838,1.1178839258718654e-06,1.2624323808552163e-09,4.418513555037862e-09
1839,1.1193351383553818e-06,3.4957374772659477e-09,1.0487212875887053e-08
1840,1.1949535974054015e-06,7.0066574764382494e-09,3.1848443882154243e-09
1841,1.2552172847790644e-06,5.1364388298225094e-09,4.494383976094696e-09
1842,1.3523862207875936e-06,2.683306021822318e-09,0.0
1843,1.2363165069473325e-06,1.7720733769266417e-09,0.0
1844,1.3792754316455103e-06,1.6465684371524958e-09,3.2931368743049916e-09
1845,1.1567813089641277e-06,1.1160455892778032e-09,2.2320911785556063e-09
1846,1.2265180657777819e-06,2.3418005312692003e-09,1.1709002656346001e-09
1847,1.2129360129620181e-06,1.6179670936367074e-09,4.314578916364553e-09
1848,1.2027606999254203e-06,1.6090443422100975e-09,5.63165514222419e-09
1849,1.2342877653281903e-06,2.513824481908955e-09,1.005529792763582e-08
1850,9.552117035127594e-07,2.0366988096043315e-09,3.394498016007219e-09
1851,9.570967449690215e-07,3.8696632564949596e-09,0.0
1852,1.1816639471362578e-06,6.510545436100301e-10,5.859490670445666e-09
1853,1.254702851838374e-06,1.1943863675867306e-09,2.9859659189668264e-09
1854,1.2365680959192105e-06,6.754363734984281e-09,0.0
1855,1.153728135250276e-06,1.0613874223963649e-09,4.2455496895854594e-09
1856,1.1653852425297373e-06,1.0354378465748937e-09,1.0354378465748937e-09
1857,1.0602637985357433e-06,4.393358121745905e-09,2.4407544874094356e-09
1858,1.1230986274313182e-06,1.9574704079872163e-09,1.468102750479261e-09
1859,1.352481262983929e-06,5.092173349652285e-10,5.092173349652285e-10
1860,1.1827443131551263e-06,9.154367819341758e-10,9.154367819341758e-10
1861,1.228980181622319e-06,2.357981809808507e-09,7.545541969022906e-09
