year,puissent_VERB être_VERB,puissent_VERB etre_VERB,puissent_VERB naître_VERB
1800,6.407807177311042e-06,6.288328968651058e-09,3.144164484325529e-09
1801,6.703029157506535e-06,3.095537337571841e-08,2.6193008650921e-08
1802,6.756039510946721e-06,4.475680270843441e-09,1.5664880947952042e-08
1803,6.486828169727232e-06,1.1702034896643454e-08,4.290746247193056e-08
1804,7.383418960671406e-06,1.2359254952798437e-08,3.213406252200457e-08
1805,6.23443065705942e-06,1.9900143755080535e-08,3.695741046527701e-08
1806,6.881426088511944e-06,1.4408345627714425e-08,5.76333825108577e-08
1807,8.942285603552591e-06,4.27043254092041e-08,8.540865792383556e-09
1808,7.47351214158698e-06,3.852325747288887e-08,1.3596443970698147e-08
1809,7.671667844988406e-06,3.388545621874073e-08,1.8072244145628247e-08
1810,7.549248948635068e-06,2.3401266702194334e-08,1.8721014072298203e-08
1811,6.2626777435070835e-06,2.0056614147279106e-08,2.757784489659798e-08
1812,8.24167364044115e-06,2.6672082320544632e-09,1.0668832928217853e-08
1813,6.579696673725266e-06,2.300593315851529e-08,2.300593315851529e-08
1814,6.03847365709953e-06,3.1466771410748606e-09,9.440030979135372e-09
1815,7.231256404338637e-06,8.091670444798638e-09,2.697223555614414e-09
1816,7.576247298857197e-06,6.952811659743929e-09,6.257530316133852e-08
1817,6.688328085147077e-06,9.341240669868967e-09,4.826307531402563e-08
1818,6.6210218392370734e-06,7.152706427149269e-09,5.722165141719415e-08
1819,6.924852641532198e-06,1.449147024601416e-08,3.622867339458935e-08
1820,6.589456916117342e-06,1.542642635854463e-08,7.475883201379929e-08
1821,6.174278041726211e-06,1.2819934447350079e-08,3.6487507903970595e-08
1822,6.7652854340849444e-06,1.0025615893027862e-08,8.622029668003961e-08
1823,5.652897016261704e-06,4.941343334508019e-09,3.755421185136498e-08
1824,6.4093087530636694e-06,8.421112696055388e-09,2.7789671008804362e-08
1825,5.878513547941111e-06,1.7610886970942374e-08,1.8491430608946757e-08
1826,7.658542017452419e-06,7.927186018719112e-09,3.6112737245019844e-08
1827,8.630132469988894e-06,1.8434546333878643e-08,2.1199728195142598e-08
1828,6.602222583751427e-06,1.2841221419535032e-08,2.293075357373553e-08
1829,8.924675967136864e-06,1.5431716349212365e-08,5.658296231558779e-08
1830,9.493345714872703e-06,1.2524203008013046e-08,2.817945699007396e-08
1831,7.044106951070717e-06,1.091384405071949e-08,3.1182413096075834e-08
1832,6.5444460233266e-06,1.0823975493678972e-08,2.841293600397421e-08
1833,6.089513590268325e-06,4.6334514003376626e-09,1.853380560135065e-08
1834,6.99623114996939e-06,1.4001796166951408e-08,2.333632664885954e-08
1835,7.219723556772806e-06,1.285724948729694e-08,3.025235173481633e-08
1836,6.237527941266308e-06,1.2769425516978572e-08,2.688299938213845e-08
1837,6.2231374613475055e-06,1.3219993100221927e-08,3.409366522433288e-08
1838,5.74722344026668e-06,1.009945904684173e-08,1.9567702125300457e-08
1839,6.588067208213033e-06,1.2584655095793096e-08,1.4682098203877558e-08
1840,5.936549769103294e-06,1.9109066329292546e-08,2.165694068523294e-08
1841,6.016696261212928e-06,1.3483152372373297e-08,4.9438222404774024e-08
1842,6.488905000878731e-06,1.0733224087289273e-08,2.6162232824589182e-08
1843,6.712023150612367e-06,1.594865928211675e-08,7.088293507706567e-09
1844,6.793192369514145e-06,1.4819115712327857e-08,2.085653250105679e-08
1845,7.015462415438378e-06,2.2320911341466854e-08,2.399498022498392e-08
1846,7.232651114463806e-06,1.4050803187615202e-08,3.2785207437768804e-08
1847,7.5138391366635915e-06,2.6426796750911308e-08,1.1865092020002521e-08
1848,5.955877441010671e-06,1.126331028444838e-08,4.827133004425832e-08
1849,6.157194093248108e-06,2.513824526317876e-08,3.686942506853086e-08
1850,6.002830104989698e-06,1.2220192857625989e-08,3.190828223864628e-08
1851,6.2030703702475876e-06,1.870337307252612e-08,2.8377531435808123e-08
1852,6.759248208254576e-06,2.0833745395520964e-08,2.474007332331496e-08
1853,5.843535291205626e-06,1.911018188138769e-08,2.6276500530997282e-08
1854,6.483669494627975e-06,1.558699302961486e-08,2.4939189380290827e-08
1855,5.7028346418519504e-06,9.021793090369101e-09,2.1227748447927297e-08
1856,5.978100489301141e-06,1.2942972915652717e-08,4.141751475117417e-08
1857,5.266660082270391e-06,1.7085282522089074e-08,2.6848299583548396e-08
1858,5.520555987459375e-06,2.4468379322684086e-08,2.00640708492017e-08
1859,5.615139343717601e-06,1.782260738991681e-08,1.6294954940931916e-08
1860,5.650075763696805e-06,1.1442959468865865e-08,3.2955723650029967e-08
1861,5.891653472644975e-06,8.017138064531082e-09,3.254014924181092e-08
1862,6.128648237790912e-06,1.400575744270327e-08,4.3372669039642986e-08
1863,5.843206963618286e-06,1.6482248454963155e-08,1.548332440037825e-08
1864,6.329040843411349e-06,1.0068928801842958e-08,2.301469448351412e-08
1865,5.807775323773967e-06,1.2708479601997169e-08,2.7770381549885315e-08
1866,5.639732080453541e-06,9.244664589402873e-09,3.113992264047738e-08
1867,5.355077519197948e-06,1.7955402498159856e-08,3.0572714138088486e-08
1868,6.68414350002422e-06,1.8277534152844055e-08,2.5687345917013715e-08
1869,5.55890983378049e-06,7.325278605918584e-09,4.639343220702585e-08
1870,5.646891167998547e-06,7.454262984651905e-09,2.4656409802759072e-08
1871,6.184711310197599e-06,2.8677177965619194e-08,3.292564798584863e-08
1872,5.711711764888605e-06,2.2979889990892843e-08,2.7817760095416588e-08
1873,5.762726686953101e-06,1.1972009161809183e-08,3.052862140862089e-08
1874,5.721883098885883e-06,1.4339061493728877e-08,2.2106053876314036e-08
1875,5.58421061214176e-06,1.4875970677508121e-08,3.3757011408397375e-08
1876,5.959556801826693e-06,9.673623679873344e-09,1.934724735974669e-08
1877,5.4809838729852345e-06,9.895705588292003e-09,1.917293024344957e-08
1878,4.872336830885615e-06,1.1474268646338714e-08,2.4156355027393772e-08
1879,7.215724053821759e-06,2.932476128592043e-08,1.8938908108445673e-08
1880,6.111073162173852e-06,1.4761046607247863e-08,8.984985200299889e-09
1881,5.481785592564847e-06,1.9523021421719022e-08,2.649552932609822e-08
1882,5.2138288992864545e-06,1.5972924316542958e-08,1.6638463051776853e-08
1883,5.270328529149992e-06,1.2638677659992936e-08,2.8437025179073316e-08
1884,5.303803391143447e-06,1.0562715146988921e-08,2.1125431182156262e-08
1885,5.656045232171891e-06,2.2559724754955823e-08,2.0626034269444204e-08
1886,5.415101441030856e-06,2.19417763958063e-08,1.871504551331782e-08
1887,5.312585926731117e-06,1.4363633837888301e-08,8.48760173255414e-09
1888,5.4852657740411814e-06,1.6485598663962264e-08,2.409433519368065e-08
1889,5.3786197895533405e-06,1.9421923624918236e-08,7.518164035769104e-09
1890,5.295944447425427e-06,1.7696843102044113e-08,9.176140736144589e-09
1891,5.717037765862187e-06,7.0116419337296065e-09,1.211101796627645e-08
1892,5.1734032240347005e-06,1.3790726782758611e-08,1.50444294799712e-08
1893,5.413248345575994e-06,1.9091091374434654e-08,1.4780199342201428e-08
1894,5.3285816647985484e-06,1.7014155417882648e-08,2.3945849747519787e-08
1895,5.366798632167047e-06,1.3240951446391591e-08,1.8055843042930064e-08
1896,5.521388175111497e-06,1.0614652268259306e-08,1.1794058063507862e-08
1897,5.527220309886616e-06,1.981082675683865e-08,1.2236098023699071e-08
1898,5.282639904180542e-06,1.2448380992680086e-08,7.921696743018458e-09
1899,5.37667528988095e-06,7.738609753005221e-09,1.8241008703512307e-08
1900,5.24867391504813e-06,2.180242297811219e-08,9.863000749454898e-09
1901,5.390338628785685e-06,1.117747761014698e-08,1.5648469409157428e-08
1902,7.52108189772116e-06,1.178468167495339e-08,2.0132164380015638e-08
1903,5.72531371290097e-06,1.4580594509538969e-08,1.9980815890718873e-08
1904,5.468143626785604e-06,1.5048950530172078e-08,1.1286712897629059e-08
1905,5.604068064712919e-06,9.28936660926638e-09,2.838417501038748e-08
1906,5.332975888450164e-06,1.4403716441790948e-08,1.800464666246171e-08
1907,5.384556970966514e-06,2.468564730406797e-08,1.439996183405512e-08
1908,5.446239356388105e-06,1.0313916831705683e-08,2.357466755142923e-08
1909,5.549942216021009e-06,1.4852655993990993e-08,2.750491689962331e-08
1910,5.513560154213337e-06,1.7101282168141552e-08,1.4429207162436342e-08
1911,5.636936293740291e-06,1.4365010514438836e-08,1.9685383989553884e-08
1912,5.7793317864707205e-06,1.8753915753677575e-08,2.2400511112685706e-08
1913,5.293444246490253e-06,1.3257474229533273e-08,1.856046338843953e-08
1914,5.3955664043314755e-06,7.366418142140674e-09,1.4732836284281348e-08
1915,6.228488928172737e-06,1.4136913861761968e-08,1.295883844676382e-08
1916,5.859613338543568e-06,1.9777431248257926e-08,2.197492321442951e-08
1917,5.712410711566918e-06,2.1932848426331475e-08,1.973956464951243e-08
1918,5.6708240663283505e-06,2.1824114071478107e-08,1.6080926812378493e-08
1919,5.5145806072687265e-06,1.749491218561161e-08,2.5781975665495338e-08
1920,5.383856660046149e-06,1.590168707821249e-08,1.741613253614105e-08
