year,tout_DET air_NOUN,tout_DET nerf_NOUN
1800,8.803660733747165e-08,3.144164484325529e-09
1801,1.0239084957675004e-07,7.143547975374531e-09
1802,8.056224487518193e-08,1.3427040812530322e-08
1803,4.6808139586573816e-08,2.7304748684287006e-08
1804,1.5819846055364906e-07,1.4831105232815389e-08
1805,1.0802935435094696e-07,2.842877711017877e-09
1806,4.610670600868616e-08,8.645007376628655e-09
1807,3.4163460504998966e-08,1.1387820464392462e-08
1808,8.837688625362716e-08,4.985362878073829e-08
1809,7.680704072754452e-08,2.9367397402779716e-08
1810,1.7316938283329364e-07,1.4040760110134443e-08
1811,2.0056613259100686e-08,0.0
1812,9.601949368942542e-08,5.601137331723294e-08
1813,5.176335093892703e-08,1.7254450312975678e-08
1814,1.6048053197437184e-07,1.5733385794192145e-07
1815,5.933891955578474e-08,5.394447111228828e-09
1816,8.806894591373293e-08,8.343374346964083e-08
1817,6.538868291272593e-08,4.0478710161551135e-08
1818,9.656153565629211e-08,5.960588467246453e-09
1819,5.693077387292078e-08,3.519356894798875e-08
1820,8.899861114741725e-08,2.0173018810965004e-08
1821,8.185035138552621e-08,4.043210211079895e-08
1822,5.213320264374488e-08,3.60922172149003e-08
1823,5.040170203418626e-08,4.842516432290722e-08
1824,6.147412268120434e-08,2.2737005167527968e-08
1825,1.0126259830656181e-07,3.874394849390228e-08
1826,5.549030035467695e-08,1.0569581210262413e-08
1827,7.189472972513045e-08,1.3825909306319772e-08
1828,4.769596717579816e-08,2.5682443949293088e-08
1829,1.243110556714555e-07,3.600733933240008e-08
1830,3.965997530386289e-08,7.931995193999342e-08
1831,3.897801348351493e-08,2.494592976631793e-08
1832,4.19429042608499e-08,1.894195755802741e-08
1833,3.243415958031903e-08,1.3900354645102198e-08
1834,2.42697808516823e-08,5.694064020289602e-08
1835,5.7479468296151026e-08,2.193295500774184e-08
1836,3.8980349170714135e-08,2.5538851033957144e-08
1837,6.192522938874845e-08,2.852735336844603e-08
1838,3.913540558286854e-08,2.651108044204875e-08
1839,4.6842884238174065e-08,2.586845759822154e-08
1840,2.7389661649834807e-08,2.0383003729307347e-08
1841,3.5955071808757566e-08,2.760835826620678e-08
1842,3.6224630406422875e-08,2.6162233268678392e-08
1843,6.852016487535195e-08,1.4176587015413133e-08
1844,4.9945909186277504e-08,2.085653250105679e-08
1845,3.0691253649628436e-08,8.370341864072373e-09
1846,3.0443406462410394e-08,1.7563503318385187e-08
1847,1.9954927488186058e-08,2.2651539310913904e-08
1848,2.735375348450475e-08,2.5744710252517677e-08
1849,2.0110596077316245e-08,5.865590679832167e-09
1850,2.308258650884909e-08,1.8330289286438983e-08
1851,2.5152811833351052e-08,2.3217978650791338e-08
1852,3.971432893656868e-08,1.4323199515331453e-08
1853,4.001194353620008e-08,1.3138249599364826e-08
1854,4.1565314301550416e-08,3.5330517622611524e-08
1855,5.890700194299825e-08,2.0166361025530932e-08
1856,4.607698289582629e-08,3.520488522923415e-08
1857,6.053071155420753e-08,2.6848299805593e-08
1858,3.6213203102875013e-08,4.7468657893290356e-08
1859,4.8884864156661934e-08,2.5970084527315862e-08
1860,3.890606170564581e-08,3.661747172145624e-08
1861,2.405141441563785e-08,3.39549397487815e-08
1862,2.6656119089807362e-08,1.0843167252971853e-08
1863,3.4962344408473456e-08,2.597202808374277e-08
1864,4.7947280257254477e-08,2.6371003492009493e-08
