year,bien_ADV avoir_VERB,bien_ADV savoir_VERB
1800,1.528063990008377e-06,1.0312859330952051e-06
1801,1.7573127024661517e-06,1.100106373996823e-06
1802,2.443721314193681e-06,8.190494895643496e-07
1803,1.482257857787772e-06,6.104561975917022e-07
1804,2.1159044081286993e-06,1.7080490124499192e-06
1805,2.2885164980834816e-06,1.0945078656732221e-06
1806,2.126671915902989e-06,1.1382593356756843e-06
1807,1.5544375173703884e-06,6.206362286320655e-07
1808,1.744876954035135e-06,9.358885790788918e-07
1809,1.7891521792989806e-06,7.612932790834748e-07
1810,1.8346594288232154e-06,8.681870440341299e-07
1811,2.0583099740179023e-06,7.947433573463059e-07
1812,2.33113996728207e-06,9.708637662697583e-07
1813,2.0130191842326894e-06,1.0899060498559265e-06
1814,1.9824065020657144e-06,7.111490276656696e-07
1815,1.6021507462937734e-06,7.687087304475426e-07
1816,1.541206529509509e-06,6.211178629200731e-07
1817,2.1111202386236982e-06,1.3202286481828196e-06
1818,2.089782356051728e-06,1.4984919971539057e-06
1819,2.2699853161611827e-06,1.4315502312456374e-06
1820,3.025952764801332e-06,1.2293673989915987e-06
1821,2.9614050163218053e-06,1.9358101326361066e-06
1822,2.1444791400426766e-06,1.2993198197364109e-06
1823,2.446953203616431e-06,1.519957208984124e-06
1824,2.636650378917693e-06,1.3406411198957358e-06
1825,2.3123093342292123e-06,1.2662227391047054e-06
1826,2.483851631041034e-06,1.2489721257225028e-06
1827,1.875715042842785e-06,9.973089163395343e-07
1828,2.0848640360782156e-06,1.1025106232409598e-06
1829,2.2075928427511826e-06,1.176239720734884e-06
1830,2.5142337563011097e-06,1.3275655419420218e-06
1831,2.4415828647761373e-06,1.5014331893326016e-06
1832,2.6951699965138687e-06,1.712894118099939e-06
1833,2.328309392396477e-06,1.2776741868947283e-06
1834,1.91357889889332e-06,1.3441724604490446e-06
1835,2.5290964913438074e-06,1.5111049833649304e-06
1836,2.58950490206189e-06,1.2446829487089417e-06
1837,2.334372311452171e-06,1.3032130254941876e-06
1838,2.3228756163007347e-06,1.167749928754347e-06
1839,2.2142000943858875e-06,1.1913473372260341e-06
1840,1.966322997759562e-06,9.395290589964134e-07
1841,2.1739977000834187e-06,1.091493231797358e-06
1842,2.1540238321904326e-06,1.361107024422381e-06
1843,2.037293597823009e-06,1.2416327308528707e-06
1844,1.9934454940084834e-06,1.1586353139136918e-06
1845,1.8844430087483488e-06,1.2393686574796448e-06
1846,2.1819726043759147e-06,1.2628158856387017e-06
1847,1.8342353769185138e-06,9.076795208784461e-07
1848,1.9413118934608065e-06,9.839305903369677e-07
1849,1.7755979797584587e-06,9.594430139259202e-07
1850,1.970845460164128e-06,1.23152392461634e-06
1851,1.960629333552788e-06,9.796697213459993e-07
1852,2.091187297992292e-06,9.86347686193767e-07
1853,2.1899074909015326e-06,1.184831262435182e-06
1854,2.1151549844944384e-06,1.009517632155621e-06
1855,2.1853966245544143e-06,1.1399300774428411e-06
1856,2.0682871308963513e-06,1.0437213404657086e-06
1857,2.246470558020519e-06,1.1369035064490163e-06
1858,2.300027745150146e-06,1.3403778211795725e-06
1859,2.4035057322180364e-06,1.2766078043568996e-06
1860,2.321090050827479e-06,1.3607967730422388e-06
1861,2.1353882857511053e-06,1.2162470284238225e-06
1862,2.3714910639682785e-06,1.34093829728954e-06
1863,2.334485770916217e-06,1.3260718105811975e-06
1864,2.385856532782782e-06,1.3367701967581525e-06
1865,2.390135477980948e-06,1.261434249499871e-06
1866,2.2902440832694992e-06,1.1818573284472222e-06
1867,2.3647751277167117e-06,1.2835686220569187e-06
1868,2.2634503693552688e-06,1.204341288030264e-06
1869,2.6209847874270054e-06,1.5451454373760498e-06
1870,2.361281303819851e-06,1.2184854085717234e-06
1871,2.027582695518504e-06,1.3095911981508834e-06
1872,2.368742798353196e-06,1.5063922091940185e-06
1873,2.3890142983873375e-06,1.2367084991637967e-06
1874,2.497386731192819e-06,1.2361466588117764e-06
1875,2.5615277081669774e-06,1.5711314063082682e-06
1876,2.4486359961883863e-06,1.3887696468373179e-06
1877,2.6402979074191535e-06,1.2957189028384164e-06
1878,2.530982101234258e-06,1.2343897424216266e-06
1879,2.6569455258140806e-06,1.3208360769567662e-06
1880,2.7417038381827297e-06,1.2322265092734597e-06
1881,2.7855166990775615e-06,1.3924097856943263e-06
1882,3.0002477160451235e-06,1.4102761269896291e-06
1883,2.5365825422341004e-06,1.1987785910605453e-06
1884,2.465733814460691e-06,1.1751020565498038e-06
1885,2.281755087096826e-06,1.1022036687791115e-06
1886,2.3271190912055317e-06,1.0777284842333756e-06
1887,2.4894789021345787e-06,1.1033882856281707e-06
1888,2.6700329271989176e-06,1.1089734925917583e-06
1889,2.457813252476626e-06,1.0212172583123902e-06
1890,2.3353279630100587e-06,1.1234218391109607e-06
1891,2.3769466679368634e-06,9.7971758350468e-07
1892,2.433436520732357e-06,1.0744230394266197e-06
1893,2.4258001758425962e-06,9.890417231872561e-07
1894,2.508642864995636e-06,9.471213502365572e-07
1895,2.284666152263526e-06,1.1333050906614517e-06
1896,2.4991609279823024e-06,9.759583008417394e-07
1897,2.300969072166481e-06,1.110571588469611e-06
1898,2.5807755719142733e-06,1.1780695103880134e-06
1899,2.4498226594005246e-06,1.1248622513448936e-06
1900,2.355180868107709e-06,1.0522264801693382e-06
1901,2.4931364350777585e-06,8.964337325778615e-07
1902,2.2773897399019916e-06,8.357303045158915e-07
1903,2.5667247882665833e-06,9.093971016227442e-07
1904,2.5368231035827193e-06,9.647452543504187e-07
1905,2.533416591177229e-06,1.085823669200181e-06
1906,2.8843442123616114e-06,1.025750407279702e-06
1907,2.760678398772143e-06,1.0511971595406067e-06
1908,2.758236178124207e-06,9.940652034856612e-07
1909,2.7438904908194672e-06,1.096346068152343e-06
1910,2.9991374503879342e-06,1.05760739188554e-06
1911,2.830970970535418e-06,1.0928048368441523e-06
1912,2.952700015157461e-06,1.0887690677918727e-06
1913,2.785130163829308e-06,1.035143554872775e-06
1914,2.7691035029420163e-06,1.0808544175233692e-06
1915,2.6801233161677374e-06,8.623517828709737e-07
1916,2.7611492896539858e-06,9.789828254724853e-07
1917,2.3994537059479626e-06,1.0045245062428876e-06
1918,2.3650447928957874e-06,1.068233018486353e-06
1919,2.5376830308232456e-06,9.741903568283306e-07
1920,2.4723335627641063e-06,1.0139218602489564e-06
1921,2.6125978820346063e-06,9.178169761980826e-07
1922,2.7637745461106533e-06,1.086769884750538e-06
1923,2.957603101094719e-06,9.936527476384072e-07
1924,3.019218411282054e-06,9.204619573210948e-07
1925,3.0113010325294454e-06,1.1394112107154797e-06
1926,3.057385811189306e-06,1.0822900549101178e-06
1927,3.1842187127040233e-06,1.1093478633483755e-06
1928,3.025615797014325e-06,1.0054916401713854e-06
1929,3.0346466246555792e-06,1.0271454584653839e-06
1930,3.0575990876968717e-06,1.0745186500571435e-06
1931,2.7498315375851234e-06,8.998826501738222e-07
1932,3.13223563352949e-06,9.622473271519993e-07
1933,2.793106204990181e-06,8.820939001452643e-07
1934,2.8671920517808758e-06,9.010148005472729e-07
1935,2.986086883538519e-06,1.0101231282533263e-06
1936,3.0008668545633554e-06,9.275406682718312e-07
1937,2.908548367486219e-06,7.743537935311906e-07
1938,2.6708341920311796e-06,8.634833079668169e-07
1939,3.1153981581155676e-06,8.916431397665292e-07
1940,3.0175817755662138e-06,7.226981324492954e-07
1941,3.562463689377182e-06,9.474323405811447e-07
1942,3.364940766914515e-06,9.224003747476672e-07
1943,3.364849590070662e-06,9.522611321699515e-07
1944,3.463814664428355e-06,1.015366819956398e-06
1945,3.128331854895805e-06,1.039146468428953e-06
1946,3.0584665182686877e-06,1.1484911510706297e-06
1947,2.906308282035752e-06,1.1241381798754446e-06
1948,2.899532546507544e-06,1.071968085852859e-06
