year,en_ADP or_NOUN,en_ADP sorts_NOUN
1800,6.980045327509288e-06,6.288328968651058e-09
1801,6.350614057737403e-06,2.3811825844433088e-09
1802,7.655650733795483e-06,2.2378401354217203e-09
1803,5.9017265812144615e-06,7.801356893821776e-09
1804,7.0299442995747086e-06,7.4155526164076946e-09
1805,6.606847819057293e-06,8.528632911009026e-09
1806,6.8151475716149434e-06,2.881669125542885e-09
1807,6.0241568462515716e-06,2.8469551160981155e-09
1808,6.4809714785951655e-06,1.1330369531492579e-08
1809,7.76654724177206e-06,2.259030518203531e-09
1810,5.911160315008601e-06,3.510190182964834e-08
1811,9.31880458665546e-06,5.0141535368197765e-09
1812,6.8013810050615575e-06,0.0
1813,6.634335932176327e-06,5.751483289628823e-09
1814,5.903166311327368e-06,3.1466771410748606e-09
1815,1.0122679668711498e-05,8.091670444798638e-09
1816,5.3258536354405805e-06,4.6352077731626196e-09
1817,5.930131010245532e-06,6.227493631882908e-09
1818,5.1046481530647725e-06,4.768470951432846e-09
1819,7.2146817728935275e-06,2.070210003424222e-09
1820,6.727108029735973e-06,2.3732962262101864e-09
1821,6.427718290069606e-06,1.97229765852569e-09
1822,8.022498150239699e-06,4.010246357211145e-09
1823,6.740980552422116e-06,1.9765373782121287e-09
1824,6.967628451093333e-06,3.3684450784221553e-09
1825,7.2732959779386874e-06,3.522177216552791e-09
1826,8.379035534744617e-06,1.7615968683770689e-09
1827,7.899203410488553e-06,1.8434546111834038e-09
1828,6.4774790189403575e-06,1.8344602503717056e-09
1829,6.618492079724092e-06,1.714635211591542e-09
1830,8.751287168706767e-06,2.0873671680021744e-09
1831,6.476586804637918e-06,4.677361609140007e-09
1832,7.179001840995625e-06,0.0
1833,7.363712484220741e-06,3.4750886612755494e-09
1834,6.873015081509948e-06,9.334530925997342e-10
1835,7.255270247696899e-06,2.2689263801112247e-09
1836,6.864574061182793e-06,2.016224964762614e-09
1837,7.021207693469478e-06,2.7831563720326358e-09
1838,7.056365575408563e-06,6.312161904276081e-10
1839,7.455709237547126e-06,2.7965900706306e-09
1840,7.969754733494483e-06,2.5478754661634184e-09
1841,7.788125003571622e-06,1.926164561183441e-09
1842,7.114786058082245e-06,1.341653010911159e-09
1843,7.359420578723075e-06,1.7720733769266417e-09
1844,6.799778475397034e-06,2.7442805805577564e-09
1845,7.008766260696575e-06,1.674068439427856e-09
1846,7.009009095781948e-06,1.1709002656346001e-09
