year,mon_DET or_NOUN,mon_DET sort_NOUN
1800,1.1633408414368773e-07,3.3579677278794406e-06
1801,1.0715321963061797e-07,5.493388442801006e-06
1802,1.0070280609397742e-07,4.793453484808197e-06
1803,9.361628405812894e-08,4.928507422619077e-06
1804,1.3842365897964726e-07,5.791546897171429e-06
1805,1.0518647619583987e-07,3.85778496081457e-06
1806,1.210301006082659e-07,3.553098139263966e-06
1807,1.1387820464392462e-07,3.3878766032557905e-06
1808,4.305540501903238e-08,2.635443962617501e-06
1809,1.0165637687187257e-07,3.501497204183579e-06
1810,6.318342293809565e-08,5.3893120366410585e-06
1811,9.777599174753959e-08,2.9282656441864674e-06
1812,8.001624962616916e-08,3.371351198211414e-06
1813,3.7384642270765767e-08,4.698961788562883e-06
1814,7.866693074731756e-08,2.8634761122248165e-06
1815,1.4295284955778698e-07,2.7107097366751987e-06
1816,5.0987283728431976e-08,2.7950301983992176e-06
1817,7.161617898709949e-08,5.64522289892011e-06
1818,8.225612324608278e-08,3.95544660136693e-06
1819,9.212434293193184e-08,4.1124722258700785e-06
1820,2.088500679064964e-07,6.699815315869273e-06
1821,1.8145138369618508e-07,5.011608152472036e-06
1822,8.120748873352568e-08,4.887487762061937e-06
1823,1.413224272051039e-07,4.973956464482399e-06
1824,1.381062544325573e-07,4.373083697828406e-06
1825,6.427973353595462e-08,3.4658224450367925e-06
1826,7.134467594482885e-08,3.237815136003519e-06
1827,5.806882030778837e-08,2.479446337133595e-06
1828,1.1190207510614059e-07,3.095651749163153e-06
1829,9.77342076158294e-08,2.7022650641583823e-06
1830,1.0436835840010872e-07,3.781265647262444e-06
1831,8.263339257297275e-08,3.0761449494320914e-06
1832,1.637126312292736e-07,2.8818835460242553e-06
1833,2.2356402618051163e-07,2.846097601150177e-06
1834,1.3255034403414356e-07,2.715415050147385e-06
1835,1.0890846624533879e-07,2.8800238283110957e-06
1836,1.2298972573709932e-07,2.4759242975846973e-06
1837,1.6072728514782142e-07,2.073451462081266e-06
1838,9.278878199125984e-08,2.185901649909283e-06
1839,1.0836786323853431e-07,1.960409676371455e-06
1840,1.0127805277759805e-07,1.6236336151109754e-06
1841,1.1107548747446572e-07,1.5043344774312573e-06
1842,1.422152213770289e-07,1.8414187508142277e-06
1843,8.919435912080331e-08,1.717139021195635e-06
1844,7.46444339672081e-08,1.641628649906579e-06
1845,1.2778722091599803e-07,1.6260783937127599e-06
1846,8.606117085641074e-08,1.6234532083103659e-06
1847,1.2512278502185836e-07,1.1277230100859015e-06
1848,9.010648333029891e-08,1.2622952496599282e-06
1849,5.530413860199701e-08,1.297133479738477e-06
1850,1.1405512978512888e-07,1.2091202350461572e-06
1851,6.578427780290497e-08,1.2305528827027956e-06
