year,un_DET ailier_NOUN,un_DET cellier_NOUN
1800,0.0,2.4524482000742864e-07
1801,0.0,2.6193009716735105e-07
1802,0.0,1.0517848636482086e-07
1803,0.0,1.3457341196954076e-07
1804,0.0,1.5078291237813346e-07
1805,0.0,1.1087223206196484e-07
1806,0.0,5.763338162267928e-08
1807,0.0,8.54086508184082e-08
1808,0.0,1.2690014106198078e-07
1809,0.0,2.801197962476465e-07
1810,0.0,3.2527763238476837e-07
1811,0.0,1.6546706671505262e-07
1812,0.0,1.0668833283489221e-07
1813,0.0,1.6966875193702435e-07
1814,0.0,3.461344908473052e-07
1815,0.0,2.2926400333744823e-07
1816,0.0,8.57513455798653e-08
1817,0.0,1.899385608794546e-07
1818,0.0,1.8954672253990168e-07
1819,0.0,7.452756334291877e-08
1820,0.0,1.0561168028999646e-07
1821,0.0,8.776724769177235e-08
1822,0.0,8.822541985864518e-08
1823,0.0,1.1859224002819246e-07
1824,0.0,9.431646219582035e-08
1825,0.0,2.0252519439267758e-07
1826,0.0,1.1714619185809738e-07
1827,0.0,1.474763644537802e-07
1828,0.0,1.586808101028403e-07
1829,0.0,9.859152116931114e-08
1830,0.0,9.706257220187808e-08
1831,0.0,9.822459645647541e-08
1832,0.0,1.0282777074266392e-07
1833,0.0,1.2394482951094687e-07
1834,0.0,9.894602470694736e-08
1835,0.0,1.5655591312224715e-07
1836,0.0,1.5121688079489104e-07
1837,0.0,1.3915781393869509e-07
1838,0.0,1.0288823659720947e-07
1839,0.0,1.510158682549445e-07
1840,0.0,1.178392423639707e-07
1841,0.0,8.924562688861215e-08
1842,0.0,6.104521244054695e-08
1843,0.0,1.1577545677710077e-07
1844,0.0,1.0757580071185657e-07
1845,0.0,1.1774281072352011e-07
1846,0.0,1.3640988316687697e-07
1847,0.0,8.089835290547853e-08
1848,0.0,6.114368744647436e-08
1849,0.0,1.4077417320734753e-07
1850,0.0,8.62202513829402e-08
1851,0.0,1.7026518506213506e-07
1852,0.0,1.3932567810570617e-07
1853,0.0,1.218274083836235e-07
1854,0.0,9.975675641094028e-08
1855,0.0,1.5708534206737568e-07
1856,0.0,1.3098288542678915e-07
1857,0.0,5.760180599168052e-08
1858,4.893676019968041e-10,1.84491590671243e-07
1859,0.0,1.1202781169394882e-07
1860,0.0,1.4784304108728108e-07
1861,0.0,1.2921740177862517e-07
1862,0.0,1.2921440650792704e-07
1863,0.0,1.40348845434346e-07
1864,0.0,1.4384183799620587e-07
1865,0.0,1.0731605359914909e-07
1866,0.0,1.1434190128056798e-07
1867,0.0,1.509224389906194e-07
1868,0.0,1.580759707575652e-07
1869,0.0,1.3234337359335768e-07
1870,0.0,1.8520976974301107e-07
1871,0.0,1.0408754036461687e-07
1872,0.0,8.526748351833646e-08
1873,0.0,1.616221161349074e-07
1874,0.0,1.5115760776396314e-07
1875,0.0,1.5162047395378409e-07
1876,0.0,1.7533442342454464e-07
1877,0.0,1.1008972489179314e-07
1878,0.0,1.431264053941561e-07
1879,0.0,1.5639872508188546e-07
1880,0.0,1.148794492866756e-07
1881,0.0,1.3317488800623778e-07
1882,0.0,1.6705016303575349e-07
1883,0.0,1.6619861131772495e-07
1884,0.0,1.452373306065624e-07
1885,0.0,1.127986274385151e-07
1886,0.0,1.303599768132102e-07
1887,0.0,1.36454523347318e-07
1888,0.0,1.984612412186948e-07
1889,0.0,1.4347163701522447e-07
1890,0.0,1.507508948783709e-07
1891,0.0,1.7019167497522858e-07
1892,0.0,1.7113038275340386e-07
