year,bien_ADV au_ADP,bien_ADV sot_ADJ
1800,6.115399749262451e-06,1.2576657448803985e-07
1801,5.760080604488849e-06,8.096020565062645e-08
1802,5.516276161188216e-06,1.096541666356643e-07
1803,5.724245419003182e-06,9.361628272586131e-08
1804,6.337826022217996e-06,1.16176993358863e-07
1805,5.947300124375943e-06,6.538618513296512e-08
1806,5.6624798432380885e-06,9.509508203109363e-08
1807,5.591419764527927e-06,1.1103124819555887e-07
1808,5.409118429611226e-06,1.2916621727754318e-07
1809,5.5436607198089405e-06,6.551188391767937e-08
1810,5.1318978080416855e-06,9.594519356781461e-08
1811,5.48548391066106e-06,9.27618373225414e-08
1812,5.531790002066828e-06,1.0668833283489221e-07
1813,6.191471761951561e-06,1.3515985486378668e-07
1814,6.692982140066306e-06,1.2272040716965193e-07
1815,5.995927963908798e-06,7.552225866902518e-08
1816,5.905254880644861e-06,3.0128852301913867e-08
1817,6.433000848460324e-06,1.1053801252103312e-07
1818,5.654214376704658e-06,1.3232506823612766e-07
1819,5.689972383038366e-06,1.3870407400418117e-07
1820,6.037665606584142e-06,1.3883783189783117e-07
1821,6.441523993316878e-06,1.9328517453232053e-07
1822,6.3010997166657035e-06,1.1328945959121484e-07
1823,6.4939134318819924e-06,1.848062431974995e-07
1824,6.8084694646586286e-06,7.831634629695827e-08
1825,7.035548861722418e-06,1.5233416572613123e-07
1826,6.88167827433972e-06,1.39166150603387e-07
1827,6.022566125807316e-06,6.82078233893435e-08
1828,6.276605859056872e-06,8.805409112966345e-08
1829,6.471890529269331e-06,1.1402324417986165e-07
1830,7.635589071242066e-06,1.158488744934516e-07
1831,7.095557705838473e-06,1.200522898869849e-07
1832,7.206061468423286e-06,1.4341767862191546e-07
1833,7.792306774945246e-06,9.498575137545373e-08
1834,7.021434186071929e-06,1.1574818259418862e-07
1835,7.335439050848436e-06,1.4445497953374797e-07
1836,7.679801257154395e-06,1.1962934909348633e-07
1837,7.236206698735259e-06,9.810626422357416e-08
1838,7.586587372543363e-06,9.846972393035003e-08
1839,7.729075718998502e-06,8.459685041373177e-08
1840,7.59075776102236e-06,7.579929484080594e-08
1841,7.935156247640407e-06,9.502411657535959e-08
1842,7.961368766018495e-06,7.043678307283585e-08
1843,7.74986733631522e-06,9.51012708583221e-08
1844,7.551162468644179e-06,8.342612911604874e-08
1845,8.16219954913322e-06,9.82120127446251e-08
1846,7.717403434526204e-06,1.0245376991235844e-07
1847,7.113122478585865e-06,6.633665172728342e-08
1848,7.734676273685182e-06,5.792559676365272e-08
1849,7.3621538092538685e-06,4.105913209428991e-08
1850,7.700079464711962e-06,3.258718273002614e-08
1851,7.393636735741893e-06,8.384270344663491e-08
1852,7.823722540933886e-06,7.552232439422824e-08
1853,8.051358776128836e-06,7.882950292525948e-08
1854,8.233569076310232e-06,1.0339372602530261e-07
1855,7.976856721825243e-06,8.225752878843196e-08
1856,8.04845805646437e-06,6.885661640865237e-08
1857,8.192636471449077e-06,1.0251169202390997e-07
1858,8.869298170566253e-06,1.1108644848434324e-07
1859,8.61595759715783e-06,1.0438955122538118e-07
1860,8.517681095554508e-06,1.212953710805209e-07
1861,8.846676507801021e-06,9.950683299564389e-08
1862,8.736881682125386e-06,8.584174127079791e-08
1863,8.583255549865498e-06,9.939295431138362e-08
1864,9.371775661293213e-06,6.233146443435089e-08
1865,9.37273887302581e-06,1.0260921090576858e-07
1866,9.058311746912295e-06,1.0801660721426742e-07
1867,9.264017535315361e-06,8.880644664088777e-08
1868,9.050837491031416e-06,1.022553899332479e-07
1869,9.168807309833937e-06,1.1720445680651892e-07
1870,9.156702503787528e-06,8.02766844110181e-08
1871,9.503829176082945e-06,8.390729711038603e-08
1872,9.51730243059501e-06,1.0643317249758866e-07
