year,bon_ADJ an_NOUN,bon_ADJ sang_NOUN
1800,1.3834323553396644e-07,2.829748035892976e-08
1801,1.166779455274991e-07,1.0715321430154745e-07
1802,8.056224487518193e-08,5.147032311469957e-08
1803,3.120542824142092e-08,1.950339179046523e-08
1804,6.673997243744623e-08,3.2134061411781545e-08
1805,5.685755466444675e-08,3.695741046527701e-08
1806,1.0662176119780042e-07,4.610670512050774e-08
1807,3.9857372513552036e-08,2.562259560079383e-08
1808,3.852325791697808e-08,4.5321479014148736e-08
1809,3.6144488291256494e-08,2.0331274663831778e-08
1810,3.510190227373755e-08,8.190443523403701e-08
1811,2.507076715119183e-07,9.025475833368546e-08
1812,2.400487453257938e-08,5.60113715408761e-08
1813,5.1763349162570194e-08,8.052076339026826e-08
1814,1.0069366851439554e-07,5.3493510066005e-08
1815,3.5063905334808965e-08,4.8550024445148665e-08
1816,1.8540831092650478e-08,4.8669683394564345e-08
1817,3.425121486433369e-08,3.269434190045217e-08
1818,5.364529798157491e-08,5.722165097310494e-08
1819,1.8631889808773394e-08,2.8982939825894505e-08
1820,1.1629151686065597e-07,4.2719332071783356e-08
1821,7.49473095806863e-08,9.368413600441272e-08
1822,5.6143449000956025e-08,3.5089655625597516e-08
1823,1.126626291148014e-07,6.917880668311227e-08
1824,2.0210670470532932e-08,1.0526390514797868e-07
1825,4.6668849229547504e-08,1.0126259475384813e-07
1826,4.84439142134363e-08,1.162653910924405e-07
1827,3.871254605769536e-08,6.359918519605046e-08
1828,2.9351363395324626e-08,7.154394765507277e-08
1829,5.915491474439705e-08,2.5719528284895432e-08
1830,8.140731755368336e-08,9.39315247805439e-08
1831,8.57516342378517e-08,5.14509785887185e-08
1832,1.4612366427968482e-07,4.600189651426945e-08
1833,9.614411311531512e-08,7.761031284303499e-08
1834,6.720862266718086e-08,5.1339918538673146e-08
1835,1.3916081798015512e-07,9.378229037793062e-08
1836,1.0753200463398116e-07,9.946710299857386e-08
1837,1.2385046099794295e-07,8.7669424608805e-08
1838,1.1425013313193233e-07,8.837026843622198e-08
1839,9.857980054484017e-08,5.2436063491256846e-08
1840,9.681926937954444e-08,8.726473499365284e-08
1841,1.4061001163412357e-07,1.0658110438654944e-07
1842,1.2007794580881637e-07,6.037438460282374e-08
1843,1.1754752771153676e-07,7.147362612869301e-08
1844,7.629100307049441e-08,9.824524660473344e-08
1845,1.4285383187484513e-07,6.752075565330529e-08
1846,1.5865699154460344e-07,5.971591576781066e-08
1847,9.977463655275187e-08,2.8044762956369595e-08
1848,1.5044565060406967e-07,8.286578356830887e-08
1849,1.3742240234648762e-07,4.524884200662882e-08
1850,1.249175332063146e-07,7.060555695659332e-08
1851,1.3285843669663677e-07,3.9341576663076694e-08
1852,1.0351766932537032e-07,5.9245962802378926e-08
1853,1.8632428044895732e-07,7.644072752555076e-08
1854,1.4963514161081548e-07,3.740878451452545e-08
1855,1.841507177857693e-07,1.0083180157494098e-07
1856,1.972509142689205e-07,7.092749321202518e-08
1857,1.6938836022717396e-07,1.0446429321575579e-07
1858,1.9770451054057503e-07,7.780944955015912e-08
1859,1.680417205385254e-07,8.402085960312888e-08
1860,1.6386318502092934e-07,7.506581667371393e-08
1861,2.0703080760853254e-07,8.488734692946309e-08
1862,2.5571801476331757e-07,7.499857535009369e-08
1863,1.8530042567022065e-07,6.792684281720085e-08
1864,1.8459702566531178e-07,8.822299779609466e-08
1865,1.74623919768635e-07,7.71922454845253e-08
1866,1.6494427779178977e-07,1.0898973101802767e-07
1867,2.052739329627684e-07,6.454239454001254e-08
1868,1.9808895634909618e-07,1.0571330655295696e-07
1869,2.3538562921032735e-07,1.167161052251231e-07
1870,1.5883315729325886e-07,1.1296076074529537e-07
1871,1.6887672416032729e-07,1.1046024184224734e-07
1872,1.4815981774773945e-07,1.19737322279434e-07
1873,1.711997255071651e-07,9.517747123766185e-08
