year,son_DET sentier_NOUN
1800,2.5153315874604232e-08
1801,9.524730337773235e-09
1802,2.2378401354217203e-08
1803,2.3404070459420723e-08
1804,7.4155526164076946e-09
1805,1.421438877713399e-08
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,2.4926813058101516e-08
1809,9.036122072814123e-09
1810,2.106114038724627e-08
1811,0.0
1812,2.6672082320544632e-09
1813,3.163315653864629e-08
1814,3.4613449884091096e-08
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,1.3113295338484932e-08
1819,3.1053151161586356e-09
1820,1.779972080839798e-08
1821,4.930744257336528e-09
1822,1.5038423839541792e-08
1823,1.7788837070042973e-08
1824,1.1789557774477544e-08
1825,1.0566531649658373e-08
1826,1.8496766784892316e-08
1827,1.7512819638909605e-08
1828,2.2930752408001354e-08
1829,1.457439946506156e-08
1830,2.817945699007396e-08
1831,1.7150326492298973e-08
1832,5.2766881641908014e-08
1833,2.20088942626262e-08
1834,2.7070139907436896e-08
1835,1.2100940693926532e-08
1836,4.5701099793404865e-08
1837,2.1569461661208322e-08
1838,2.2092566664966284e-08
1839,2.237272100913401e-08
1840,6.560779297615227e-08
1841,6.484754333513365e-08
1842,5.43369451655451e-08
1843,3.898561473647533e-08
1844,3.67733621886579e-08
1845,1.9530798311961917e-08
1846,3.981061014179943e-08
1847,2.8044762956369595e-08
1848,1.2872355126258839e-08
1849,4.692472543865733e-08
1850,3.394497838371535e-08
1851,3.4826968864365426e-08
1852,4.557381916292513e-08
1853,3.463720288365835e-08
1854,2.597832238215858e-08
1855,5.200798369742188e-08
1856,6.523258322399528e-08
1857,7.224633646885081e-08
1858,3.474509924217273e-08
1859,6.314294753728689e-08
1860,5.172217887317032e-08
1861,6.130752849831111e-08
1862,6.189641521547884e-08
1863,4.19548156216365e-08
1864,4.123465868755005e-08
1865,5.3658027354686055e-08
1866,2.286838091114518e-08
1867,3.979305418511103e-08
1868,1.3337659976464522e-08
1869,3.564969008884589e-08
1870,4.128515085355389e-08
1871,3.823623728749226e-08
1872,3.446983309896012e-08
1873,4.010622978167788e-08
1874,2.1508592573660223e-08
1875,1.602027621672164e-08
1876,3.3857682879556705e-08
1877,3.463496867084359e-08
1878,4.5897075418022126e-08
1879,4.154341215478752e-08
1880,2.3104246071881107e-08
1881,3.2073533162702006e-08
1882,3.6604619113589365e-08
1883,1.516641390253426e-08
1884,3.630933420595284e-08
1885,3.2872742916634223e-08
1886,1.936039106809062e-08
1887,3.1991731541669566e-08
1888,2.4728397107764977e-08
1889,2.318100555953606e-08
1890,2.1629475543960552e-08
1891,4.525696217783093e-08
1892,2.3193495124473884e-08
1893,2.586534902926374e-08
1894,1.4493540145821271e-08
1895,1.5648397244660828e-08
1896,2.7126333179694484e-08
1897,1.2818770045441852e-08
1898,2.1501747937691107e-08
1899,2.7085134135518274e-08
1900,1.1939421895590385e-08
1901,2.2913829389459295e-08
1902,1.6694964799501832e-08
1903,1.2960528428251905e-08
1904,1.8811187274536678e-08
1905,1.2385822145688508e-08
1906,2.9321852501595913e-08
1907,2.3657079406547155e-08
1908,2.406580601466146e-08
1909,2.365422852035337e-08
1910,3.473697940403753e-08
1911,1.542908456553249e-08
1912,1.771203156364365e-08
1913,1.0605979872124749e-08
1914,1.875088173619588e-08
1915,1.2958838224719216e-08
1916,8.789969641043172e-09
1917,1.2063066989753679e-08
1918,1.722956355365568e-08
1919,1.8415697411455767e-08
1920,1.2872794385998532e-08
1921,2.4232791773215467e-08
1922,2.8773948279603445e-08
1923,3.078624954966358e-08
1924,4.125319807979366e-08
1925,1.759708534443405e-08
1926,1.6719207573956396e-08
1927,1.0034302277972529e-08
1928,1.4853853258500749e-08
1929,2.2280811862174232e-08
1930,1.05036033204442e-08
1931,1.3686427990933225e-08
1932,2.4110980323399644e-08
1933,1.835305885045102e-08
1934,1.3179738189705859e-08
1935,9.574627313213568e-09
1936,1.9399543305098632e-08
1937,1.2591118370153254e-08
1938,1.0372171899142302e-08
1939,1.2235240376412548e-08
1940,0.0
1941,1.4757512545315876e-08
1942,1.8205270180260413e-08
1943,3.774205858952939e-08
1944,2.8918675454292497e-08
1945,1.742803235060819e-08
1946,9.744772988540262e-09
1947,8.344609447874518e-09
1948,1.4133454406817236e-08
1949,1.3743811422273211e-08
1950,2.765194051512765e-08
1951,1.3859822622919182e-08
1952,1.2653764258629963e-08
1953,8.619061908632375e-09
1954,1.9545072227344917e-08
1955,1.8771215692936494e-08
1956,1.6570168570595456e-08
1957,3.003912851795576e-08
1958,2.3989505326671434e-08
1959,1.9376869886400527e-08
1960,2.07624992754063e-08
1961,1.042223907177231e-08
1962,1.6489086374082973e-08
1963,2.1984580267364606e-08
1964,1.3384730601639916e-08
1965,1.6963333848707407e-08
1966,1.82789473557321e-08
1967,1.1832805346667641e-08
1968,1.7067379842750086e-08
1969,1.862120674323009e-08
1970,2.8971968324409403e-08
1971,2.1067429134546956e-08
1972,3.5911028817281476e-08
1973,3.087394151446432e-08
1974,1.6876715136504572e-08
1975,2.1132477101559743e-08
1976,1.4855169427896442e-08
1977,9.402850942308305e-09
1978,2.3168306606535793e-08
1979,1.9896709724243067e-08
1980,2.5014662341504845e-08
1981,2.3404533699977748e-08
1982,3.2279010242497463e-08
1983,2.77873913878679e-08
1984,2.609553773069706e-08
1985,1.9249785432329247e-08
1986,2.3977941410180392e-08
1987,2.6276512021805587e-08
1988,1.4991384744700298e-08
1989,1.975724017722058e-08
1990,2.451892872068484e-08
1991,2.0515128484888123e-08
1992,2.9202704754371922e-08
1993,2.880387894865777e-08
1994,3.006708115815826e-08
1995,2.9281234381617338e-08
1996,4.163712086224791e-08
1997,4.5551498573104254e-08
1998,5.4833487528327396e-08
1999,4.433095215916616e-08
2000,3.092622014033708e-08
2001,4.162151068243247e-08
2002,3.504977230672779e-08
2003,2.541823063140214e-08
2004,2.3785872299564303e-08
2005,3.873224718731194e-08
2006,3.047238655851103e-08
2007,2.6763012084263238e-08
2008,3.703972434321301e-08
2009,4.1483273705011925e-08
2010,3.3066550497729e-08
2011,3.709252882622138e-08
2012,4.11914582998385e-08
2013,4.434708916756236e-08
2014,5.8033930661061106e-08
2015,4.809968667807141e-08
2016,5.1990634464260665e-08
2017,7.496522025363106e-08
2018,5.1629333475133876e-08
2019,4.4387186148853175e-08
