year,bon_ADJ sentier_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,1.3427040812530322e-08
1803,1.950339223455444e-09
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,0.0
1817,1.556873407970727e-09
1818,1.7881765401739358e-08
1819,7.24573512300708e-09
1820,5.933240565525466e-09
1821,1.97229765852569e-09
1822,8.02049271442229e-09
1823,3.9530747564242574e-09
1824,7.57900142644985e-09
1825,2.641632912414593e-09
1826,4.403992281964975e-09
1827,1.8434546333878643e-08
1828,2.7516904310687096e-09
1829,0.0
1830,3.1310507520032616e-09
1831,3.1182412207897414e-09
1832,8.117981842303834e-09
1833,3.4750886612755494e-09
1834,1.4935249481595747e-08
1835,5.294161553592858e-09
1836,1.2097349788575684e-08
1837,9.045257876039159e-09
1838,3.1560809521380406e-09
1839,7.690622361167243e-09
1840,3.1848443882154243e-09
1841,2.5682194149112547e-09
1842,1.0062397137744483e-08
1843,9.451057714215949e-09
1844,6.037417232818143e-09
1845,6.138250796539069e-09
1846,8.196302303531411e-09
1847,3.235934187273415e-09
1848,4.02261068899179e-09
1849,4.1897072478036534e-09
1850,4.752297222410107e-09
1851,4.514607354622058e-09
1852,3.906327261660181e-09
1853,5.971931837933653e-09
1854,2.234135720868835e-08
1855,2.7596072982305486e-08
1856,9.318940286107136e-09
1857,1.9526036343364694e-09
1858,1.6149130033227266e-08
1859,2.1387128512628806e-08
1860,1.9224172476128842e-08
1861,1.2733101684148096e-08
1862,9.035972858839614e-09
1863,1.048870412745373e-08
1864,6.712618905169165e-09
1865,6.589582213223366e-09
1866,1.5083399418358567e-08
1867,1.5043715606566366e-08
1868,8.397785578040384e-09
1869,1.0255390314739543e-08
1870,1.3761717099214366e-08
1871,1.5931766128574054e-08
1872,1.3304146229131675e-08
1873,3.591602570907071e-09
1874,1.9118749250424116e-08
1875,6.865832347102696e-09
1876,1.6324239737741664e-08
1877,1.855444864418132e-08
1878,6.6429977074733415e-09
1879,2.504823370941267e-08
1880,8.343199908722454e-09
1881,1.4642266066289267e-08
1882,1.3310770263785798e-08
1883,1.7062214752172622e-08
1884,1.3203393933736152e-08
1885,5.80107206715752e-09
1886,8.38950331427668e-09
1887,1.6322312390570914e-08
1888,1.1413106904001324e-08
1889,1.566284169030041e-08
1890,2.4251230357208442e-08
1891,1.0198752065093686e-08
1892,1.2537024751679837e-08
1893,1.847524977449666e-08
1894,1.3863386882917439e-08
1895,1.5046536461227333e-08
1896,2.358811634906033e-08
1897,3.26295968022805e-08
1898,1.6975064909274806e-08
1899,4.9748205555033564e-09
1900,1.86877908703309e-08
1901,1.620734302321125e-08
1902,1.7677022512430085e-08
1903,1.9980815224585058e-08
1904,1.827372564378038e-08
1905,1.3934049469810361e-08
1906,6.173021205313489e-09
1907,1.2857108266928208e-08
1908,1.1787333775714615e-08
1909,7.701377313651392e-09
1910,2.6186338430989053e-08
1911,2.2345570727111408e-08
1912,2.2921453179947093e-08
1913,9.545381374209683e-09
1914,9.37544086809794e-09
1915,1.8849219074468238e-08
1916,5.493730803607377e-09
1917,2.1932848426331475e-08
1918,1.4932290071101306e-08
1919,1.1970202606903513e-08
1920,5.300562211374427e-09
1921,9.087297137000405e-09
1922,2.8036154731125862e-08
1923,1.4862327368803108e-08
