year,en_ADP eaux_NOUN,en_ADP sauts_NOUN
1800,2.358123420975744e-07,9.432493897065797e-09
1801,2.524053570596152e-07,2.3811825400343878e-08
1802,2.5735161557349784e-07,2.2378401354217203e-09
1803,1.1331471370112922e-06,0.0
1804,4.696516728852629e-07,0.0
1805,5.34461003454112e-07,0.0
1806,2.7087691023552907e-07,6.051504897186533e-08
1807,3.074711401040986e-07,2.8469551160981155e-09
1808,2.5153420679657756e-07,1.1330369531492579e-08
1809,2.710836657371374e-07,2.259030518203531e-09
1810,3.1825722945910684e-07,7.020380277111826e-09
1811,3.4096243783920954e-07,2.5070767684098882e-09
1812,2.667208347517658e-07,0.0
1813,2.0992914051554123e-07,0.0
1814,2.580275122454623e-07,6.293354282149721e-09
1815,2.5623624266835066e-07,0.0
1816,2.062667476820934e-07,0.0
1817,2.2107602470899934e-07,9.341240669868967e-09
1818,1.9908365556098317e-07,0.0
1819,3.3226870055358404e-07,2.070210003424222e-09
1820,2.1003671690777992e-07,1.3053129244156025e-08
1821,2.031466594942799e-07,2.070912508145284e-08
1822,1.5439448475262907e-07,0.0
1823,1.2649839309375466e-07,4.941343334508019e-09
1824,1.9621192581809055e-07,1.51580028528997e-08
1825,1.787504968486786e-07,0.0
1826,2.3164999207736514e-07,7.0463874735082754e-09
1827,2.0185828181196186e-07,8.295545583791863e-09
1828,1.751909479708047e-07,3.668920500743411e-09
1829,2.1518671777798204e-07,1.457439946506156e-08
1830,1.8890672803806297e-07,1.0436835840010872e-09
1831,2.7908258548592357e-07,5.3010101197514814e-08
1832,3.368962495642336e-07,1.352996914505411e-08
1833,2.536814502906992e-07,2.0850531967653296e-08
1834,1.7455573142477476e-07,2.42697808516823e-08
1835,2.2008586597621616e-07,3.781543966852041e-09
1836,1.854926970912274e-07,3.36037508930076e-09
1837,1.8507989274496595e-07,4.174734336004349e-09
1838,2.057764847407384e-07,1.3886756633496589e-08
1839,2.551888466095775e-07,1.1885507689157748e-08
1840,1.0828470919932442e-07,0.0
1841,1.8491180320268086e-07,1.219904177673925e-08
1842,1.677066228111812e-07,6.037438549100216e-09
1843,2.0615119794564762e-07,2.3627644285539873e-09
1844,1.9374621373913214e-07,3.2931368743049916e-09
1845,1.696389348992966e-07,2.2320911785556063e-09
1846,2.1603110056389596e-07,1.0538101946622191e-08
1847,1.526282265018608e-07,6.47186837454683e-09
1848,3.07327463255902e-07,5.63165514222419e-09
1849,2.1618890544417013e-07,2.513824481908955e-09
1850,1.5003680609027015e-07,2.7155984128057753e-09
1851,2.347595637886002e-07,2.257303499675345e-08
1852,2.8841716326333255e-07,1.1718981340891332e-08
1853,2.3589130093704114e-07,4.777545470346922e-09
1854,2.202961661978975e-07,1.0391328908454511e-09
1855,1.9529528572093113e-07,3.1841622671890946e-09
1856,1.7602443536102186e-07,6.212626857404757e-09
1857,1.7768692828212806e-07,2.3431244500216053e-08
1858,1.1842696068242731e-07,8.31924928945682e-09
1859,2.1896344959415615e-07,4.582956236731661e-09
1860,2.2657060874675672e-07,5.034902272882391e-09
1861,2.0090005414807877e-07,8.488735048217677e-09
1862,2.177669320979625e-07,3.6143890103090826e-09
1863,2.062778469147375e-07,1.9978483312144135e-09
1864,2.1624223289773425e-07,2.3973640850272204e-09
1865,1.8968582082834473e-07,4.706844358715045e-10
1866,1.965707678852624e-07,0.0
1867,2.406994568104892e-07,2.91168689159349e-09
1868,2.7317504580626206e-07,4.939874287401835e-09
1869,1.982708842662717e-07,1.5138908793232986e-08
1870,2.339491849134845e-07,6.307453670473251e-09
1871,1.561313054398994e-07,1.0621177271019633e-09
1872,2.2677521704927983e-07,9.071008832961525e-09
1873,3.63949070603109e-07,1.1972008939764578e-09
1874,2.0014940327328645e-07,2.3898436007918633e-09
1875,1.8080025182554138e-07,4.577221712764867e-09
1876,2.0919211096703805e-07,1.209202959984168e-09
1877,2.739873469215226e-07,3.0924081073635534e-09
1878,3.7261177632252895e-07,4.22736201599605e-09
1879,2.736977664508089e-07,1.221865053580018e-09
1880,2.182067788680797e-07,1.0910338410496934e-08
1881,3.221298540134754e-07,5.5780060570498335e-09
1882,2.555667919512672e-07,3.9932310791357395e-09
1883,2.622525638873441e-07,6.319338829996468e-09
