year,son_DET cellier_NOUN
1800,3.458580977167003e-08
1801,4.0480102825313224e-08
1802,2.2378401354217203e-09
1803,2.3404069793286908e-08
1804,4.69651695311768e-08
1805,0.0
1806,5.76333825108577e-09
1807,3.131650672116848e-08
1808,6.798221985349073e-09
1809,2.25903047379461e-08
1810,1.8721014072298203e-08
1811,2.0056614147279106e-08
1812,2.9339290108509886e-08
1813,1.7254450312975678e-08
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,1.1588019432906549e-08
1817,7.784366928831332e-09
1818,2.98029441125891e-08
1819,2.6912729822470283e-08
1820,1.779972080839798e-08
1821,4.043210211079895e-08
1822,1.9048670196752937e-08
1823,6.127265805844218e-08
1824,2.947389532437228e-08
1825,2.8177417732422327e-08
1826,1.056958154332932e-08
1827,3.96342727526644e-08
1828,1.559291185060374e-08
1829,1.457439946506156e-08
1830,3.965997663613052e-08
1831,4.053713453799901e-08
1832,2.0294953273491956e-08
1833,4.9809603552830595e-08
1834,2.240287422239362e-08
1835,3.857174846189082e-08
1836,3.427582484505365e-08
1837,2.2961040069269245e-08
1838,2.4617431648721322e-08
1839,4.474544157417881e-08
1840,5.796416785441849e-08
1841,3.980740004294603e-08
1842,2.683306021822318e-08
1843,3.2488009671372e-08
1844,3.2931367854871496e-08
1845,2.6227071736606433e-08
1846,4.9177810268474786e-08
1847,5.716817241818717e-08
1848,1.689496542667257e-08
1849,4.7762666932626985e-08
1850,4.480737469947371e-08
1851,5.7400004749297295e-08
1852,7.617337871579366e-08
1853,3.58315901394235e-08
1854,3.1173985892696265e-08
1855,2.9188154115900034e-08
1856,3.727576086687279e-08
1857,4.490988203542656e-08
1858,3.963877404089544e-08
1859,4.786642904264227e-08
1860,3.249800428761773e-08
1861,4.8102830385587936e-08
1862,4.96978494468614e-08
1863,3.795911851511846e-08
1864,3.7398876884253696e-08
1865,3.106517199036318e-08
1866,4.233083095162016e-08
1867,6.308654576514527e-08
1868,3.556709415875048e-08
1869,3.857980246380066e-08
1870,2.8670243068518175e-08
1871,2.973929724703339e-08
1872,2.963196266136947e-08
1873,2.4542618937140048e-08
1874,2.9873046258899194e-08
1875,3.37570102426632e-08
1876,3.929909553335165e-08
1877,1.7317484335421796e-08
1878,3.865016834359025e-08
1879,2.8102896787451925e-08
1880,3.5939940801199555e-08
1881,3.277078497454511e-08
1882,3.6604619557678575e-08
1883,2.9068959073175193e-08
1884,3.895001299270007e-08
1885,3.0939052209078e-08
1886,3.484870347847391e-08
1887,1.566941953967671e-08
1888,3.106901180771615e-08
1889,2.6313574430503195e-08
1890,2.6217545467943637e-08
1891,3.1871099537283953e-08
1892,3.384996816180319e-08
1893,3.325545000487651e-08
1894,4.915200690902566e-08
1895,4.092657945875544e-08
1896,3.2433659702402196e-08
1897,3.554295346930303e-08
1898,3.112095137147719e-08
1899,2.8743407654019393e-08
1900,3.0627212765921286e-08
1901,3.4650181446327366e-08
1902,2.8970675469697227e-08
1903,4.050165358648883e-08
1904,3.547252447333449e-08
1905,1.7030505006232488e-08
1906,3.395161751740261e-08
1907,2.5714216533856415e-08
1908,1.5225305460830896e-08
1909,1.7053048750881317e-08
1910,4.8631772386897865e-08
1911,3.511447044246552e-08
1912,2.7088990606216612e-08
1913,1.5908969752675972e-08
1914,1.4063162190325329e-08
1915,2.1205371680821372e-08
1916,1.538244731591476e-08
1917,1.2063066989753679e-08
1918,3.9053680289669046e-08
1919,3.867296172188617e-08
1920,2.1202248845497706e-08
1921,2.801916526573578e-08
1922,3.4676296833957565e-08
1923,2.229349149729387e-08
1924,4.640984840875717e-08
1925,3.629398648286042e-08
1926,1.89484357093761e-08
1927,2.3413372574054847e-08
1928,2.399468712610542e-08
1929,1.893869061575515e-08
1930,2.10072066408884e-08
1931,2.9653927313688655e-08
1932,1.9727165678773417e-08
1933,1.605892663292252e-08
1934,2.516131836216573e-08
1935,2.2739739868882225e-08
1936,4.4861444337129797e-08
1937,2.5182236740306507e-08
1938,2.3337385357535823e-08
1939,3.364691281149135e-08
1940,2.02862628917444e-08
1941,1.4757512545315876e-08
1942,3.6410540360520827e-08
1943,6.967764676346633e-08
1944,1.2852744646352221e-08
1945,3.267756198965799e-08
1946,3.201854159584627e-08
1947,2.0265479960812627e-08
1948,2.391815279167986e-08
1949,2.4542520904446974e-08
1950,2.5524867552917385e-08
1951,2.5587365115598004e-08
1952,2.8470971358274255e-08
1953,1.723812381726475e-08
1954,1.4658803948464083e-08
1955,2.9095384768140775e-08
1956,1.9186511934776718e-08
1957,1.767007518083119e-08
1958,1.9026159758794847e-08
1959,1.4726420971555854e-08
