year,mon_DET avant_NOUN,mon_DET savant_NOUN
1800,1.4777572943103223e-07,3.238489298951208e-07
1801,1.8335105878009017e-07,3.571773916632992e-07
1802,4.699464284385613e-08,6.847790814390464e-07
1803,4.290746402624279e-08,2.847495252922272e-07
1804,1.0628959379310743e-07,5.166168364212353e-07
1805,1.7057266488151868e-08,4.3496027757328193e-07
1806,4.8988375134229045e-08,4.264870270276333e-07
1807,4.270432585329331e-08,3.473285374866464e-07
1808,1.3596443970698147e-08,4.6907730677503423e-07
1809,2.0105371145717754e-07,4.992457505181846e-07
1810,3.7442028588685616e-08,2.71454714706465e-07
1811,4.262030373070047e-08,6.367974947352195e-07
1812,9.868670325374751e-08,5.361088568633932e-07
1813,3.1633158537047734e-08,3.5084046601241425e-07
1814,5.664018765116907e-08,4.4997483072961586e-07
1815,4.855002333492564e-08,1.9420010133330834e-07
1816,9.965696712299632e-08,2.016315399089308e-07
1817,1.0119677185116416e-07,2.802372147669985e-07
1818,4.053200197695617e-08,2.6584225842896103e-07
1819,1.1075623262968293e-07,2.784432382441082e-07
1820,4.6279276411098635e-08,2.491961055284264e-07
1821,1.2524089898491297e-07,2.8894161374637406e-07
1822,7.418955760840618e-08,2.325942887182464e-07
1823,1.353928047453934e-07,2.3125487302877445e-07
1824,2.391596085615788e-07,2.6947562048462714e-07
1825,4.7461338237297923e-07,2.3246369096341368e-07
1826,1.382853491715963e-07,2.369347811281841e-07
1827,1.8987582883767118e-07,2.2674491617635795e-07
1828,9.080578389220051e-08,2.4856936775563554e-07
1829,4.372319878376274e-08,3.249233841984278e-07
1830,6.992679857376061e-08,4.842691723183634e-07
1831,1.2784789205078084e-07,4.958003430033386e-07
1832,6.900284699185022e-08,3.964280992363456e-07
1833,7.181849692727837e-08,4.0079355656530424e-07
1834,6.254135520578075e-08,3.2857548504239276e-07
1835,8.924443761770817e-08,4.0462521155859577e-07
1836,6.720749912147994e-08,3.8375483768504637e-07
1837,1.384620280653337e-07,3.993829480464228e-07
1838,1.0036337627639114e-07,3.881979715458783e-07
1839,6.711816080695598e-08,4.194885008246274e-07
1840,1.3631133066738244e-07,3.5160681832735463e-07
1841,7.062603168961346e-08,4.5200662235345135e-07
1842,7.91575280878476e-08,3.407798701005049e-07
1843,4.0757686170511676e-08,4.199813865568558e-07
1844,4.8299337418455934e-08,3.540122008871549e-07
1845,4.687391608193536e-08,5.40166070095438e-07
1846,5.503231292891542e-08,6.504351119929197e-07
1847,1.5532484809455127e-07,4.2768265018366947e-07
1848,5.551203130504945e-08,4.1432890895976016e-07
1849,2.0194390515371197e-07,6.008040358551625e-07
1850,3.4623881539630474e-08,4.915233020597043e-07
1851,5.6755062871616246e-08,5.914135385864938e-07
1852,2.9948509450150596e-08,7.376448039053685e-07
1853,8.241265980757362e-08,8.020304278488766e-07
1854,1.1222635176721951e-07,4.899511480971341e-07
1855,7.323573214534917e-08,5.375927258910451e-07
1856,4.0382075183753585e-08,7.009914355649016e-07
1857,2.6457779800370673e-07,5.237859355133878e-07
1858,1.0374593162332246e-07,6.880508465201274e-07
1859,1.0438955122538118e-07,7.017014809207467e-07
1860,1.354846478340832e-07,6.906970639874999e-07
1861,3.348334320918411e-08,7.753044357627914e-07
1862,8.719713795457551e-08,7.183598000892744e-07
1863,9.789456600906021e-08,8.331027459007601e-07
1864,5.2262534855351817e-08,9.37369293296797e-07
1865,1.0496262803361134e-07,9.776115632575966e-07
1866,4.9629251819283127e-08,8.222885981012951e-07
1867,6.357183046645787e-08,9.239753069323342e-07
1868,8.990570776745699e-08,1.0403374659517794e-06
1869,1.1622775764053017e-07,8.375235580615481e-07
1870,4.013834198346444e-08,8.996722442589089e-07
1871,4.248470863998932e-08,7.604763041513252e-07
1872,7.13586048028958e-08,9.65155372512072e-07
1873,1.06550877454481e-07,8.565972251517451e-07
1874,5.436894329191588e-08,9.188948837390853e-07
1875,4.291145394574869e-08,9.29748168232436e-07
1876,5.743714104333719e-08,9.55270351710169e-07
1877,7.421779169014542e-08,9.963738776264108e-07
1878,4.227362093711662e-08,7.60321256620955e-07
1879,6.903537430602569e-08,9.884888214628518e-07
1880,3.3372800967157445e-08,7.18156982770779e-07
1881,3.695429173777853e-08,7.927741165758562e-07
1882,5.191200380672001e-08,6.981498827940413e-07
1883,4.865891156669022e-08,8.518468916918209e-07
1884,3.762967093479119e-08,7.090222595707019e-07
1885,6.832373689036331e-08,7.953914717973021e-07
1886,3.097662693019032e-08,7.492471354453301e-07
1887,1.1229750196406485e-07,7.397271701847785e-07
1888,4.1848056131499334e-08,6.632282776308784e-07
1889,8.645888849301286e-08,6.453090790614624e-07
1890,6.947649655586474e-08,6.849333757941167e-07
1891,7.58532191502681e-08,6.680182664808854e-07
1892,9.778879217492431e-08,7.371770252007082e-07
