year,un_DET âge_NOUN,un_DET age_NOUN,un_DET sage_ADJ
1800,7.294461738638347e-06,8.174827748064217e-08,2.2700868669289775e-06
1801,8.181743396562524e-06,7.619784492263193e-08,2.378801440272582e-06
1802,8.45455997477984e-06,6.042168365638645e-08,2.5354729586979374e-06
1803,9.960382158169523e-06,5.460949870084164e-08,2.1902309725874147e-06
1804,1.0334808393963613e-05,9.640218401330003e-08,3.072510793344918e-06
1805,1.1289067515463103e-05,7.391482181873243e-08,3.06746500200461e-06
1806,8.495160727761686e-06,8.645007198992971e-08,2.175660299030824e-06
1807,9.252604286302812e-06,9.39495183871486e-08,1.9814807785678568e-06
1808,9.485785994911566e-06,6.571614541428517e-08,2.3045973520652296e-06
1809,8.882508154783864e-06,9.713831516933169e-08,1.8140015498602224e-06
1810,1.1286431799817365e-05,8.892481462297042e-08,2.1014337363567392e-06
1811,1.05823710327968e-05,7.019815129183371e-08,2.0783666059287498e-06
1812,9.641958058637101e-06,9.068507988985175e-08,2.1124289446561306e-06
1813,1.2713653632090427e-05,8.627224801216471e-08,2.243078498054274e-06
1814,8.448828339169268e-06,6.608022040666128e-08,2.004433312663423e-06
1815,9.923085599439219e-06,6.203614222322074e-08,1.87457037270633e-06
1816,8.894963684724644e-06,2.7811246638975717e-08,2.2712517449008374e-06
1817,8.732503374631051e-06,5.7604314207537755e-08,2.6389004261773152e-06
1818,9.080360541702248e-06,5.960588644882137e-08,2.5463635893174796e-06
1819,9.154468898486812e-06,1.0247539727892274e-07,3.3423540912735916e-06
1820,8.34688307804754e-06,7.00122386732005e-08,2.311590520776008e-06
1821,1.008632989396574e-05,9.269799050581895e-08,2.7395213635372784e-06
1822,9.08120273379609e-06,7.920236555492011e-08,2.7109266369507168e-06
1823,7.838947567506693e-06,4.348382187657762e-08,2.3293493001119714e-06
1824,8.336901373695582e-06,6.568467902923203e-08,2.42022787233509e-06
1825,8.715627700439654e-06,5.19521154984659e-08,2.582636525971793e-06
1826,7.391660346911522e-06,5.284790449699983e-08,2.2090424920406804e-06
1827,8.119495760183781e-06,7.189472900348548e-08,2.0904774231667034e-06
1828,7.648782229807694e-06,8.255070815810228e-08,1.9821342647219353e-06
