year,en_ADP airs_NOUN,en_ADP serres_NOUN
1862,1.0843167252971853e-08,2.4848924695675123e-08
1863,9.489779628779615e-09,2.1476870060155306e-08
1864,1.3904711160250827e-08,2.8768367243969806e-08
1865,7.530950973944073e-09,1.97687466396701e-08
1866,1.0704348518686402e-08,2.092213513549268e-08
1867,2.426405742994575e-08,3.008743121313273e-08
1868,1.1855697756857353e-08,3.210918109175509e-08
1869,1.5627261262807224e-08,1.2208797861568144e-08
1870,8.027668307875047e-09,2.8670243512607385e-08
1871,6.37270636261178e-09,1.5931766128574054e-08
1872,1.269941263259966e-08,3.62840353318461e-08
1873,1.496501056408306e-08,2.3944018323618366e-08
1874,3.5847653734322193e-09,2.6288279997288555e-08
1875,6.293679799540541e-09,1.3731664694205392e-08
1876,2.0556450763820067e-08,2.1765654167893445e-08
1877,7.421779191219002e-09,2.6594708657512456e-08
1878,2.8383716710322915e-08,1.69094480639842e-08
1879,5.498392852132383e-09,1.710611030603104e-08
1880,1.2193908105473383e-08,2.0537108458285047e-08
1881,2.022027217885025e-08,4.392679869846816e-08
1882,9.983077475794744e-09,3.8601231988621976e-08
1883,7.583206784733676e-09,5.6242115520355185e-08
1884,1.9805090900604227e-08,3.3668656307384026e-08
1885,1.6114089618213256e-08,4.898683253484748e-08
1886,1.5488312854472497e-08,4.3238208957685487e-08
1887,1.8933882017790893e-08,5.35371814103236e-08
1888,6.974675947901687e-09,5.009085524143586e-08
1889,8.771191772893872e-09,3.4458253139746375e-08
1890,1.1797895993481688e-08,3.1461055982617836e-08
1891,1.1473596073230397e-08,3.314594465564369e-08
1892,1.0656471260972467e-08,4.0118478983330874e-08
1893,2.3401982574000613e-08,5.973663891323255e-08
1894,9.452309157609307e-09,8.633108850020221e-08
1895,9.027921299420427e-09,4.69451926221609e-08
1896,1.4152869098893461e-08,6.014969655687707e-08
1897,1.6897470089816125e-08,7.050323425072946e-08
1898,5.6583546736987955e-09,7.921696720813998e-08
1899,1.1055156790007459e-08,5.969784666604028e-08
1900,6.748368974740515e-09,7.838490256872888e-08
1901,2.235495566438317e-09,4.247441509619421e-08
1902,8.838511256215043e-09,7.021706260879057e-08
1903,1.1880484596105134e-08,6.480264147512571e-08
1904,1.2361637935498493e-08,7.470728746739042e-08
1905,4.644683138099737e-09,4.438252787508645e-08
1906,2.0576738091193647e-09,4.83553357355504e-08
1907,8.742833790265081e-09,5.862841589987511e-08
1908,2.1118972570732808e-08,4.0273391732625896e-08
1909,9.351672325408344e-09,5.886052478754067e-08
1910,1.2825961404061559e-08,5.7182411472567196e-08
1911,1.702519769608557e-08,4.9479478292369095e-08
1912,6.772247651554153e-09,6.980624500663168e-08
1913,5.833288518886093e-09,4.454511387530502e-08
1914,7.36641797560722e-09,4.28591582779525e-08
1915,2.3561523843085297e-09,5.5369582696584985e-08
1916,1.0987462051303964e-09,2.966614687238689e-08
1917,2.1932848870420685e-09,9.102132025873289e-08
1918,1.4932289182922887e-08,4.135095466040184e-08
1919,1.289098744416961e-08,5.156395094241262e-08
1920,1.2872794385998532e-08,4.997673030970873e-08
1921,2.2718242898012164e-08,5.6038331308627676e-08
1922,2.1396012073182646e-08,6.049906886573808e-08
1923,1.9108707505210987e-08,3.715581797791856e-08
1924,2.9650736976805092e-08,5.027733596119077e-08
1925,2.3096173862313663e-08,4.5092528377921326e-08
1926,1.8948435376309192e-08,4.569916678409669e-08
1927,2.0068604777989663e-08,5.351628118432927e-08
1928,6.8556245125250825e-09,6.170062505361784e-08
1929,1.2254447234738564e-08,4.6789706553695964e-08
1930,1.68057662230936e-08,5.04172987803031e-08
1931,7.983749661377715e-09,5.1324105854178015e-08
1932,5.4797681947604815e-09,5.918149881267709e-08
1933,1.605892663292252e-08,6.882397385332695e-08
1934,2.3963160344919743e-09,5.870974106869653e-08
1935,4.787313656606784e-09,6.58255636665217e-08
1936,1.2124714565686645e-08,6.426098586587159e-08
1937,3.777335333410292e-09,5.5400921183945684e-08
1938,1.0372171566075394e-08,5.186085871855539e-08
1939,0.0,3.364691281149135e-08
