year,son_DET an_NOUN,son_DET sang_NOUN
1800,1.1947824818392405e-07,1.0199669446819826e-05
1801,1.5715804924099075e-07,1.0970108490937491e-05
1802,1.1860552717735118e-07,8.687295377285409e-06
1803,1.4042442475492578e-07,9.455244850187228e-06
1804,9.887403673580764e-08,1.1202428595424863e-05
1805,1.7910129024301114e-07,1.0086529670161326e-05
1806,1.0950343032334331e-07,9.215577989607482e-06
1807,2.021338083579849e-07,9.394952201091655e-06
1808,1.4049658636494655e-07,9.34755557580047e-06
1809,9.713831272684104e-08,9.664132363695899e-06
1810,9.828532210320873e-08,1.2252903786702518e-05
1811,1.3036799018095735e-07,8.02765939766914e-06
1812,1.0668832839400011e-07,6.686691083501728e-06
1813,8.914798788062228e-08,9.400799314107644e-06
1814,1.2272040805783035e-07,1.1796893019777599e-05
1815,1.7262230644909948e-07,1.1136836064906674e-05
1816,1.3442102897442965e-07,1.366922742818133e-05
1817,1.1053801518556838e-07,1.1983254751157801e-05
1818,1.7762553694566918e-07,1.0208103816466974e-05
1819,1.7079232339511918e-07,1.1727740002243081e-05
1820,1.0798497562802822e-07,1.2617629252531515e-05
1821,1.400331290923873e-07,1.1527093953134226e-05
1822,1.1128433641260926e-07,1.2063823845664956e-05
1823,1.462637607696493e-07,1.1841435394899236e-05
1824,1.3221146666353434e-07,1.1597556792253272e-05
1825,1.5673689013340208e-07,1.2265981908399226e-05
1826,1.1538459276927426e-07,1.3380209068714066e-05
1827,1.4747636600809244e-07,9.573981600397019e-06
1828,1.2199160820403065e-07,1.075727480781552e-05
1829,8.74463982336593e-08,9.187015145073474e-06
1830,6.053364831615227e-08,1.0100769870291515e-05
1831,7.639690879912564e-08,9.730471902003046e-06
1832,7.71208219507713e-08,9.744284199086906e-06
1833,1.1583628245492861e-07,1.013451629461315e-05
1834,1.0641365477681575e-07,9.722847678972357e-06
1835,1.550433026409337e-07,1.0785719553041417e-05
1836,8.468145001883087e-08,1.451278782838017e-05
1837,9.393152344827627e-08,1.0113294909075421e-05
1838,1.1677499323070606e-07,1.0294505074170957e-05
1839,1.1326189996996305e-07,8.812754032305747e-06
1840,9.427138925044432e-08,9.68383750432622e-06
1841,6.741575964142044e-08,1.2734515678403113e-05
1842,7.714504635103481e-08,1.0476297411798896e-05
1843,7.560846043697111e-08,1.0474134576554661e-05
1844,8.232841669508772e-08,1.2417869541536675e-05
1845,7.812318997268974e-08,1.0736916756570736e-05
1846,6.557041376531458e-08,9.996561011860194e-06
1847,7.065122886729114e-08,1.0273551289685656e-05
1848,6.75798647598036e-08,9.92699886737114e-06
1849,6.703532084983976e-08,8.926591092972558e-06
1850,6.992665557703504e-08,8.996777680181367e-06
1851,6.384944617465749e-08,1.086085487145283e-05
1852,6.64075603395986e-08,9.125831528677963e-06
1853,1.361600512339578e-07,9.624365141291946e-06
1854,8.78067258902604e-08,1.2826017339762075e-05
1855,8.384960636931282e-08,1.0803862181774093e-05
1856,6.885661679723043e-08,1.1326654323795537e-05
1857,6.882927949813933e-08,1.0321950739466956e-05
1858,7.780944633051234e-08,1.0327124790876496e-05
1859,7.027199155906771e-08,1.0260220452806834e-05
1860,6.316513795345813e-08,1.0281270338197146e-05
1861,5.4233584068086316e-08,1.0717027514317579e-05
1862,4.9246050931595065e-08,1.0736994756399554e-05
1863,6.842630428938179e-08,1.1471644711491535e-05
1864,6.376988459511068e-08,9.748161662770372e-06
1865,5.64821325821363e-08,9.433928035207373e-06
1866,5.936047775545461e-08,9.469456280442046e-06
1867,8.589476685472164e-08,8.593843517701316e-06
1868,1.0027944497004171e-07,8.259469495897065e-06
1869,5.71371735480497e-08,8.135943062370643e-06
1870,7.511604183108034e-08,8.544879946725814e-06
1871,7.22240054429335e-08,7.835242357145944e-06
1872,6.228759585891197e-08,8.338676050101412e-06
1873,5.028243821314504e-08,7.5160272885455015e-06
1874,6.03435516555173e-08,6.860046024570465e-06
1875,6.122034090783046e-08,7.871104990897493e-06
1876,6.227395332736307e-08,6.451702375898094e-06
1877,6.061119739442233e-08,7.5893879092348016e-06
1878,6.52221585073498e-08,6.832020975622299e-06
1879,5.254019630474005e-08,7.3177499295695725e-06
1880,6.096953786283166e-08,6.005820694099384e-06
1881,6.414706832380546e-08,6.172761032985363e-06
1882,6.988154366283084e-08,7.095305882387493e-06
1883,6.192952090033899e-08,5.667183039292922e-06
1884,5.0172896060018957e-08,6.20955597696593e-06
1885,6.832373844467554e-08,5.965435786237094e-06
1886,4.0656823463436353e-08,6.188871964241116e-06
1887,5.8760320276185496e-08,5.5469741830904695e-06
1888,7.355113318396889e-08,5.94052204760942e-06
1889,3.696430755928404e-08,6.189955168878214e-06
1890,4.653614438243636e-08,5.715425061225687e-06
1891,4.398211705947119e-08,5.184790754952928e-06
1892,5.955086601616699e-08,5.494978108089299e-06
1893,4.3108915770417866e-08,5.1336559394599135e-06
1894,5.6713853835432815e-08,4.909529060626028e-06
1895,4.333402414680165e-08,5.222953671335517e-06
1896,4.8945341502015793e-08,4.806668533419156e-06
1897,3.7290966981018414e-08,4.745858046106832e-06
1898,2.4330925163518202e-08,5.239070777207644e-06
1899,4.2009595802028343e-08,5.265018224065443e-06
1900,3.062721309898819e-08,4.937729803700108e-06
1901,5.58873880507349e-08,4.404485355991028e-06
1902,3.830021277906326e-08,4.011701960848768e-06
1903,4.3201761279476614e-08,4.4908230307783015e-06
1904,4.245953988402107e-08,4.377632128793607e-06
1905,3.767354206374307e-08,4.520308994671041e-06
1906,3.7552547016428406e-08,4.253726107350531e-06
1907,5.2457003574257755e-08,4.270102968106926e-06
1908,4.2729083382653243e-08,4.2984475214780105e-06
1909,4.950885273968808e-08,4.5828692627480905e-06
1910,3.7409056519166484e-08,4.7514843473095425e-06
1911,3.617854271720233e-08,5.051163384450774e-06
1912,4.1675368378513156e-08,4.777039144698847e-06
1913,7.424185671789374e-08,4.6581463948314195e-06
1914,6.76371111341112e-08,5.525483445012469e-06
1915,3.062998121805549e-08,7.174484139227388e-06
1916,3.515987700986045e-08,7.367093175503214e-06
1917,3.9479127189601115e-08,7.6446942784969e-06
1918,4.020231880730307e-08,7.541954516909755e-06
1919,3.9593748335509105e-08,6.52560203207031e-06
1920,3.256059644130005e-08,5.9608607081429454e-06
1921,4.695103461571648e-08,5.2971366599763314e-06
1922,3.246291635505827e-08,4.726305382618534e-06
1923,2.866305903737043e-08,4.7846078903290845e-06
1924,3.996403508121915e-08,4.675792101949128e-06
1925,4.289289257108919e-08,5.006370630056267e-06
1926,4.0126098888038086e-08,4.734879420098537e-06
1927,3.2332752919472796e-08,5.11972393191229e-06
1928,2.5137290693422187e-08,5.228556556602371e-06
1929,3.7877380565376484e-08,4.195477050217278e-06
1930,3.886333299618627e-08,4.415714988326158e-06
1931,2.737285687004487e-08,4.265603545050567e-06
1932,3.835837958376942e-08,4.159144047832797e-06
1933,3.6706119699303486e-08,3.968849068058944e-06
1934,2.156684431042777e-08,4.154013891977115e-06
1935,2.992071124197082e-08,4.145813630174189e-06
1936,2.9099315845826368e-08,4.578292173817999e-06
1937,2.392312392629492e-08,3.98257069988972e-06
1938,2.852347158466273e-08,4.496336462267436e-06
1939,3.823512795264605e-08,4.205864048145713e-06
1940,1.7750480196809804e-08,4.419869505056795e-06
1941,5.31270463177691e-08,4.672228687496727e-06
1942,4.2478965012193726e-08,4.363196733692121e-06
1943,4.354852944921106e-08,5.24033952054026e-06
1944,2.8918675454292497e-08,6.17895688748149e-06
1945,1.742803235060819e-08,5.834033702356578e-06
1946,2.7842208538686464e-08,5.106260850595845e-06
1947,2.980217805870211e-08,4.4023776091250966e-06
1948,3.261566305923225e-08,4.435730463825394e-06
1949,2.4542519905246252e-08,3.55572034038687e-06
1950,2.4461331626923766e-08,4.64127161592387e-06
1951,3.624876732111204e-08,3.978835092510735e-06
1952,4.007025555807786e-08,3.7054440760186935e-06
1953,2.2625038065271497e-08,3.821476568077742e-06
1954,2.9317608785106586e-08,3.9060826662051795e-06
1955,2.5341140741375057e-08,3.682912506519642e-06
1956,1.8314397332019894e-08,3.705612989790552e-06
1957,1.943708272111877e-08,3.7866972171229918e-06
1958,2.4816729671250926e-08,3.528938972152673e-06
1959,1.705164498488898e-08,3.60022237089197e-06
1960,2.9067500517676592e-08,4.016851715249459e-06
1961,3.474079651732964e-08,4.153609815205073e-06
1962,1.775747771048941e-08,4.035386815814945e-06
1963,2.7157423310164575e-08,3.9927878958678775e-06
1964,2.2510682928800207e-08,4.214973358784846e-06
1965,3.666269171587189e-08,3.824411209052414e-06
1966,3.4342264032538594e-08,4.185878651696839e-06
1967,4.585212198815469e-08,4.4737863476029816e-06
