year,aucun_DET salut_NOUN
1800,1.8864987794131594e-08
1801,2.3811825844433088e-09
1802,1.7902721083373763e-08
1803,1.3652374342143503e-08
1804,7.4155526164076946e-09
1805,1.7057265822018053e-08
1806,2.881669125542885e-09
1807,2.2775640928784924e-08
1808,2.4926814390369145e-08
1809,3.388545621874073e-08
1810,1.1700633351097167e-08
1811,4.011322962682584e-08
1812,0.0
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,1.8880564667256294e-08
1816,4.6352077731626196e-08
1817,4.670620334934483e-09
1818,2.741870730460505e-08
1819,1.8631890696951814e-08
1820,4.746592452420373e-09
1821,3.4515210245444905e-08
1822,4.912551787583652e-08
1823,3.360113609574e-08
1824,1.6842225392110777e-08
1825,6.075755720758025e-08
1826,5.0205510859768765e-08
1827,2.673009252829317e-08
1828,1.1923991571904935e-08
1829,2.9148798763589667e-08
1830,7.305785310052215e-09
1831,5.9246584527272717e-08
1832,5.0060886991332154e-08
1833,4.6334514003376626e-09
1834,7.467624740797874e-09
1835,4.840376277570613e-08
1836,5.8470526198561856e-08
1837,4.1051556820548285e-08
1838,4.607878167917079e-08
1839,4.47454411300896e-08
1840,2.4204816817530173e-08
1841,3.852329211184724e-08
1842,3.5553803456878086e-08
1843,2.303695284533447e-08
1844,5.378790224330743e-08
1845,3.348136701220028e-08
1846,4.390875929516369e-08
1847,2.2651540199092324e-08
1848,1.7699487875333375e-08
1849,5.865590679832167e-09
1850,1.1541293254424545e-08
1851,2.3862923193007646e-08
1852,5.7943854159248076e-08
1853,4.120633079196523e-08
1854,2.4939190268469247e-08
1855,3.02495415382964e-08
1856,2.329735160344626e-08
1857,3.5635014938861787e-08
1858,2.936205589776364e-08
1859,1.884104072757964e-08
1860,2.0597327399229926e-08
1861,1.6034276684173676e-08
1862,1.0391368682194368e-08
1863,5.2942979777981236e-08
1864,5.4180424036154307e-08
1865,1.4591217345483187e-08
1866,2.2381820230510385e-08
1867,1.358787216076962e-08
1868,5.9278488784286765e-09
1869,1.31855019125382e-08
1870,2.0642576536999968e-08
1871,1.6993884077720622e-08
1872,8.4662747923403e-09
1873,2.6937019725892242e-08
1874,2.3300975371398636e-08
1875,1.830888685105947e-08
1876,2.0556450763820067e-08
1877,3.0924081073635534e-09
1878,1.8117266020745149e-09
1879,1.221865097988939e-08
1880,1.3477476912271413e-08
1881,3.13762834047715e-08
1882,1.2645232194685718e-08
1883,3.159669414998234e-09
1884,5.941527270181268e-09
1885,2.0626034213933053e-08
1886,1.4197620634703867e-08
1887,9.793386768208734e-09
1888,8.242799109936527e-09
1889,4.5108982937858144e-08
1890,3.9326319978272295e-09
1891,7.0116419337296065e-09
1892,1.9432387921014538e-08
1893,1.1700991342511458e-08
1894,2.7096618282484997e-08
1895,6.018614495673091e-09
1896,1.0614652268259306e-08
1897,6.992056267307589e-09
1898,2.8291774478717002e-09
1899,1.2160672469008205e-08
1900,1.5054053892349373e-08
1901,1.0059729937950124e-08
1902,1.7185993794743837e-08
1903,2.3220946943069976e-08
1904,1.1824175416563776e-08
1905,1.0321517696088023e-08
1906,1.0288369267641428e-08
1907,5.142843484406967e-09
1908,2.0136695866312948e-08
1909,1.4302557138634597e-08
1910,1.4429206718347132e-08
1911,5.852411444351446e-09
1912,5.730363461520227e-09
1913,5.302989602995467e-09
1914,1.6741859454327823e-08
1915,8.246533234057551e-09
1916,2.197492321442951e-08
1917,1.2063066989753679e-08
1918,2.2972752589112133e-08
1919,1.8415697411455767e-08
1920,2.4231141537711665e-08
1921,1.438822039290244e-08
1922,1.3280283539529592e-08
1923,7.431163684401554e-09
1924,5.156649662829693e-09
1925,2.4195990988573612e-08
1926,1.226075263538462e-08
1927,3.567751882815884e-08
1928,1.9424269748213874e-08
1929,2.1166771446701205e-08
1930,8.402882833991043e-09
1931,6.843213995466613e-09
1932,1.643930525041526e-08
1933,2.2941324839820254e-08
1934,1.7972370258689807e-08
1935,8.377798899061872e-09
1936,2.182448710641438e-08
1937,1.1332006444320086e-08
1938,1.037217134403079e-08
1939,7.647025235257843e-09
1940,0.0
1941,1.4757512545315876e-08
1942,1.8205270846394228e-08
1943,2.9032351633873077e-08
1944,1.2852744646352221e-08
1945,3.267756110147957e-08
1946,1.9489545088902105e-08
1947,1.4305044926388177e-08
1948,1.630783130757152e-08
1949,1.472551280912171e-08
1950,1.4889506516624351e-08
1951,1.0661401539380222e-08
1952,1.1599284199803606e-08
1953,3.44762476345295e-08
1954,2.149958033825783e-08
1955,1.9709776921672528e-08
1956,2.0930739808022736e-08
1957,1.236905289303536e-08
1958,1.0753916701577992e-08
1959,1.240119618106661e-08
1960,1.038125013730351e-08
1961,1.459113452284555e-08
1962,1.648908709572794e-08
1963,2.198458126656533e-08
1964,1.9468698431168718e-08
1965,1.915215230852141e-08
1966,1.82789473557321e-08
1967,1.7749208547357398e-08
1968,1.3474247911871018e-08
1969,2.407131582948807e-08
1970,2.069426266460006e-08
1971,1.5929032093353612e-08
1972,1.846852804021637e-08
1973,1.7090931780927576e-08
1974,1.2938814686336286e-08
1975,1.770558855085369e-08
1976,2.6282224285800737e-08
1977,1.4104276413462458e-08
1978,2.4950483568098036e-08
1979,2.9845064752898054e-08
1980,1.876099742226245e-08
1981,2.656730796468665e-08
1982,2.7313009187679427e-08
1983,2.3366669821278663e-08
1984,2.6675439024348435e-08
1985,2.2859119819251816e-08
1986,2.457739034511519e-08
1987,2.9943001855770035e-08
1988,1.798966131616453e-08
1989,1.2622680900520322e-08
1990,2.3974064622400704e-08
1991,2.0515128262843518e-08
1992,2.6998725699556303e-08
1993,2.3818592098656666e-08
1994,2.3209677513236215e-08
1995,2.4401028753118226e-08
1996,2.295379597505587e-08
1997,2.828987810676864e-08
1998,2.3840646790063147e-08
1999,2.285100508814253e-08
2000,3.092622025135938e-08
2001,3.066848242028186e-08
2002,3.5926015051757076e-08
2003,3.041853668950267e-08
2004,2.6869226510406463e-08
2005,2.386987274505259e-08
2006,3.953174410042948e-08
2007,3.195583642146005e-08
2008,4.001993225699607e-08
2009,2.9562793102400065e-08
2010,3.495606915038252e-08
2011,3.671012982486843e-08
2012,2.7234021704458655e-08
2013,2.733342552296847e-08
2014,3.031623263538563e-08
2015,2.4603986181759296e-08
2016,3.417711091913134e-08
2017,3.5470118620040125e-08
2018,2.452393310647949e-08
2019,2.984655589344243e-08
