year,son_DET avant_NOUN,son_DET savant_NOUN
1800,9.998442878078606e-07,1.351990706055517e-07
1801,6.357757245112339e-07,6.191074675143682e-08
1802,7.698170350067812e-07,1.8126505096915935e-07
1803,7.157744761343565e-07,9.946730017418304e-08
1804,5.685257213894346e-07,2.4718509905596875e-08
1805,1.327623948110812e-06,1.6204403152642044e-07
1806,1.1843659830645947e-06,1.7290015108528678e-07
1807,8.882499926698983e-07,1.395007984683616e-07
1808,1.0718530489839395e-06,1.2010191596800723e-07
1809,1.8840314588430829e-06,1.3102377582896452e-07
1810,6.739565328039987e-07,1.661489932303084e-07
1811,1.7449254485768506e-06,1.0529722516139373e-07
1812,7.441511016281765e-07,2.90725694185312e-07
1813,6.21160182845415e-07,1.1790540810352468e-07
1814,2.8792096031793335e-06,1.3845379953636439e-07
1815,1.7531953151461721e-06,1.2137506644194218e-07
1816,1.7358852755222642e-06,2.2712517910861152e-07
1817,3.2585360969505928e-06,1.5724421587037796e-07
1818,3.2532892784153944e-06,1.2159600260019943e-07
1819,1.3984268285582857e-06,1.480200211290139e-07
1820,2.5038274227284774e-06,1.1391821885808895e-07
1821,1.6656053993813202e-06,1.222824601576633e-07
1822,1.848723556463483e-06,1.7143803177077643e-07
1823,2.51415556640211e-06,1.314397369833742e-07
1824,2.277068961831219e-06,1.7179069988770834e-07
1825,1.8808426913707876e-06,1.144707595379657e-07
1826,2.3948908509652256e-06,1.2771577018177993e-07
1827,1.717177987359264e-06,1.2996355192029796e-07
1828,1.5106780466567216e-06,1.5684634979695744e-07
1829,1.5388851490882871e-06,1.337415472812964e-07
1830,1.143877166764895e-06,1.7638252636231755e-07
1831,1.8631491833787095e-06,1.6058942264862708e-07
1832,7.265593708893903e-07,1.542416483424347e-07
1833,9.753415431967838e-07,1.5869570602067284e-07
1834,1.149080727680385e-06,1.3815106036929592e-07
1835,1.1684971212844175e-06,1.8983350713597247e-07
1836,1.3199553627885052e-06,1.4180782770267797e-07
1837,1.1661424732523074e-06,1.9134200224257825e-07
1838,1.5635225121268803e-06,1.8747120122952765e-07
1839,1.1186359918369249e-06,2.139391357403042e-07
1840,1.6427426570153614e-06,1.3057861281140504e-07
1841,1.0606745952657093e-06,2.3820235517391097e-07
1842,1.2658496277850873e-06,1.4758183519703039e-07
1843,7.495869915885578e-07,1.8252355138415055e-07
1844,1.04886410845495e-06,1.4928886882259462e-07
1845,8.738636871896688e-07,1.5401428887784618e-07
1846,7.593288007257115e-07,2.0666390088130981e-07
1847,1.1735655007782952e-06,1.7851570444094023e-07
1848,1.0853004113187126e-06,1.7538583363396754e-07
1849,7.574991025549593e-07,1.6842623384860644e-07
1850,9.348447260748571e-07,1.7990839218384735e-07
1851,1.1131731501023978e-06,2.276651875909863e-07
1852,7.174620986205582e-07,2.6953659459927337e-07
1853,9.59689462121105e-07,1.9946252227676098e-07
1854,1.041211172392309e-06,1.9068088619178525e-07
1855,6.824720983900079e-07,2.000715255690011e-07
1856,6.916724863970103e-07,2.314203593201114e-07
1857,9.645862260043714e-07,2.2699017887539696e-07
1858,1.1230986665111686e-06,2.402794867517599e-07
1859,1.536308721128421e-06,3.1520553678276997e-07
1860,9.346609370908254e-07,2.366404028286695e-07
1861,8.691520942960551e-07,2.565484313876709e-07
1862,7.74834650663081e-07,2.5797700775598287e-07
1863,9.964268326001502e-07,3.3563851103979303e-07
1864,5.916694529872757e-07,2.646689807317415e-07
1865,5.497594144365792e-07,2.2404579680390668e-07
1866,8.894340322029848e-07,2.9874863294310217e-07
1867,8.366247108426705e-07,2.804924967847455e-07
1868,9.820469628607498e-07,2.3810193672257896e-07
1869,9.454493259397623e-07,2.6810520203923716e-07
1870,9.713478696937727e-07,2.5573857653782284e-07
1871,7.636626526696944e-07,1.9224330416456326e-07
1872,7.698262649569187e-07,2.7575867234119755e-07
1873,8.733580791897566e-07,2.2387656883893214e-07
1874,9.188948819627285e-07,2.073189437901135e-07
1875,8.055910072357619e-07,2.2142309796802095e-07
1876,8.440236847206961e-07,2.3095777068604662e-07
1877,8.726775462264413e-07,2.43063267291177e-07
1878,8.327903380234147e-07,2.759863488854819e-07
1879,6.164309382938882e-07,2.639228569023544e-07
1880,6.289489480337807e-07,2.310424618290341e-07
1881,7.851043548612324e-07,2.768085578530588e-07
1882,6.768526432665567e-07,2.0565139369210783e-07
1883,5.93385948377545e-07,2.1738525496362016e-07
1884,6.892171633410271e-07,2.614272096579384e-07
1885,6.645450358888638e-07,2.230189886098799e-07
1886,9.047756286406639e-07,2.0070272199745887e-07
1887,7.625783844389389e-07,1.50165273105074e-07
1888,8.464720622214372e-07,1.7943940111564416e-07
1889,7.179846619465025e-07,1.873275852215528e-07
1890,8.743551553891393e-07,1.8548913027771619e-07
1891,9.325484136013529e-07,1.8357754316689068e-07
1892,8.537713860334861e-07,1.868016739070555e-07
1893,8.406238514169218e-07,1.5334457259541523e-07
1894,7.876924001948282e-07,1.619495635374335e-07
1895,9.521447985605391e-07,1.3782626573366485e-07
1896,9.022454108276179e-07,1.6039918904198203e-07
1897,8.262279997950372e-07,1.3867577663972952e-07
1898,7.055968644920085e-07,1.4485388910578934e-07
1899,8.06473700265542e-07,1.1220983786586203e-07
1900,9.011668034020204e-07,1.3185274294613691e-07
1901,8.63460146049988e-07,1.3189423253567867e-07
1902,1.042453263266907e-06,9.722362009911834e-08
1903,1.0514228705460482e-06,1.1988489045933193e-07
1904,1.1173846203860194e-06,1.24691297287427e-07
1905,8.53589536831123e-07,1.0734378880217221e-07
1906,9.202945907560434e-07,8.33357904905796e-08
