year,en_PRON auriez_VERB,en_PRON sauriez_VERB
1800,1.6978488304175698e-07,6.288328968651058e-09
1801,3.238408412542526e-07,3.333655484993869e-08
1802,2.528759353026544e-07,4.475680270843441e-09
1803,2.7109715006190527e-07,7.801356671777171e-09
1804,3.6089023147667376e-07,3.213406074564773e-08
1805,3.212451815670647e-07,2.842877711017877e-08
1806,4.3513205127965193e-07,1.729001475325731e-08
1807,1.3380688779207617e-07,2.8469550272802735e-08
1808,1.4729481279118772e-07,4.5321479902327155e-09
1809,2.2590305892578044e-07,2.7108365552308555e-08
1810,2.503935738751295e-07,1.6380886869171718e-08
1811,2.2312983105621242e-07,2.2563691359778204e-08
1812,1.2802598803318688e-07,0.0
1813,2.5881675469463516e-07,2.8757416448144113e-09
1814,1.384537955395615e-07,9.440030979135372e-09
1815,1.4565007599998125e-07,5.394447111228828e-09
1816,2.4103080065174254e-07,0.0
1817,3.0670406836463826e-07,0.0
1818,3.3140872801595833e-07,1.5497530370112145e-08
1819,2.2875820260281898e-07,2.070210047833143e-08
1820,2.9191542338935506e-07,1.4239777357261119e-08
1821,4.4672542021118034e-07,9.861488514673056e-09
1822,3.26835092323563e-07,2.3058916553964082e-08
1823,2.539850463278981e-07,1.9765374226210497e-08
1824,2.602123689854352e-07,1.6000114122505238e-08
1825,3.125932375169782e-07,1.6730341556581152e-08
1826,2.3341158517098393e-07,1.4973573048138178e-08
1827,1.7973683164029808e-07,2.119972880576526e-08
1828,2.1554907370102683e-07,9.172301418391982e-09
1829,2.237598963894527e-07,6.001223074036943e-09
1830,2.7657615131460034e-07,6.262101504006523e-09
1831,1.933309528023841e-07,1.091384405071949e-08
1832,2.7736437502312583e-07,4.058990921151917e-09
1833,2.2703911373156416e-07,6.950176989484191e-09
1834,2.3523018377602511e-07,3.733812370398937e-09
1835,2.405061962917898e-07,1.9664028627630614e-08
1836,2.4463529957330366e-07,1.9490174807401672e-08
1837,2.1569462393955519e-07,9.045258320128369e-09
1838,2.2913147779135556e-07,1.2624323808552163e-08
1839,2.7686242720648124e-07,3.0063343814390464e-08
1840,1.6497493371403493e-07,7.64362617644565e-09
1841,1.7784919226215834e-07,2.5682194149112547e-08
1842,1.90514728437563e-07,1.408735705865638e-08
1843,1.8843046722949452e-07,7.088293507706567e-09
1844,1.89355369162314e-07,6.037417232818143e-09
1845,1.8135740731395344e-07,8.928364381155518e-09
1846,1.7446414180000147e-07,1.5807152919933287e-08
1847,1.3644855734185057e-07,4.853901280910122e-09
1848,1.850400965230925e-07,4.82713291560799e-09
1849,1.6507446787272784e-07,7.54147322368226e-09
1850,1.7855059653015815e-07,3.394498016007219e-09
1851,1.4059776010100222e-07,1.2898877521649865e-09
1852,1.5299782152311536e-07,4.557381805270211e-09
1853,1.6960286952638626e-07,2.388772735173461e-09
1854,2.0990484639327178e-07,1.2469594801167716e-08
1855,1.8202794294097657e-07,5.306937111981824e-09
1856,1.7498900284351748e-07,1.0354378243704332e-08
1857,1.5962535337976647e-07,1.8549734637218762e-08
1858,2.46151909522041e-07,9.297984604472731e-09
1859,2.2711092473315375e-07,1.171199892624486e-08
1860,1.7805244922897145e-07,7.323494255473406e-09
1861,2.306106252625284e-07,8.488735048217677e-09
1862,3.203252356698272e-07,3.162590545002786e-08
1863,2.6571383937579185e-07,2.2475793670651e-08
1864,2.210369571820081e-07,9.589456340108882e-09
1865,2.4805069820388326e-07,1.553258677233771e-08
1866,1.9803044448707396e-07,7.298419479884188e-09
1867,1.8149515490506474e-07,1.2132028714972876e-08
1868,1.5116014484561902e-07,2.1735445443482604e-08
1869,2.0461945116068136e-07,1.5138908793232986e-08
1870,1.7374167615713532e-07,5.734048791339319e-09
1871,1.9542966200880585e-07,7.434824311758348e-09
1872,1.753728433584456e-07,6.652073114565837e-09
1873,1.3468510040581805e-07,1.616221290134945e-08
1874,1.8401796175737672e-07,1.3144140331711185e-08
1875,2.2943323596535947e-07,1.1443054503956773e-08
1876,2.8960411802003705e-07,1.0882827083946722e-08
