year,rien_PRON eu_VERB,rien_PRON su_VERB
1800,5.282196298139752e-07,2.421006684016902e-07
1801,6.667311254204833e-07,3.8098920640550205e-07
1802,4.050490645113314e-07,2.193083332713286e-07
1803,5.012371957491268e-07,1.6967950955404376e-07
1804,7.118930511751387e-07,5.314479381013371e-07
1805,5.970043162051297e-07,2.558589926593413e-07
1806,6.166771981952479e-07,3.169836020333605e-07
1807,4.185023954050848e-07,1.9074599322266295e-07
1808,4.826737836083339e-07,2.1980918063491117e-07
1809,5.218360570324876e-07,2.0557178004310117e-07
1810,8.471258752251742e-07,2.340126741273707e-07
1811,4.83865790101845e-07,1.9053783262279467e-07
1812,6.507988246085006e-07,2.667208320872305e-07
1813,5.5501811857539e-07,2.7319546802573313e-07
1814,5.726952281293052e-07,4.342414570146502e-07
1815,6.9048923023729e-07,3.6412518511497183e-07
1816,8.111613851724542e-07,4.009454812603508e-07
1817,9.450221796214464e-07,7.410717444145121e-07
1818,7.808371265127789e-07,3.9220674352691276e-07
1819,6.158874725770147e-07,5.455003133647551e-07
1820,6.823226499363955e-07,4.14140203019997e-07
1821,7.060825737426057e-07,5.532294835575158e-07
1822,8.140800105138624e-07,4.6719370061509835e-07
1823,7.827088097656087e-07,6.235975433810381e-07
1824,7.663212500119698e-07,7.216893322947726e-07
1825,6.61288765968493e-07,4.578830328227923e-07
1826,7.019963277343777e-07,4.060480875978101e-07
1827,5.7607957160144e-07,5.318366333995073e-07
1828,7.741422223261907e-07,5.723516096622916e-07
1829,7.733004849796998e-07,4.715246859632316e-07
1830,7.023990633570065e-07,4.95749702622561e-07
1831,6.64185392906802e-07,4.817682679458812e-07
1832,6.480855176960176e-07,5.384927703744324e-07
1833,7.10076449195185e-07,3.5098395301247365e-07
1834,6.347481189550308e-07,3.6684707538370276e-07
1835,6.39080951714277e-07,5.536180651688483e-07
1836,7.661654990442912e-07,5.766403319285018e-07
1837,6.749154408680624e-07,6.51954394470522e-07
1838,7.145367248995171e-07,4.1723390609149646e-07
1839,7.536810358033108e-07,4.921998311147036e-07
1840,7.299663025150949e-07,5.032053991271823e-07
1841,6.099521101532446e-07,4.7383647938659124e-07
1842,5.977063892714796e-07,4.6488275984302163e-07
1843,6.137280479379115e-07,4.5365078449322027e-07
1844,6.668602168247162e-07,4.259123613792326e-07
1845,6.249855459827813e-07,4.129368562644231e-07
1846,7.886013122515578e-07,4.3674580751940084e-07
1847,5.312325015438546e-07,4.0071651596917945e-07
1848,7.667096042496269e-07,5.309846073942026e-07
1849,7.298470450223249e-07,5.62258719583042e-07
1850,7.508629664698674e-07,3.9783517991054396e-07
1851,6.05602281211759e-07,4.417865682171396e-07
1852,7.044409926493245e-07,5.071714781479386e-07
1853,6.60495686588547e-07,4.502836645770003e-07
1854,7.43499583677476e-07,5.076163915873622e-07
1855,7.371335755124164e-07,5.434303602669388e-07
1856,8.909942721402331e-07,4.4730916215485195e-07
1857,7.722547366029175e-07,4.920561309518234e-07
1858,6.342203846543271e-07,4.6392048602683644e-07
1859,7.847039000807854e-07,4.817196099793364e-07
1860,7.154138188525394e-07,5.282070105749881e-07
1861,7.21070875897567e-07,5.196991992306721e-07
1862,9.04049045402644e-07,5.290561944093497e-07
1863,8.385968612856232e-07,4.510142730396183e-07
1864,7.930480023787823e-07,5.082411576040613e-07
1865,8.477026653963549e-07,4.438554128682881e-07
1866,7.648743576282868e-07,4.928866133013798e-07
1867,7.706264568696497e-07,4.0957729652291164e-07
1868,7.558007268926303e-07,5.216506906435825e-07
1869,7.916184472378518e-07,6.084864594413375e-07
1870,6.617092367378063e-07,5.103303237774526e-07
1871,8.018988637559232e-07,5.384936798691342e-07
1872,8.061103358159016e-07,6.422274054784793e-07
1873,8.027232070162427e-07,5.303600119077601e-07
1874,7.468261173926294e-07,6.297237860053428e-07
1875,7.066086027407437e-07,5.675755119227688e-07
1876,6.584110110452457e-07,5.507919240699266e-07
1877,6.704340762553329e-07,4.663351376166247e-07
1878,5.712977895200311e-07,4.263596622422483e-07
1879,7.490032771784172e-07,5.889389740332263e-07
1880,7.040377454359259e-07,4.158764284056815e-07
1881,7.404802886412654e-07,4.824975121664465e-07
1882,6.86170210428827e-07,4.2860679627665377e-07
1883,6.527877189910214e-07,3.8737547924938553e-07
1884,6.925180286998511e-07,4.779628852702444e-07
1885,6.239375238692446e-07,4.221891458655591e-07
1886,6.55026610729692e-07,4.272193052656803e-07
1887,6.365701779031951e-07,4.296032329875743e-07
1888,6.911270133969083e-07,3.931181140615081e-07
1889,6.559598091371299e-07,3.959566470257414e-07
1890,5.997263770041172e-07,4.633951107280154e-07
1891,6.272232440096559e-07,4.143242904319777e-07
1892,6.11806797223835e-07,3.899014586750127e-07
1893,6.127624487817229e-07,4.7050301077433687e-07
1894,7.001009976193018e-07,3.8061295981606236e-07
1895,6.289452016972064e-07,4.231085881656327e-07
1896,6.292129910434596e-07,4.988886530554737e-07
1897,6.042301947672968e-07,4.241847477715055e-07
1898,6.603299880225677e-07,4.4304917423687584e-07
1899,6.378825219144346e-07,4.698441671280307e-07
1900,5.788024282082915e-07,4.780960125572165e-07
1901,6.717664291500114e-07,3.76681015268332e-07
1902,6.152585569907387e-07,4.384883425245789e-07
1903,6.507265197797096e-07,4.071765999924537e-07
1904,5.869090955457068e-07,3.455884041159152e-07
1905,5.774889473286748e-07,4.1698933728184784e-07
1906,6.332491011562524e-07,3.991887069787481e-07
1907,6.413125674953335e-07,4.407416724916402e-07
1908,6.812096557951008e-07,4.788604428540566e-07
1909,6.430649932553933e-07,4.6923389618314104e-07
1910,6.509175705105008e-07,4.911274231744756e-07
1911,5.841770871484187e-07,4.0647657328918285e-07
1912,6.121069873188389e-07,4.250887855050678e-07
1913,5.440867312245246e-07,4.353754547992139e-07
1914,5.819470061396714e-07,5.129705868966994e-07
1915,6.37339212516963e-07,3.934774497338367e-07
1916,7.185799972830864e-07,4.0104237086779904e-07
1917,6.667585807917931e-07,4.923924734612228e-07
1918,6.191156671775389e-07,6.662098144261108e-07
1919,6.648066346315318e-07,5.966685989733378e-07
1920,5.770040729657921e-07,5.95934636749007e-07
1921,5.778006197942887e-07,5.270632073006709e-07
1922,6.905747795826755e-07,5.533451599148975e-07
1923,6.624351840400777e-07,5.30797422015894e-07
1924,6.484486902991193e-07,4.189778053387272e-07
1925,6.400939582817955e-07,5.048163416176976e-07
1926,6.096937568145222e-07,5.606507897937263e-07
1927,6.644938252975408e-07,5.474269642036234e-07
1928,5.610186235571746e-07,4.638972654902318e-07
1929,6.238627747734427e-07,5.692747890861938e-07
1930,6.753817274329776e-07,5.05223340496741e-07
1931,5.919380328123225e-07,5.166626806385466e-07
