year,en_ADP aire_NOUN,en_ADP cerfs_NOUN
1800,4.7162466820793725e-08,6.288328968651058e-09
1801,1.619204113012529e-07,0.0
1802,3.3567602031325805e-08,1.5664880947952042e-08
1803,2.9255089017965474e-08,1.1702034896643454e-08
1804,1.730295728918918e-08,5.19088700912107e-08
1805,3.695740935505398e-08,8.528632911009026e-09
1806,4.8988376022407465e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.5321479014148736e-08,1.1330369531492579e-08
1809,7.00299480627109e-08,2.25903047379461e-08
1810,5.3822916346035754e-08,1.4040760554223652e-08
1811,5.0141535368197765e-09,2.0056614147279106e-08
1812,3.200649700829672e-08,2.6672083208723052e-08
1813,2.0130190847567064e-08,4.026038169513413e-08
1814,4.090680150170556e-08,0.0
1815,8.091670444798638e-09,5.394447111228828e-09
1816,7.184571870766376e-08,2.3176038865813098e-09
1817,1.2454987263765815e-08,6.227493631882908e-09
1818,7.152706427149269e-09,2.384235475716423e-09
1819,2.484252026313527e-08,3.3123360054787554e-08
1820,1.7799721696576398e-08,5.933240565525466e-09
1821,3.7473656067099625e-08,1.3806083387635226e-08
1822,3.0076847679083585e-08,5.012807946513931e-09
1823,3.2612866407433216e-08,0.0
1824,1.431589158329416e-08,5.894778887238772e-09
1825,1.3208164117983756e-08,1.7610886082763955e-09
1826,2.466235649034587e-08,4.403992281964975e-09
1827,2.027800155568471e-08,2.2121454890111636e-08
1828,2.384798225563145e-08,1.3758452155343548e-08
1829,4.800978425922864e-08,1.3717081692732336e-08
1830,1.6698937788106605e-08,9.39315247805439e-09
1831,1.4032085493553836e-08,4.677361609140007e-09
1832,9.470978445946798e-09,1.8941957335982806e-08
1833,1.2741991461950875e-08,1.1583628500844156e-09
1834,2.1469421573883096e-08,1.8669062740173104e-08
1835,2.571449897459388e-08,9.832014313815307e-09
1836,2.9571301130015826e-08,1.2769425516978572e-08
1837,1.8786305289175687e-08,1.3219993100221927e-08
1838,3.8504186727905676e-08,1.009945904684173e-08
1839,2.6567605448946097e-08,1.7478688718597368e-08
1840,5.860113566624747e-08,2.229391071750797e-08
1841,4.173356549230789e-08,7.0626033910059505e-09
1842,3.287049921141261e-08,2.2137275124123335e-08
1843,3.0125246297529884e-08,5.31621990873532e-09
1844,5.488561261035585e-08,1.5367971784030487e-08
1845,2.7343117381395388e-08,1.897277535078956e-08
1846,1.3465352832753297e-08,1.8148954339380907e-08
1847,2.480882788091776e-08,1.6718992412734224e-08
1848,2.0113054055581614e-08,2.413566457803995e-09
1849,2.3462362719328667e-08,1.1731181359664333e-08
1850,2.1724787302446202e-08,3.394498016007219e-09
1851,2.1283148576856092e-08,7.739326512989919e-09
1852,1.9531636752390114e-08,6.510545436100301e-09
1853,2.26933418723263e-08,5.3747388761848924e-09
1854,2.1821789930598356e-08,1.0910895298366086e-08
1855,1.1144567935161831e-08,1.0613874223963649e-08
1856,2.0191037064520856e-08,1.346069211649592e-08
1857,1.2691923956253959e-08,8.298565390418844e-09
1858,4.502181916166137e-08,8.808616946964776e-09
1859,2.6479301196147276e-08,1.629495471888731e-08
1860,1.373155189554609e-08,1.327383314375652e-08
1861,1.3204698334767784e-08,4.715963619617014e-09
1862,3.6143891435358455e-08,1.0843167252971853e-08
1863,1.947902072974017e-08,3.496234635136375e-09
1864,2.5412057458318316e-08,2.445311186871635e-08
1865,2.9653119293371333e-08,6.118897832863013e-09
1866,1.8489329622894957e-08,3.4059290943133647e-09
1867,2.8631587767335986e-08,5.82337378318698e-09
1868,3.112120594561674e-08,1.679557115608077e-08
1869,3.174287332985415e-08,3.4184632902167778e-09
1870,4.0711745086241535e-08,1.3188312664169644e-08
1871,3.929835434846041e-08,6.37270636261178e-09
1872,2.0560953717385644e-08,1.8142017887967654e-09
