year,en_ADP air_NOUN,en_ADP serres_NOUN
1800,9.023752340908686e-07,3.144164484325529e-09
1801,4.4528114284680953e-07,4.7623651688866175e-09
1802,2.506380951672327e-07,3.8043282302169246e-08
1803,4.5442902552039754e-07,2.9255089017965474e-08
1804,3.8808059343864443e-07,2.7190360185613827e-08
1805,2.7575912708854844e-07,1.1371510844071508e-08
1806,3.7749865100522584e-07,0.0
1807,2.0498076924724273e-07,2.8469551160981155e-09
1808,2.062127402169267e-07,2.2660739951163578e-09
1809,2.4397530085096264e-07,2.9367397402779716e-08
1810,1.7550951270095538e-07,1.8721014072298203e-08
1811,2.0808736911348547e-07,5.0141535368197765e-09
1812,1.3869483117545656e-07,1.600324850414836e-08
1813,2.0992913585260453e-07,2.8757416448144113e-09
1814,1.3530711839848664e-07,0.0
1815,2.8320846801044297e-07,0.0
1816,1.7150268938337376e-07,4.6352077731626196e-09
1817,1.3077736582545185e-07,3.42512151974006e-08
1818,2.2888661255215936e-07,7.152706427149269e-09
1819,1.3870406800897683e-07,3.622867339458935e-08
1820,1.8511710120350244e-07,8.306536791735653e-09
1821,8.776724769177235e-08,9.86148829262845e-10
1822,1.0426640528748976e-07,8.02049271442229e-09
1823,9.586206450862278e-08,1.7788837070042973e-08
1824,1.4905369027928828e-07,1.6000115010683658e-08
1825,1.1270966804310945e-07,3.3460683113162304e-08
1826,9.776862741617265e-08,9.688782665051576e-09
1827,1.6222400611720644e-07,3.87125478340522e-08
1828,1.4033620721054518e-07,4.586150570418113e-09
1829,1.3717081515096652e-07,3.5150023336427694e-08
1830,1.8786305133744463e-07,6.262101504006523e-09
1831,1.7306238930814288e-07,2.0268567268999504e-08
1832,1.1094574858816486e-07,3.111892965534935e-08
1833,1.4247862734073635e-07,3.59092489077284e-08
1834,1.474855890748472e-07,6.534171426153534e-09
1835,1.1722786297241328e-07,1.739510224751939e-08
1836,1.9624590608113834e-07,1.008112526790228e-08
1837,9.253994626146067e-08,2.2961039292113128e-08
1838,1.7484688585867048e-07,3.787297231383491e-08
1839,1.3143973565110656e-07,3.355908262392404e-08
1840,1.1720227499623093e-07,8.280594876453051e-09
1841,1.4703056194775854e-07,2.6966304744746594e-08
1842,1.1739464067517247e-07,1.6770663080478698e-08
1843,1.9729083622355148e-07,2.7762482091020502e-08
1844,1.5203314940315238e-07,1.97588213013411e-08
1845,1.9419193170167048e-07,2.4553003186156275e-08
1846,1.0362467706137579e-07,2.2832555623963913e-08
1847,9.977463566457345e-08,2.1033573105455616e-08
1848,7.562508130831702e-08,2.011305433313737e-08
1849,4.776266493422554e-08,2.0948537127196687e-08
1850,1.0726613819400654e-07,8.146795238417326e-09
1851,9.28719168236114e-08,5.095056665460618e-08
1852,1.295598495154593e-07,3.7761164861649377e-08
1853,1.8632426690423642e-07,1.911018188138769e-08
1854,1.5327209934579145e-07,3.7408785236170417e-08
1855,1.645150575768639e-07,2.653468555990912e-08
1856,1.0457922500206607e-07,1.7602443391773193e-08
1857,1.649950125415245e-07,3.905207179855097e-08
1858,1.1793758891709416e-07,1.5170396494568195e-08
1859,9.522363986214089e-08,2.49516496353408e-08
1860,2.2016254042078742e-07,1.6935580049448618e-08
1861,1.787350306092783e-07,2.971057178058345e-08
1862,2.466820419877447e-07,2.4848924695675123e-08
1863,1.4883970733681195e-07,2.1476870060155306e-08
1864,9.829192038068868e-08,2.8768367243969806e-08
1865,8.425251213362017e-08,1.97687466396701e-08
1866,1.7954111974916032e-07,2.092213513549268e-08
1867,1.465549051005155e-07,3.008743121313273e-08
1868,1.1262912769094413e-07,3.210918109175509e-08
1869,1.3771524309813543e-07,1.2208797861568144e-08
1870,1.2614906896857292e-07,2.8670243512607385e-08
1871,1.115223595693493e-07,1.5931766128574054e-08
1872,1.5420715726577328e-07,3.62840353318461e-08
1873,7.302925214558442e-08,2.3944018323618366e-08
1874,1.69081439682639e-07,2.6288279997288555e-08
1875,1.0241533254795598e-07,1.3731664694205392e-08
1876,1.6566080840441089e-07,2.1765654167893445e-08
1877,1.0699732011509866e-07,2.6594708657512456e-08
1878,1.6547102504871347e-07,1.69094480639842e-08
1879,6.659164597522249e-08,1.710611030603104e-08
1880,1.1167052460514526e-07,2.0537108458285047e-08
1881,1.1713813058422673e-07,4.392679869846816e-08
1882,1.0715170062347568e-07,3.8601231988621976e-08
1883,1.131161653233903e-07,5.6242115520355185e-08
1884,1.7296446674919252e-07,3.3668656307384026e-08
1885,1.4180398011376383e-07,4.898683253484748e-08
1886,1.0906354014350583e-07,4.3238208957685487e-08
1887,8.161155939934162e-08,5.35371814103236e-08
1888,1.0715638998348709e-07,5.009085524143586e-08
1889,8.645888804892365e-08,3.4458253139746375e-08
1890,1.7238036653655087e-07,3.1461055982617836e-08
1891,2.42220368873447e-07,3.314594465564369e-08
1892,1.1847488301519604e-07,4.0118478983330874e-08
1893,1.422594238520425e-07,5.973663891323255e-08
1894,1.9282710761459043e-07,8.633108850020221e-08
1895,1.0352017021375559e-07,4.69451926221609e-08
1896,7.194375445385148e-08,6.014969655687707e-08
1897,1.1070755412401212e-07,7.050323425072946e-08
1898,1.9181822974445595e-07,7.921696720813998e-08
1899,1.0060192678906787e-07,5.969784666604028e-08
1900,1.3496738171525635e-07,7.838490256872888e-08
1901,1.279821263411307e-07,4.247441509619421e-08
1902,2.533706344731712e-07,7.021706260879057e-08
1903,1.3608554705335507e-07,6.480264147512571e-08
1904,1.4135264425618743e-07,7.470728746739042e-08
1905,1.475977098319703e-07,4.438252787508645e-08
1906,2.052529679552606e-07,4.83553357355504e-08
1907,2.2062798410438234e-07,5.862841589987511e-08
