year,en_ADP airs_NOUN,en_ADP cerfs_NOUN
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,1.5664880947952042e-08
1803,7.801356671777171e-09,1.1702034896643454e-08
1804,2.4718509905596875e-08,5.19088700912107e-08
1805,3.1271653710973624e-08,8.528632911009026e-09
1806,4.3225035994964855e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,2.259030518203531e-09,2.25903047379461e-08
1810,9.360507036149102e-09,1.4040760554223652e-08
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,2.9339290108509886e-08,2.6672083208723052e-08
1813,4.3136125782439194e-08,4.026038169513413e-08
1814,0.0,0.0
1815,3.506390555685357e-08,5.394447111228828e-09
1816,1.228330006597389e-07,2.3176038865813098e-09
1817,6.227493631882908e-09,6.227493631882908e-09
1818,5.960588467246453e-09,2.384235475716423e-09
1819,0.0,3.3123360054787554e-08
1820,2.0173018810965004e-08,5.933240565525466e-09
1821,1.676452932031225e-08,1.3806083387635226e-08
1822,1.0025615893027862e-09,5.012807946513931e-09
1823,1.2847492847356534e-08,0.0
1824,1.7684335773537896e-08,5.894778887238772e-09
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,7.0463874735082754e-09,4.403992281964975e-09
1827,5.530363722527909e-09,2.2121454890111636e-08
1828,1.0089530988466322e-08,1.3758452155343548e-08
1829,1.7146351893870815e-08,1.3717081692732336e-08
1830,1.982998831806526e-08,9.39315247805439e-09
1831,0.0,4.677361609140007e-09
1832,2.976593194148336e-08,1.8941957335982806e-08
1833,2.085053074640797e-08,1.1583628500844156e-09
1834,1.8669061851994684e-09,1.8669062740173104e-08
1835,6.050470346963266e-09,9.832014313815307e-09
1836,1.1425274948351216e-08,1.2769425516978572e-08
1837,2.5048407792382932e-08,1.3219993100221927e-08
1838,2.1461350030449466e-08,1.009945904684173e-08
1839,5.2436064379435265e-08,1.7478688718597368e-08
1840,7.0066574764382494e-09,2.229391071750797e-08
1841,1.733548060656176e-08,7.0626033910059505e-09
1842,6.708265054555795e-09,2.2137275124123335e-08
1843,1.3585895075607368e-08,5.31621990873532e-09
1844,1.0977122322231025e-08,1.5367971784030487e-08
1845,5.580227835366713e-09,1.897277535078956e-08
1846,9.952652035849496e-09,1.8148954339380907e-08
1847,9.168480197274675e-09,1.6718992412734224e-08
1848,2.735375304041554e-08,2.413566457803995e-09
1849,6.703531951757213e-09,1.1731181359664333e-08
1850,2.0366988096043315e-09,3.394498016007219e-09
1851,3.8696632564949596e-09,7.739326512989919e-09
1852,5.859490670445666e-09,6.510545436100301e-09
1853,1.1943863675867306e-09,5.3747388761848924e-09
1854,7.27393034694046e-09,1.0910895298366086e-08
1855,1.2736649068756378e-08,1.0613874223963649e-08
1856,1.0872097000458325e-08,1.346069211649592e-08
1857,7.322263684272912e-09,8.298565390418844e-09
1858,2.4468379322684086e-08,8.808616946964776e-09
1859,1.3748867822016564e-08,1.629495471888731e-08
1860,1.373155189554609e-08,1.327383314375652e-08
1861,1.2733101684148096e-08,4.715963619617014e-09
1862,1.0843167252971853e-08,1.0843167252971853e-08
1863,9.489779628779615e-09,3.496234635136375e-09
1864,1.3904711160250827e-08,2.445311186871635e-08
1865,7.530950973944073e-09,6.118897832863013e-09
1866,1.0704348518686402e-08,3.4059290943133647e-09
1867,2.426405742994575e-08,5.82337378318698e-09
1868,1.1855697756857353e-08,1.679557115608077e-08
1869,1.5627261262807224e-08,3.4184632902167778e-09
1870,8.027668307875047e-09,1.3188312664169644e-08
1871,6.37270636261178e-09,6.37270636261178e-09
1872,1.269941263259966e-08,1.8142017887967654e-09
1873,1.496501056408306e-08,5.986004469882289e-10
1874,3.5847653734322193e-09,6.572069999322139e-09
1875,6.293679799540541e-09,6.865832347102696e-09
1876,2.0556450763820067e-08,5.441413541973361e-09
1877,7.421779191219002e-09,1.608052180301911e-08
1878,2.8383716710322915e-08,1.5701630218245555e-08
1879,5.498392852132383e-09,3.665595160740054e-09
1880,1.2193908105473383e-08,4.492492600149944e-09
1881,2.022027217885025e-08,1.2550513517339823e-08
1882,9.983077475794744e-09,1.2645231528551903e-08
1883,7.583206784733676e-09,8.847074184359371e-09
1884,1.9805090900604227e-08,3.300848483434038e-09
1885,1.6114089618213256e-08,3.86738152613475e-09
1886,1.5488312854472497e-08,9.034849313138693e-09
1887,1.8933882017790893e-08,1.1099172247952538e-08
1888,6.974675947901687e-09,6.34061492199578e-09
1889,8.771191772893872e-09,2.5060546970934183e-09
1890,1.1797895993481688e-08,1.4419650362640368e-08
1891,1.1473596073230397e-08,1.9122659011827636e-09
1892,1.0656471260972467e-08,8.149066310636499e-09
1893,2.3401982574000613e-08,8.005941687372342e-09
1894,9.452309157609307e-09,7.561847148451761e-09
