year,en_ADP eau_NOUN,en_ADP sots_NOUN
1800,3.1787503758096136e-06,2.5153315874604232e-08
1801,2.576439555923571e-06,1.904946111963568e-08
1802,1.4859258499200223e-06,0.0
1803,2.201932985057553e-06,3.900678446910888e-09
1804,3.030489324373775e-06,6.92118238276862e-08
1805,2.771805839074659e-06,4.5486043376286034e-08
1806,1.8154515828427975e-06,3.1698359492793315e-08
1807,1.3608445215140819e-06,8.540865792383556e-09
1808,1.4004336890138802e-06,6.798221985349073e-09
1809,2.3855361632740824e-06,4.743964154840796e-08
1810,1.8884823020925978e-06,2.8081521108447305e-08
1811,1.5669229469494894e-06,7.771937760026049e-08
1812,1.2935960285176407e-06,1.0668832928217853e-08
1813,4.155446731601842e-06,1.4378708002027452e-08
1814,1.2838443126383936e-06,1.5733386149463513e-08
1815,1.4484090797850513e-06,1.6183340889597275e-08
1816,2.1762300548289204e-06,2.3176038865813098e-08
1817,1.3918448757976876e-06,2.80237220096069e-08
1818,1.5902850138971303e-06,1.9073883805731384e-08
1819,1.3725492635785486e-06,1.552657524772627e-08
1820,9.97971028482425e-07,1.0679833017945839e-08
1821,1.6942037053269132e-06,4.339054981983281e-08
1822,1.7294187273364514e-06,3.408709403629473e-08
1823,1.5199573006885458e-06,2.3718449426723964e-08
1824,1.6134852103277808e-06,1.51580028528997e-08
1825,9.906123521474797e-07,1.6730341778625757e-08
1826,1.0745741292339517e-06,1.8496766784892316e-08
1827,1.295948550250614e-06,1.3825909750408982e-08
1828,1.5776357807917307e-06,1.559291185060374e-08
1829,1.1325165587550146e-06,1.2859763920403111e-08
1830,1.4121038334202751e-06,1.982998831806526e-08
1831,1.3642305702887825e-06,1.4032085715598441e-08
1832,1.2853470745533002e-06,2.705993829010822e-08
1833,1.4502702546659307e-06,2.3167256557599103e-08
1834,1.1350789714814624e-06,4.667265685043276e-09
1835,1.5663155323863975e-06,3.781543966852041e-09
1836,1.5007434512881446e-06,1.5457725766054864e-08
1837,1.0840394311095736e-06,1.3915782304252389e-08
1838,1.4972448525440996e-06,3.787297142565649e-09
1839,1.4038881772648892e-06,2.7965900706306e-09
1840,1.4242623365134932e-06,6.3696887764308485e-09
1841,1.6276090946121258e-06,7.0626033910059505e-09
1842,1.3577528821251406e-06,6.708265054555795e-09
1843,1.7366319041145495e-06,1.2995204246024628e-08
1844,1.482460447732592e-06,1.6465683816413446e-09
1845,1.506103540216408e-06,9.48638767539478e-09
1846,1.391614934398433e-06,5.854501106128396e-09
1847,1.3439913750801225e-06,1.0786447290911383e-09
1848,1.6235256907748408e-06,1.850401076808339e-08
1849,1.2527224966252248e-06,5.865590679832167e-09
1850,1.2641111135636152e-06,5.431196825611551e-09
1851,1.2840832823712844e-06,5.159551008659946e-09
1852,9.987177236325806e-07,1.3021090872200602e-09
1853,1.5377724897902567e-06,5.971931837933653e-09
1854,1.4958318388380576e-06,3.117398783558656e-09
1855,1.4493245217295225e-06,5.306937111981824e-09
1856,1.6701612384206754e-06,8.28350277259915e-09
1857,1.3028747867793733e-06,8.298565390418844e-09
1858,1.2777388309626048e-06,1.7127865348243176e-08
1859,1.353499639922262e-06,9.165912473463322e-09
1860,1.8111916695318087e-06,4.57718396518203e-09
1861,1.883084323139883e-06,1.1789909493131745e-08
1862,1.8085498547648626e-06,4.5179864571753825e-09
1863,1.7695941867401643e-06,7.991393324857654e-09
1864,1.517531341921341e-06,9.589455896019672e-09
1865,1.7208223508369258e-06,1.4120533187167439e-08
1866,1.852338885832694e-06,9.244664367358268e-09
1867,1.6955722994538291e-06,4.85281148598915e-09
1868,2.0530117073036536e-06,4.939874287401835e-09
1869,1.8576907141465426e-06,1.0255390314739543e-08
1870,2.1290523042338805e-06,1.3188312664169644e-08
1871,2.2368199523725707e-06,0.0
1872,1.9557096111455508e-06,5.442605477412599e-09
1873,2.254329380946274e-06,5.9860045809045914e-09
1874,2.2464530360366552e-06,5.377148060148329e-09
1875,1.9190002786828586e-06,7.437985338754061e-09
1876,2.4728200003210077e-06,6.04601479992084e-09
1877,2.013776033038539e-06,1.2369632429454214e-08
1878,2.335919546680998e-06,6.039088673581716e-10
1879,2.146816937553808e-06,3.0546627449723474e-09
1880,2.432363761073475e-06,1.9253538763308597e-09
1881,2.5191669088542312e-06,6.9725074602899895e-09
1882,2.059841768264903e-06,0.0
1883,2.4588548654946862e-06,4.423537092179686e-09
1884,2.280226148343445e-06,9.242375753615306e-09
1885,2.480925262560163e-06,6.445635691854079e-10
1886,2.509752055068759e-06,4.5174246565693466e-09
1887,2.944544934990745e-06,5.223139698529167e-09
1888,2.8526426163466567e-06,1.2047167707862627e-08
1889,2.7836001859071757e-06,2.5060546970934183e-09
