year,en_PRON aurai_VERB,en_PRON saurais_VERB
1800,1.0375742931501009e-07,9.432493897065797e-09
1801,1.142967676059925e-07,9.524730337773235e-09
1802,6.489736392722989e-08,1.3427040812530322e-08
1803,1.014176405078615e-07,1.5602713787643552e-08
1804,6.426812215742927e-08,9.887403784603066e-09
1805,9.381496446358994e-08,2.842877711017877e-09
1806,1.7578181132904547e-07,5.76333825108577e-09
1807,6.263301566278301e-08,1.4234775136401367e-08
1808,7.47804418388398e-08,6.798221985349073e-09
1809,5.873479480555943e-08,0.0
1810,7.488405628919281e-08,7.020380277111826e-09
1811,6.769107407933461e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,4.313612333994854e-08,5.751483289628823e-09
1814,5.034683248084093e-08,3.1466771410748606e-09
1815,8.631115644419651e-08,0.0
1816,7.879853392012137e-08,0.0
1817,1.1520863552050287e-07,0.0
1818,8.702459464160484e-08,1.1921176934492905e-08
1819,6.831692955788782e-08,3.1053151161586356e-09
1820,1.091716228529549e-07,9.493184904840746e-09
1821,1.617284124399987e-07,3.94459531705138e-09
1822,1.8346877084240987e-07,3.0076847679083585e-08
1823,1.0277994211271846e-07,7.906149512848515e-09
1824,1.2968513285471772e-07,5.052667617633233e-09
1825,8.805443307835503e-08,1.0566531649658373e-08
1826,9.60070312139294e-08,3.6112734136395375e-08
1827,7.281645864054553e-08,1.474763688946723e-08
1828,1.0639869651996037e-07,1.559291185060374e-08
1829,6.601345337031717e-08,2.0575622983187714e-08
1830,9.81062571181468e-08,1.878630406793036e-08
1831,7.951515357262906e-08,6.236482441579483e-09
1832,1.542416525612822e-07,1.7588959622116818e-08
1833,7.761031040054434e-08,1.0425265983826648e-08
1834,1.1574818348236704e-07,8.401078055442213e-09
1835,1.0361430469174593e-07,2.571449897459388e-08
1836,1.0484369905583435e-07,1.6129799718100912e-08
1837,5.3575758718338307e-08,1.8090516529234435e-08
1838,9.846972837124213e-08,1.5149188570262595e-08
1839,1.0906701142232578e-07,2.2372720787089406e-08
1840,9.17235185582399e-08,1.46502836528839e-08
1841,6.805781715968351e-08,7.0626033910059505e-09
1842,7.110761224282669e-08,1.2745703159566801e-08
1843,8.210606283753918e-08,2.0674189471492355e-08
1844,4.445734624880515e-08,1.811225303072206e-08
1845,4.2967754909639666e-08,1.3392547515422848e-08
1846,7.493761788879283e-08,9.367202125076801e-09
1847,3.667392256545554e-08,9.707802561820245e-09
1848,6.59708183636809e-08,1.367687652020777e-08
1849,3.267971848686102e-08,1.6758829879393033e-09
1850,6.517436457187387e-08,7.467895635215882e-09
1851,4.6435957301582675e-08,1.096404567135778e-08
1852,8.203287116259617e-08,1.2370035884501362e-08
1853,5.852493112357138e-08,1.0152284346531815e-08
1854,5.663274260658824e-08,1.1430461910322265e-08
1855,5.5722839675809155e-08,1.1675261646360013e-08
1856,7.196293072553317e-08,1.1389816201301528e-08
1857,7.224633424840476e-08,1.5620829074691756e-08
1858,9.73841545182097e-08,2.936205589776364e-08
1859,7.740103491471473e-08,1.5276519604867644e-08
1860,8.238931359372259e-08,1.785101666484934e-08
1861,7.356903375388413e-08,2.0278644541349422e-08
1862,9.352231744585993e-08,1.8523744316212287e-08
1863,5.893652677002592e-08,1.7980635647063536e-08
1864,7.911301302954143e-08,1.726102105692462e-08
1865,7.483882447090195e-08,2.447559044327363e-08
1866,6.37395296543275e-08,1.605652261149615e-08
1867,7.66744179259149e-08,2.329349513274792e-08
1868,4.791677943316586e-08,1.6301584082611953e-08
1869,9.181016125126007e-08,2.2464188176307687e-08
1870,6.995539436616127e-08,5.160643912205387e-09
1871,4.354682836549273e-08,1.5931766128574054e-08
1872,7.075387076227457e-08,1.69325495846806e-08
1873,5.926144569512459e-08,2.334541804316359e-08
1874,4.779687445832792e-08,1.6131444624534197e-08
1875,1.2358499201781115e-07,2.9179789251543298e-08
1876,9.069022066654497e-08,2.7811667635546655e-08
1877,1.1565606250485416e-07,2.783167118991514e-08
1878,6.522215789672714e-08,2.1740719446938783e-08
1879,8.369775383876288e-08,2.3215435684953434e-08
1880,1.2835692730917003e-07,1.0910338410496934e-08
1881,1.2062438004001308e-07,1.2550513628362125e-08
1882,1.078172404689326e-07,1.7969540522244642e-08
1883,1.0490102742011231e-07,1.9589950994713945e-08
1884,6.99779878488016e-08,1.7164412113856997e-08
1885,7.863675621777588e-08,1.353583467533781e-08
1886,3.807543791367607e-08,2.0651084398082276e-08
1887,8.030577136608485e-08,1.1752064210668323e-08
1888,5.516334877775364e-08,1.521747527988282e-08
1889,7.518164224507018e-08,1.50363277384713e-08
1890,7.34091254450675e-08,1.7041404731799048e-08
1891,7.20286883471033e-08,1.2748440525456317e-08
1892,4.889439497723913e-08,1.6924984080901595e-08
1893,7.88277320085129e-08,9.853466487186324e-09
1894,4.4110776364902904e-08,7.561847148451761e-09
1895,7.101965371347774e-08,1.5046536461227333e-08
1896,6.309821154459883e-08,1.47425724961181e-08
1897,6.525919182820417e-08,2.9133566670225264e-09
1898,8.091447245561767e-08,1.697506502029711e-08
1899,6.080336234504102e-08,8.291367592505594e-09
1900,5.087232146649967e-08,1.557315876254961e-08
1901,5.532851377054726e-08,9.500856101851696e-09
1902,3.3389928710825245e-08,1.0802624572647801e-08
1903,5.994244545171057e-08,6.480264325148255e-09
1904,7.094505516391791e-08,1.0749250378694342e-08
1905,4.2318223258952514e-08,1.0837593933388234e-08
1906,5.349951837096967e-08,1.800464666246171e-08
1907,6.377125738588063e-08,1.0799970695529737e-08
1908,6.28657796930554e-08,1.1296195090437777e-08
1909,7.646366984026542e-08,1.925344328412848e-08
1910,7.054279116402995e-08,1.4429207162436342e-08
1911,8.299783793574989e-08,8.51259862599818e-09
1912,6.876436131619812e-08,2.2921453179947093e-08
1913,7.371155863467038e-08,1.3787773589513108e-08
