year,on_PRON ôte_VERB,on_PRON ote_VERB,on_PRON saute_VERB
1800,1.4714689342554266e-06,1.5720821977538435e-08,8.174828014517743e-08
1801,2.1097277311810103e-06,2.3811825622388483e-08,1.4287095595477695e-07
1802,1.4904015586125752e-06,1.1189200677108602e-08,3.5805442166747525e-08
1803,1.3106279226349216e-06,5.851017670366332e-09,5.070882025393075e-08
1804,1.7253519217774738e-06,1.2359254508709228e-08,1.0381774084855522e-07
1805,1.4413390090339817e-06,1.7057265822018053e-08,7.67576988636165e-08
1806,1.1152059613550591e-06,8.645007376628655e-09,8.933174200365102e-08
1807,9.90740360862219e-07,0.0,3.131650672116848e-08
1808,1.0446600953173402e-06,1.5862517965814504e-08,4.078933102391602e-08
1809,1.5587310997489112e-06,1.8072244145628247e-08,1.1972861457820727e-07
1810,1.3455728975486636e-06,4.680253518074551e-09,7.488405628919281e-08
1811,1.23849592625902e-06,1.2535383842049441e-08,6.267691565753353e-08
1812,1.2722583164759271e-06,1.3336041604361526e-08,7.468183005343576e-08
1813,8.569709990524643e-07,8.627224934443234e-09,5.7514832008109806e-08
1814,8.590428599575262e-07,6.293354282149721e-09,3.776012391654149e-08
1815,6.823975411407446e-07,5.394447111228828e-09,8.091670444798638e-09
1816,1.7289324603098066e-06,1.1588019432906549e-08,3.476405829871965e-08
1817,1.0057402093366363e-06,7.784367150875937e-09,3.89218364205135e-08
1818,8.845513548294548e-07,8.344823942962876e-09,6.437435828843263e-08
1819,1.2048622579641233e-06,9.315945015409e-09,9.729987171525067e-08
1820,8.223471468227217e-07,4.746592452420373e-09,4.6279277299277055e-08
1821,7.307363034669834e-07,8.875339463365606e-09,4.832129085752257e-08
1822,8.551850498861313e-07,7.017931125119503e-09,3.909990198280866e-08
1823,8.894418357385803e-07,7.90614973489312e-09,1.2155704620653296e-07
1824,9.557962670214692e-07,5.052667617633233e-09,4.0421341829244284e-08
1825,8.9463298991177e-07,8.805442819337372e-09,6.604082258832022e-08
1826,8.772752195795874e-07,6.1655891503420435e-09,5.0205510859768765e-08
1827,9.244924612517025e-07,7.3738185002447665e-09,4.516463825154915e-08
1828,9.575882558010562e-07,1.0089531432555532e-08,1.0823315665930977e-07
1829,8.710347003670904e-07,5.143905745796928e-09,3.6864656216550884e-08
1830,9.60188899057357e-07,9.39315203396518e-09,5.635891264788029e-08
1831,8.403660416433922e-07,1.5591206103948707e-09,6.080570180699851e-08
1832,8.212691184894538e-07,9.4709785569691e-09,7.576783112028806e-08
1833,7.286102601256061e-07,6.950177100506494e-09,7.876867158529421e-08
1834,7.019567007660044e-07,9.334530925997342e-09,8.961149688957448e-08
1835,8.364775183622442e-07,1.2100940693926532e-08,5.294161553592858e-08
1836,7.722141575072783e-07,1.2097349955109138e-08,5.107769984746824e-08
1837,7.486690378755156e-07,1.1828414137049492e-08,6.122944196107483e-08
1838,5.731442911383056e-07,3.1560809521380406e-09,5.5547023869451095e-08
1839,7.907358323677727e-07,1.67795404237836e-08,5.453350704343052e-08
1840,6.904742591018476e-07,9.554532942601668e-09,4.0766006570436275e-08
1841,5.091494870157476e-07,1.3483151928284087e-08,2.953452327147943e-08
1842,5.762399553077557e-07,1.1404050592744852e-08,2.951636579595629e-08
1843,5.942352530041717e-07,1.4767277456417816e-08,7.619914943468586e-08
1844,6.273425654512721e-07,1.4270259252047168e-08,4.226192329426226e-08
1845,5.875979951497357e-07,7.2542965523503256e-09,8.035528376026946e-08
1846,5.778392946353961e-07,6.439951460990301e-09,5.1519611243833197e-08
1847,5.420189665983344e-07,5.3932236454556914e-09,4.314578916364553e-08
1848,5.036308792227828e-07,1.0458787891298726e-08,1.0619692858426788e-07
1849,5.513655167987963e-07,5.02764896381791e-09,6.619738002200393e-08
