year,on_PRON aide_VERB,on_PRON cède_VERB
1800,1.823615409790591e-07,1.7607321201040804e-07
1801,2.0716288773314773e-07,1.142967676059925e-07
1802,1.9469209178168967e-07,1.7231369042747247e-07
1803,2.2818969291904523e-07,1.638284992111494e-07
1804,1.038177401824214e-07,2.2741028438133526e-07
1805,1.1087222873129576e-07,1.4214388066591255e-07
1806,1.2103010149644433e-07,1.8442682403474464e-07
1807,3.9572676513444094e-07,1.594294793960671e-07
1808,1.744876954035135e-07,1.5409303699698285e-07
1809,1.5361408145508904e-07,3.2078232692356323e-07
1810,1.1934646337863342e-07,2.2699229873524018e-07
1811,9.276184087525507e-08,7.521230216411823e-08
1812,2.1871107946935808e-07,1.5736528169441044e-07
1813,1.3228411788190897e-07,1.6104153388596387e-07
1814,1.0069366851439554e-07,2.3600077980745482e-07
1815,1.4834729356039134e-07,1.618334071196159e-07
1816,1.4137383885781674e-07,2.340779925447123e-07
1817,1.4634609968311452e-07,1.8526793787998486e-07
1818,1.33517183087406e-07,3.147190721364268e-07
1819,8.177329569036829e-08,2.4946029952843674e-07
1820,6.407899810767503e-08,1.9105033999267107e-07
1821,9.072569273627096e-08,1.8539598301003934e-07
1822,1.162971443591232e-07,2.747018754689634e-07
1823,6.423746512496109e-08,1.7690009812554308e-07
1824,1.4905369916107247e-07,1.6673803315825353e-07
1825,1.1535130539641614e-07,1.3208164517664045e-07
1826,9.95302187334346e-08,2.0434524117263209e-07
1827,1.0415518403306123e-07,2.0093655450637016e-07
1828,2.0637677522472586e-07,1.8161156845053483e-07
1829,8.573176302206775e-08,2.4690747579825256e-07
1830,9.288783786587373e-08,1.8995041273228708e-07
1831,9.042899762334855e-08,2.2451337144957506e-07
1832,9.876877626879832e-08,2.3677446492342824e-07
1833,1.2046973907331449e-07,1.9344658852560315e-07
1834,6.347481118496034e-08,2.5483269006087994e-07
1835,9.983276072489389e-08,1.958839845883631e-07
1836,8.199315360002402e-08,2.2111267128366308e-07
1837,1.0645572956491378e-07,1.7464305912540112e-07
