year,en_PRON aurez_VERB,en_PRON saurez_VERB
1800,8.111944467259491e-07,5.65949598296811e-08
1801,8.715128405611949e-07,9.524730160137551e-08
1802,7.004439908087079e-07,5.594600338554301e-08
1803,8.718016448749921e-07,4.4857802805609026e-08
1804,1.0455929011499165e-06,8.651478111687538e-08
1805,8.471775627683087e-07,9.097208675257207e-08
1806,1.1209692729607923e-06,2.795219131712656e-07
1807,7.174326790426733e-07,1.9928686256776018e-08
1808,6.684918045785082e-07,5.4385775882792586e-08
1809,6.483417598346364e-07,2.25903047379461e-08
1810,1.01561499521452e-06,8.658469141664682e-08
1811,6.794177807023516e-07,3.760615285841595e-08
1812,5.681153645298309e-07,2.9339290108509886e-08
1813,6.988052376755149e-07,6.614205716459765e-08
1814,5.7584190527038e-07,3.4613449884091096e-08
1815,6.473336497947457e-07,1.8880564667256294e-08
1816,7.346804409280594e-07,5.5622493277951435e-08
1817,1.027536432829379e-06,9.808302792180257e-08
1818,1.0490635840021412e-06,7.867976847819591e-08
1819,1.1210187498278401e-06,8.487860725381324e-08
1820,1.1617284680909279e-06,8.187871713971617e-08
1821,1.3638438289831356e-06,9.072569184809254e-08
1822,1.2080866866881479e-06,1.4938167680611514e-07
1823,9.566440954955624e-07,1.0574474629265751e-07
1824,9.330593018219702e-07,6.06320114115988e-08
1825,9.140049650468995e-07,6.692136622632461e-08
1826,7.548442323423998e-07,1.0657660709512129e-07
1827,8.424587685240681e-07,3.871254605769536e-08
1828,8.392655672651017e-07,6.237164740241496e-08
1829,7.818736300624352e-07,3.8579290873030914e-08
1830,8.70432103283747e-07,1.1063045946002603e-07
1831,8.138609572938549e-07,5.6128342862393765e-08
1832,1.0905154903539938e-06,4.8707889277466165e-08
1833,8.907810347125178e-07,5.21263281427764e-08
1834,8.102372657248225e-07,6.254136053485126e-08
1835,1.0247984008060484e-06,5.52105419160398e-08
1836,9.80557488539091e-07,6.58633538819231e-08
1837,9.253994681657218e-07,7.792837664055696e-08
1838,9.158946951970393e-07,7.700837301172214e-08
1839,1.0340391742857946e-06,6.292327725532232e-08
1840,7.248705782281206e-07,4.8409635411417185e-08
1841,8.064208927294203e-07,7.062603657459476e-08
1842,7.419341141456925e-07,7.110760691375617e-08
1843,8.718600912338559e-07,7.265500556741245e-08
1844,8.463361376165324e-07,3.4577936958157807e-08
1845,7.589110060379767e-07,7.421703429599802e-08
1846,7.622560804776413e-07,6.791221807134207e-08
1847,6.784675301574339e-07,4.422443566909351e-08
1848,7.152202119442563e-07,4.183515400768556e-08
1849,7.097364309593956e-07,5.362825561405771e-08
1850,8.744226693835344e-07,4.616517301769818e-08
1851,7.216922219832611e-07,3.8696633453128015e-08
1852,7.649891031746847e-07,6.054807499822346e-08
1853,7.793370784270337e-07,4.538668108011734e-08
1854,9.944501790926097e-07,3.3252252507054436e-08
1855,8.438030150159648e-07,3.92713346286655e-08
1856,7.786492517425359e-07,6.160855292591805e-08
1857,8.484062603564269e-07,4.78387889302212e-08
1858,9.836288299425178e-07,8.710743060191817e-08
1859,7.526232179699832e-07,6.517981887554924e-08
1860,9.140636016979897e-07,5.446849016266242e-08
1861,9.365903843594481e-07,6.649509032286005e-08
1862,1.0495282447564591e-06,8.764893522084094e-08
1863,9.75948903914059e-07,7.541877522498908e-08
1864,8.362005614603873e-07,5.130359070903978e-08
1865,9.12657133866901e-07,4.706844336510585e-08
1866,7.687668368561162e-07,8.125573458528379e-08
1867,7.720823251844422e-07,4.561642796829801e-08
1868,9.168406285287034e-07,6.076044911651479e-08
1869,6.705071884383074e-07,4.444002499326416e-08
1870,7.5345400363247e-07,5.6193677266946906e-08
1871,5.236240574468809e-07,4.0360472297606975e-08
1872,8.315091646338146e-07,5.2611852652262314e-08
1873,7.207149170795901e-07,3.412022664406322e-08
1874,7.336819947134643e-07,4.301718448118663e-08
1875,8.490746203904109e-07,6.808617314391086e-08
1876,8.210487942861278e-07,9.492243435715864e-08
1877,9.196821526558097e-07,6.122967732835605e-08
1878,6.467863964410014e-07,4.1065803202400275e-08
1879,8.864631140248491e-07,3.848874996492668e-08
1880,7.970965185677414e-07,5.134277003548959e-08
1881,9.357105330565219e-07,5.9266312746331096e-08
1882,8.445683663538261e-07,4.2594464844114555e-08
1883,7.602164879827455e-07,3.854796659652493e-08
