year,ancien_ADJ homme_NOUN
1800,1.2576657937302116e-08
1801,4.286128540975653e-08
1802,2.9091921760482364e-08
1803,1.755305234496518e-08
1804,2.4718509461507665e-09
1805,1.7057265822018053e-08
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,1.129515236897305e-08
1810,1.1700633795186377e-08
1811,2.5070768572277302e-08
1812,1.0668832928217853e-08
1813,0.0
1814,9.440030979135372e-09
1815,2.4275011334395913e-08
1816,2.7811246638975717e-08
1817,2.1796227045456362e-08
1818,1.4305412410209328e-08
1819,4.2439304182018134e-08
1820,2.4919611263385377e-08
1821,2.5639868894700157e-08
1822,3.208197085768916e-08
1823,1.4824030003524058e-08
1824,3.705289586264371e-08
1825,3.434122675116669e-08
1826,1.0041102171953753e-07
1827,3.594736597278825e-08
1828,2.4765213879618386e-08
1829,3.257806824308318e-08
1830,3.1310507520032616e-09
1831,2.494592887813951e-08
1832,2.705993873419743e-09
1833,1.0425265983826648e-08
1834,4.107193762870054e-08
1835,4.840376277570613e-08
1836,7.258410139598936e-08
1837,4.313892532081809e-08
1838,4.481634974240478e-08
1839,4.61437359433603e-08
1840,4.522479102320176e-08
1841,2.632424944692957e-08
1842,3.4212153110502186e-08
1843,3.307870244384503e-08
1844,4.39084892889241e-08
1845,2.0088821273134272e-08
1846,1.8734404250153602e-08
1847,4.36851115281911e-08
1848,2.494018680465615e-08
1849,1.5920888607467987e-08
1850,3.6660580349234806e-08
1851,3.353708066811123e-08
1852,2.669323606596663e-08
1853,3.2845626662947325e-08
1854,3.896748168585873e-08
1855,4.4578271740647324e-08
1856,2.485050742961903e-08
1857,5.906625943907784e-08
1858,4.061751113226819e-08
1859,5.14309519417111e-08
1860,3.982150076353719e-08
1861,3.159695793897299e-08
1862,3.433669706898179e-08
1863,4.495158600903437e-08
1864,3.9796240969280916e-08
1865,5.883555598273915e-08
1866,4.6223323835192787e-08
1867,5.28956434209249e-08
1868,5.236266531483125e-08
1869,2.490594752657671e-08
1870,5.103303557518757e-08
1871,6.266494523288202e-08
1872,2.9027228620748247e-08
1873,3.232442313816364e-08
1874,3.764003614348255e-08
1875,6.579756001157122e-08
1876,6.771536842364867e-08
1877,9.957553714912137e-08
1878,4.287753085918666e-08
1879,5.376206146934237e-08
1880,4.235778505723431e-08
1881,4.6715802004548834e-08
1882,4.259446551024837e-08
1883,3.159669503816076e-08
1884,3.1027976632458376e-08
1885,4.640857653726016e-08
1886,4.194751518360462e-08
1887,6.202478419758961e-08
1888,4.7554610027589206e-08
1889,5.76392569229256e-08
1890,6.226667181863377e-08
1891,6.374220151705856e-08
1892,4.8894396087462155e-08
1893,7.32851575535598e-08
1894,6.490585180429775e-08
1895,5.055636198569857e-08
1896,3.892039046604623e-08
1897,2.9716238358901137e-08
1898,4.639851169940812e-08
1899,3.814029270188257e-08
1900,4.879590065343109e-08
1901,6.25938771925405e-08
1902,4.8120782747407276e-08
1903,5.616229259430838e-08
1904,4.245954077219949e-08
1905,5.1607588980040475e-08
1906,4.57832415312609e-08
1907,4.8857012102665465e-08
1908,6.679489183980536e-08
1909,4.45579665941942e-08
1910,3.099607459589038e-08
1911,5.1607629170113967e-08
1912,5.105232919744296e-08
1913,3.4999732889673396e-08
1914,2.477795241206948e-08
1915,8.246533234057551e-09
1916,1.0987461607214755e-08
1917,3.070598852961126e-08
1918,2.2972751700933713e-08
1919,1.749491218561161e-08
1920,4.846228351951254e-08
1921,1.741731836535365e-08
1922,4.943216680430851e-08
1923,4.564857647437748e-08
1924,5.0277336072213075e-08
1925,5.939016034517408e-08
1926,2.7865347029809584e-08
1927,2.4528294062520217e-08
1928,4.1133748851507335e-08
1929,5.570203143179242e-08
1930,6.407198493985078e-08
1931,3.193499864551086e-08
1932,4.38381477785299e-08
1933,5.850037698706956e-08
1934,4.313368862085554e-08
1935,4.4282650435434334e-08
1936,5.33487423126644e-08
1937,3.021868399954997e-08
1938,2.722695080503712e-08
1939,4.282334220562234e-08
1940,4.564409250562562e-08
1941,5.9030050625352715e-08
1942,6.37184480734021e-08
1943,4.935499875458049e-08
1944,4.819779242382083e-08
1945,3.7034568745042407e-08
1946,4.037120149291695e-08
1947,5.364391864048912e-08
1948,4.348755067162813e-08
1949,4.515823803785679e-08
1950,3.403315673722318e-08
1951,2.345508343104541e-08
1952,4.4288177902807035e-08
1953,2.6934568575498474e-08
1954,4.10446503451567e-08
1955,2.440258128899586e-08
1956,5.9303763011442356e-08
1957,3.3573144264664734e-08
1958,3.3088973339090444e-08
1959,2.7902691712711203e-08
1960,4.6369581951921646e-08
1961,4.93319290972849e-08
1962,4.5027889694626566e-08
1963,4.008952891876305e-08
1964,3.893739841664967e-08
1965,4.377634610364112e-08
1966,5.151339366182839e-08
1967,3.993571845439803e-08
1968,4.1770168185406575e-08
1969,3.2246479264586014e-08
1970,3.954903463054826e-08
1971,2.7233506227908322e-08
1972,4.46322778735464e-08
1973,5.402939567966669e-08
1974,5.0067588519553397e-08
1975,4.96898762136766e-08
1976,4.3994157594706707e-08
1977,4.054979430012651e-08
1978,4.336631520551748e-08
1979,8.894999303787898e-08
1980,4.6049721535990074e-08
1981,3.985096119762943e-08
1982,4.3452517251019174e-08
1983,3.915495838668903e-08
1984,4.98714738395023e-08
1985,3.91011255596041e-08
1986,2.2779044428489215e-08
1987,1.0816145845637948e-07
1988,5.0371052773279246e-08
1989,6.311340228215556e-08
1990,5.3941646094290974e-08
1991,9.261114897185507e-08
1992,8.430214593069252e-08
1993,7.699498399960092e-08
1994,7.64864365176976e-08
1995,4.066837977489968e-08
1996,6.35232937362673e-08
1997,7.671831525613015e-08
1998,6.484655656890936e-08
1999,1.0054442739493297e-07
2000,7.422292747083503e-08
2001,9.200544859311321e-08
2002,7.754761988110204e-08
2003,6.83375372956263e-08
2004,6.430994906048149e-08
2005,8.376974414137095e-08
2006,8.276958562980496e-08
2007,8.188682809606718e-08
2008,8.940623164033212e-08
2009,7.676789848254373e-08
2010,5.9047411460344534e-08
