year,on_PRON erre_VERB,on_PRON sert_VERB
1800,6.602745239447927e-08,8.174827570428533e-07
1801,5.2386017301842e-08,4.857612374564724e-07
1802,8.056224487518193e-08,8.12335940736375e-07
1803,2.3404069793286908e-08,7.450295669286788e-07
1804,5.6852572427601444e-08,6.67399774556543e-07
1805,7.391481915419718e-08,4.776034501219328e-07
1806,2.881669125542885e-08,4.898837531186473e-07
1807,1.0249038240317532e-07,7.06044886555901e-07
1808,5.211970233176544e-08,7.908598433914449e-07
1809,6.777091243748146e-08,6.438236823669286e-07
1810,2.574139479349924e-08,7.207590186908419e-07
1811,6.518399686683551e-08,1.1031137745476371e-06
1812,2.400487364440096e-08,6.934741492159446e-07
1813,5.4639092583741444e-08,6.297874435290396e-07
1814,1.8880063290538374e-08,6.670955272625179e-07
1815,2.6972236000233352e-08,6.95883656476326e-07
1816,8.111613958305952e-08,5.28413693245966e-07
1817,4.203558034987509e-08,7.255030283204178e-07
1818,4.768471084659609e-08,6.497041624697886e-07
1819,1.75967855842174e-08,6.220981276783277e-07
1820,2.610625848831205e-08,6.550297797502935e-07
1821,4.437669787193954e-08,4.279885885694057e-07
1822,4.6117833107928163e-08,5.774754612275501e-07
1823,3.953074634299725e-08,4.684393672960141e-07
1824,3.2842341290972854e-08,4.5305584706056834e-07
1825,3.6982861217893515e-08,7.90728805100116e-07
1826,2.554315514657901e-08,5.584262012803265e-07
1827,2.2121456222379265e-08,5.0049792577056e-07
1828,3.485474486808471e-08,5.916134355743452e-07
1829,2.4862210068476998e-08,5.786893808590321e-07
1830,2.5048406016026092e-08,5.740259751974008e-07
1831,1.7150327380477393e-08,4.3967202145722695e-07
1832,2.4353944638733083e-08,4.938438920021326e-07
1833,2.7800709290204395e-08,5.90765054653275e-07
1834,3.453776553641319e-08,6.142121620200669e-07
1835,2.117664621437143e-08,6.625265029924776e-07
1836,3.024337402735e-08,5.793286703692502e-07
1837,3.061471864906906e-08,3.6320192009497987e-07
1838,2.9667161394186792e-08,4.1344659251763005e-07
1839,1.8177836236255018e-08,4.551450345502417e-07
1840,2.675269317187201e-08,3.758116449148474e-07
1841,1.540931604537832e-08,4.950242882273415e-07
1842,4.628703065279183e-08,5.55444344740863e-07
1843,3.5441465817687146e-08,4.016699648445865e-07
1844,2.0856532612079093e-08,4.143863705508011e-07
1845,4.185171054160719e-08,4.949662226749751e-07
1846,2.1661654248106288e-08,4.209386332831855e-07
1847,1.1325769655456952e-08,3.376158090873105e-07
1848,1.3676877186341585e-08,4.127198707237767e-07
1849,3.770736700658972e-08,3.2679717776318284e-07
1850,1.5614691761811628e-08,4.2634896146864776e-07
1851,4.3211238143214814e-08,3.8890114950618226e-07
1852,1.7578472233381603e-08,3.170635594074156e-07
1853,1.911018188138769e-08,4.69991050522367e-07
1854,2.1302224872954412e-08,4.218879503525841e-07
1855,1.963566731433275e-08,4.6223421534818954e-07
1856,4.0899793773974125e-08,4.4006108623761975e-07
1857,2.9777205645675764e-08,3.968666817399935e-07
1858,3.572383455718864e-08,4.144943730466366e-07
1859,3.3608344329749684e-08,3.803853587669437e-07
1860,3.249800606397457e-08,4.2522037801973056e-07
1861,4.527325270231586e-08,4.1736278433290863e-07
1862,2.6656119311851967e-08,3.442705640566146e-07
1863,2.946826249683454e-08,4.0306588644511976e-07
1864,2.1576275877066564e-08,4.185797592981544e-07
1865,1.835669261041062e-08,3.8313712025228597e-07
1866,1.65430835696867e-08,3.600553597493672e-07
1867,2.0867089389753346e-08,3.659019895962956e-07
1868,2.7663294210888978e-08,3.803703094718003e-07
1869,1.269715022012008e-08,3.794494318754005e-07
1870,4.30053663791341e-08,3.6411209691777913e-07
1871,7.434824089713743e-09,4.312198100819842e-07
1872,1.4513614310374123e-08,4.559693849159885e-07
1873,1.616221201317103e-08,4.5493633393789423e-07
1874,8.961913655625153e-09,3.1426442959059386e-07
1875,2.5174719198162165e-08,4.1709933640277086e-07
1876,5.441413186701993e-08,4.117336018794049e-07
1877,2.535774568102056e-08,4.780862852271639e-07
1878,2.0532902045289347e-08,3.744235073099844e-07
1879,2.443730151568957e-08,3.390675615833061e-07
1880,2.5029599504122757e-08,3.741604359674966e-07
1881,3.137628423743877e-08,4.3787348147361627e-07
1882,2.0631693686823382e-08,4.472418666523481e-07
1883,2.8437026067251736e-08,3.646258512901568e-07
1884,2.8387296957532726e-08,5.796290025728013e-07
1885,2.0626034213933053e-08,3.603110450001168e-07
1886,1.2261580972783293e-08,4.2334722039072403e-07
1887,2.7421483750345033e-08,3.4733879772375076e-07
1888,2.0289966373709944e-08,3.48099742808472e-07
1889,2.6940087494153886e-08,4.4921031161493374e-07
1890,2.7528423984790606e-08,4.0571652704102235e-07
1891,3.314594465564369e-08,2.817405260202577e-07
1892,2.382034658410248e-08,3.748570520656358e-07
1893,3.387129021703572e-08,3.701208370898712e-07
1894,2.709661939270802e-08,5.091643657806344e-07
1895,2.7083765452573516e-08,3.526907974560345e-07
1896,3.36130654421396e-08,2.4944432652773685e-07
1897,3.1464253869017966e-08,4.0204324847081807e-07
1898,3.960848360406999e-08,2.8687859909837243e-07
1899,2.266307141951529e-08,3.8140291991339836e-07
1900,5.0353215819143315e-08,3.197688798195486e-07
1901,3.800342485149599e-08,2.9620316865930363e-07
1902,2.455142000812316e-08,3.073837753220232e-07
1903,3.0781255766498816e-08,3.472341632004827e-07
1904,3.493506461893503e-08,3.783736133300408e-07
1905,3.4577085195053314e-08,2.709398501110627e-07
1906,3.395161618513498e-08,3.2511244896227254e-07
1907,2.5199932807140613e-08,3.47141913437099e-07
1908,4.174680778845641e-08,3.1678458967121514e-07
1909,3.025540928902615e-08,2.9430260539697883e-07
1910,3.1530488442399474e-08,3.142360647245823e-07
1911,4.149891918991955e-08,2.7985168316035924e-07
1912,4.375913742471482e-08,3.896647058354574e-07
1913,4.931780317463108e-08,3.6272450643082266e-07
1914,5.022557836298347e-08,3.5425775735120624e-07
1915,4.005459064426731e-08,3.5931323338900256e-07
