year,en_ADP eaux_NOUN,en_ADP saut_NOUN
1800,2.358123420975744e-07,4.4018302336468196e-08
1801,2.524053570596152e-07,7.381665767525192e-08
1802,2.5735161557349784e-07,5.370816325012129e-08
1803,1.1331471370112922e-06,2.9255089017965474e-08
1804,4.696516728852629e-07,5.9324420931261557e-08
1805,5.34461003454112e-07,3.1271653710973624e-08
1806,2.7087691023552907e-07,1.4408345627714425e-08
1807,3.074711401040986e-07,1.1387820464392462e-08
1808,2.5153420679657756e-07,1.2236799307174806e-07
1809,2.710836657371374e-07,2.25903047379461e-08
1810,3.1825722945910684e-07,2.3401266702194334e-08
1811,3.4096243783920954e-07,3.259199843341776e-08
1812,2.667208347517658e-07,2.9339290108509886e-08
1813,2.0992914051554123e-07,1.7254450312975678e-08
1814,2.580275122454623e-07,4.720015622794449e-08
1815,2.5623624266835066e-07,2.4275012222574333e-08
1816,2.062667476820934e-07,1.1588019432906549e-08
1817,2.2107602470899934e-07,2.1796227045456362e-08
1818,1.9908365556098317e-07,1.1921176934492905e-08
1819,3.3226870055358404e-07,2.2772310259711048e-08
1820,2.1003671690777992e-07,1.4239777357261119e-08
1821,2.031466594942799e-07,3.254291058851777e-08
1822,1.5439448475262907e-07,2.8071724500478012e-08
1823,1.2649839309375466e-07,5.336650943377208e-08
1824,1.9621192581809055e-07,4.7158231097910175e-08
1825,1.787504968486786e-07,2.1133063299316746e-08
1826,2.3164999207736514e-07,4.844391454650321e-08
1827,2.0185828181196186e-07,2.2121454890111636e-08
1828,1.751909479708047e-07,5.044765671868845e-08
1829,2.1518671777798204e-07,6.858540846366168e-09
1830,1.8890672803806297e-07,8.349468672008697e-09
1831,2.7908258548592357e-07,1.7150327380477393e-08
1832,3.368962495642336e-07,9.470978779013706e-09
1833,2.536814502906992e-07,9.266902467608418e-09
1834,1.7455573142477476e-07,1.7735608093261135e-08
1835,2.2008586597621616e-07,3.781543966852041e-08
1836,1.854926970912274e-07,2.2850549896702432e-08
1837,1.8507989274496595e-07,1.3915782193230086e-08
1838,2.057764847407384e-07,2.7142295522253335e-08
1839,2.551888466095775e-07,1.7478688718597368e-08
1840,1.0828470919932442e-07,1.2102408852854296e-08
1841,1.8491180320268086e-07,8.988767952189392e-09
1842,1.677066228111812e-07,2.683306021822318e-08
1843,2.0615119794564762e-07,8.269675610961258e-09
1844,1.9374621373913214e-07,8.232841963717874e-09
1845,1.696389348992966e-07,1.6740683173033233e-08
1846,2.1603110056389596e-07,1.1123552745573306e-08
1847,1.526282265018608e-07,1.0247124926365814e-08
1848,3.07327463255902e-07,8.045221766561639e-09
1849,2.1618890544417013e-07,1.6758828991214614e-08
1850,1.5003680609027015e-07,1.2220192857625989e-08
1851,2.347595637886002e-07,1.0319102017319892e-08
1852,2.8841716326333255e-07,2.408901877970493e-08
1853,2.3589130093704114e-07,1.3735442783158192e-08
1854,2.202961661978975e-07,1.454786069388092e-08
1855,1.9529528572093113e-07,3.714855978387277e-09
1856,1.7602443536102186e-07,6.73034605824796e-09
