year,mon_DET avoir_NOUN,mon_DET savoir_NOUN
1800,4.7162465932615305e-08,1.5091990102078512e-07
1801,1.6668277424969347e-08,1.9049461030817838e-07
1802,4.0281122437590966e-08,7.161088433349505e-08
1803,1.5602713787643552e-08,1.2287136996746995e-07
1804,2.9662210465630778e-08,1.2853625008801828e-07
1805,0.0,2.0753007756724173e-07
1806,3.1698360380971735e-08,1.527284592128808e-07
1807,5.978605788214963e-08,9.964342950752325e-08
1808,5.257291455507129e-07,1.767537662900054e-07
1809,4.518061036407062e-09,8.58431610240018e-08
1810,2.574139479349924e-08,2.808152053113133e-07
1811,5.515568801683912e-08,1.178326058948187e-07
1812,1.0668832928217853e-08,1.1735716398675322e-07
1813,8.627225156487839e-09,1.811717234012633e-07
1814,3.776012391654149e-08,1.6362721222407117e-07
1815,5.1247248222807684e-08,6.47333635583891e-08
1816,4.6352077731626196e-09,9.502176112619054e-08
1817,4.203558034987509e-08,1.494598480533682e-07
1818,4.053200441944682e-08,1.0490636448423629e-07
1819,1.9666995143552413e-08,8.694882014381733e-08
1820,3.559944161679596e-08,1.5663754737715863e-07
1821,5.621048237980375e-08,2.0018821311751367e-07
1822,5.9151133768864383e-08,1.1328945959121484e-07
1823,6.127265805844218e-08,1.5021684740545993e-07
1824,4.6316120716483056e-08,1.667380322700751e-07
1825,8.365170600654892e-08,1.3736491499827252e-07
1826,9.424542923852641e-08,1.699941003519001e-07
1827,5.7147094167930845e-08,9.493791414127983e-08
1828,6.512333783348367e-08,1.6234973543305387e-07
1829,4.2865881511033876e-08,1.285976338749606e-07
1830,4.0703660886265425e-08,1.9308146348429034e-07
1831,5.9246584527272717e-08,1.559120619276655e-07
1832,9.741577855493233e-08,2.1242051495562464e-07
1833,4.749287541017111e-08,2.247223869211723e-07
1834,3.453776287187793e-08,1.2601616106167057e-07
1835,7.941242330389287e-08,1.3764819328798694e-07
1836,6.183089806821584e-08,1.5390518193214575e-07
1837,1.2663361992348854e-07,1.2663361204090506e-07
1838,6.754013526233393e-08,1.4391729541429754e-07
1839,1.0067724431905845e-07,1.1675763866847433e-07
1840,6.11490094115652e-08,1.2229801593655054e-07
1841,3.7239180183945564e-08,1.2648480396393325e-07
1842,6.507016792056675e-08,1.3617777749885818e-07
1843,3.839492279666956e-08,8.446883148494067e-08
1844,6.147188713612195e-08,1.1251550469104643e-07
1845,5.0780073479472776e-08,1.6573277150655485e-07
1846,5.503231137460318e-08,1.1299187807622957e-07
1847,6.74152982327314e-08,1.2512279035092888e-07
1848,6.275273278788518e-08,7.321151684891447e-08
1849,6.033178623354729e-08,1.1144621581138381e-07
1850,7.264225576619765e-08,9.708263970509279e-08
1851,6.06247212431299e-08,7.094382681316347e-08
1852,7.291811088272482e-08,1.0481977996690262e-07
1853,7.882950070481343e-08,8.719020172520686e-08
1854,7.585670031007297e-08,1.0131545363778471e-07
1855,5.200798369742188e-08,1.2577440955396924e-07
1856,6.78211793392336e-08,1.2735885501768962e-07
1857,7.127003365248186e-08,1.2789553949232868e-07
1858,7.732008056038353e-08,1.2087379874792248e-07
1859,8.809460183556439e-08,9.420520497016582e-08
1860,7.23195086038686e-08,1.1168328678534678e-07
1861,5.564837213256624e-08,1.4902445677478227e-07
1862,5.6474828591390747e-08,1.382503854729933e-07
1863,6.093437576737415e-08,1.0238972913967359e-07
1864,5.705726235927244e-08,1.1603241589774882e-07
1865,9.507825726728925e-08,1.2708480234824293e-07
1866,7.20110735485946e-08,7.055138917522186e-08
1867,7.182160821628258e-08,8.395363515489862e-08
1868,5.977247496957716e-08,1.4869021036645336e-07
1869,5.4695413975736074e-08,1.3869194093185655e-07
1870,5.676708214608084e-08,1.014926662712412e-07
1871,9.771483022724681e-08,1.072738911034321e-07
1872,8.889588620775157e-08,9.857163218995879e-08
1873,8.9191463992222e-08,1.1912148811799028e-07
1874,9.678866774720518e-08,8.782675653407068e-08
1875,8.181784022509575e-08,1.0527609850541353e-07
1876,6.650616057868319e-08,1.5054576163464617e-07
1877,7.483627362248058e-08,1.100897275563284e-07
1878,7.186515604828969e-08,7.54886080311934e-08
1879,7.819936165276431e-08,1.1424437929008491e-07
1880,9.113341636890482e-08,8.5999136478776e-08
1881,1.4084465682628888e-07,7.948658720113855e-08
1882,4.592215585574877e-08,1.1314154502173324e-07
1883,7.01446621897972e-08,8.278334312494806e-08
1884,6.667713847718915e-08,8.978307697304899e-08
1885,4.18966337178972e-08,6.961286502793484e-08
1886,6.582533174093186e-08,8.066829959574306e-08
1887,7.573552651685134e-08,8.487601932394284e-08
1888,5.07249175996094e-08,5.960177928976407e-08
