year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP serre_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,1.1947824418712116e-07
1801,3.333655484993869e-08,7.1435474868764e-08,1.7144515140898875e-07
1802,2.2378401354217203e-09,2.2378401354217203e-09,6.69114172069385e-07
1803,1.950339267864365e-08,5.0708818033484704e-08,2.340407121437238e-07
1804,4.943701892301533e-09,4.943701892301533e-09,3.460591280202152e-07
1805,5.685755422035754e-09,2.842877711017877e-09,4.491746796730922e-07
1806,0.0,3.1698359492793315e-08,7.780506905419315e-08
1807,2.8469551160981155e-09,0.0,2.2775641372874134e-08
1808,1.1330369531492579e-08,6.118399653587403e-08,9.064295625194063e-08
1809,9.036122072814123e-09,9.036122072814123e-09,2.371982077420398e-07
1810,4.212228077449254e-08,7.020380277111826e-09,2.2933241616840405e-07
1811,5.0141535368197765e-09,2.5070767684098882e-09,1.7850386484496994e-06
1812,8.00162425207418e-09,1.8670457180292033e-08,4.000812481308458e-08
1813,0.0,0.0,1.322841143291953e-07
1814,1.2586708564299443e-08,3.1466771410748606e-09,1.6992056828257773e-07
1815,2.697223555614414e-09,3.506390644503199e-08,2.0498898534171417e-07
1816,0.0,1.4832664874120383e-07,1.6918508549679245e-07
1817,1.556873407970727e-09,6.227493631882908e-09,2.2574663738339495e-07
1818,7.152706427149269e-09,2.384235475716423e-09,7.391130196765516e-08
1819,1.7596784473994376e-08,3.933399084221634e-08,5.589566853814176e-08
1820,1.1866481131050932e-09,2.3732962262101864e-08,9.01852530432734e-08
1821,7.88919063410276e-09,1.7750678149575094e-08,1.0157332830385002e-07
1822,5.012807946513931e-09,1.2030739071633434e-08,5.6143449000956025e-08
1823,2.8659792761231984e-08,1.4824030780680175e-08,1.1167436042569534e-07
1824,1.0105335235266466e-08,0.0,1.1873768812620256e-07
1825,1.584979791857677e-08,0.0,1.1623184947850973e-07
1826,2.642395191543301e-09,1.1450379977517855e-08,1.321197662385032e-07
1827,1.8434546111834038e-09,2.21214555007343e-08,1.410242755905955e-07
1828,8.255071293206129e-09,4.5861504760491556e-08,1.6693587667759857e-07
1829,1.0287811491593857e-08,2.8291481157793896e-08,1.4145740578896948e-07
1830,4.174734336004349e-09,1.0436835840010872e-09,1.7325147894098336e-07
1831,0.0,9.35472388441383e-09,2.603731468209247e-07
1832,5.411987746839486e-09,2.705993873419743e-09,3.964281098944866e-07
1833,8.108539617524002e-09,2.3167257001688313e-09,2.8959070930145714e-07
