year,en_ADP avant_NOUN,en_ADP savant_NOUN
1895,2.0268286164082383e-05,2.768562623600701e-08
1896,1.812923682109613e-05,2.594692793955744e-08
1897,1.9263115063949954e-05,1.573212637939747e-08
1898,1.81808607635503e-05,9.619203211741478e-09
1899,1.827804413778722e-05,2.3215829259015663e-08
1900,1.7001218509449245e-05,3.1665425836990835e-08
1901,1.8545113164236682e-05,2.738482018926902e-08
1902,2.7744576868826698e-05,2.6515533269044766e-08
1903,1.8465512766852044e-05,3.348136701220028e-08
1904,1.8892882053478388e-05,2.2573424907079698e-08
1905,1.6138725300152146e-05,6.708986699521802e-09
1906,1.6413035325513192e-05,2.9321851613417493e-08
1907,1.498470277283559e-05,2.108565766434367e-08
1908,1.4746445401669916e-05,3.487086175368859e-08
1909,1.5638195861811255e-05,2.2554033307642385e-08
1910,1.4863152102861932e-05,1.1757131268552712e-08
1911,1.6446340055153996e-05,2.0217422402879492e-08
1912,1.5175565351910336e-05,2.5005221004903433e-08
1913,1.6188967208563554e-05,1.8030165804816534e-08
1914,1.6780029966412258e-05,2.47779509132684e-08
1915,1.9870611197347898e-05,1.2958838335741518e-08
1916,1.9151146489093662e-05,2.5271162051865304e-08
1917,1.892037278139469e-05,2.302949086985251e-08
1918,1.6987202286600223e-05,1.1486376294556067e-08
1919,1.4361481419200572e-05,2.301962176431971e-08
1920,1.4565945036792982e-05,1.8930579770426448e-08
1921,1.4608587264319794e-05,1.3630945261411398e-08
1922,1.348539018408701e-05,1.8444838545406128e-08
1923,1.2125536159146577e-05,3.8217415010421973e-08
1924,1.247780306812274e-05,1.4180787211159895e-08
1925,1.2805178528196848e-05,1.6497267552040284e-08
1926,1.1732425548416359e-05,2.6750733184144337e-08
1927,1.2294250240074689e-05,1.1149224654616319e-08
1928,1.1042126260463192e-05,1.942427008128078e-08
1929,1.1657320783342584e-05,1.0026365737658693e-08
1930,1.0706323109843652e-05,2.9410089696924047e-08
1931,1.3403575508164067e-05,4.448089274688982e-08
1932,1.3307068911672104e-05,2.191907289006423e-08
1933,1.2355050500900688e-05,2.064719240024715e-08
1934,1.3077894948310131e-05,2.516131836216573e-08
1935,1.2687578475834016e-05,1.795242621227544e-08
1936,1.2847347306887968e-05,8.487299751891442e-09
1937,1.1583829035544113e-05,2.0145788925951535e-08
1938,1.0679447342454296e-05,1.0372171566075394e-08
1939,1.1143244762479299e-05,3.211750509990452e-08
1940,1.104587022382475e-05,2.0286263113789005e-08
1941,1.176468953190124e-05,1.4757512545315876e-08
1942,1.1742399408376514e-05,2.1239483061208375e-08
1943,1.1836490216410311e-05,1.4516175816936538e-08
1944,1.1769901277602912e-05,1.927911696952833e-08
1945,1.0770524283998384e-05,1.089252066321933e-08
1946,9.856141986119837e-06,9.744772988540262e-09
1947,1.0040949689482659e-05,1.6689218895749036e-08
1948,1.3445263391531626e-05,3.370285384107774e-08
1949,1.0905714333375727e-05,1.570721330779179e-08
1950,1.0844877721183366e-05,1.2762433776458693e-08
1951,1.3480276322752616e-05,2.1322803078760444e-08
1952,1.2632674668111576e-05,2.319856839960721e-08
1953,9.414169909405246e-06,1.5083358673173564e-08
1954,1.0479090377657485e-05,1.2704297169818801e-08
1955,9.224175613553598e-06,2.3464019616170617e-08
1956,8.830155962868957e-06,1.5698054633972447e-08
1957,9.040010610306126e-06,4.417518795207798e-09
1958,9.817498636266464e-06,1.4062814024384807e-08
1959,9.280745473461138e-06,2.2477168570844697e-08
1960,8.589446366613629e-06,8.997083078554624e-09
1961,8.746343013399382e-06,1.111705483225478e-08
1962,8.731605504408435e-06,1.268391242037481e-08
1963,8.722059590127174e-06,7.1126584622049904e-09
1964,8.577786900332285e-06,1.764350798794112e-08
1965,8.474553254700368e-06,1.094408652591028e-08
1966,8.67585322339437e-06,1.329377918857233e-08
1967,8.963843242781877e-06,2.415864347460328e-08
1968,8.006847366459624e-06,1.8863946849023705e-08
1969,8.553946543088387e-06,1.317109751819423e-08
1970,7.818292345973532e-06,9.197449912790034e-09
1971,7.362296059909568e-06,1.5929032648465125e-08
1972,7.760885978314036e-06,1.333838212103089e-08
1973,7.465980360166213e-06,8.821126273872437e-09
1974,6.917203023704133e-06,1.3501371687318908e-08
1975,6.397429160642787e-06,1.028066431985053e-08
1976,7.153906807388921e-06,7.427585047015128e-09
1977,7.029218863863207e-06,1.057820719907454e-08
1978,6.634452205389607e-06,8.316828115084718e-09
1979,6.842712366506021e-06,7.607565355449708e-09
1980,6.966583526946124e-06,1.0233271174886482e-08
1981,7.299684199324474e-06,1.5813874654213578e-08
1982,6.903984271389163e-06,7.449002747961231e-09
1983,7.026420718148074e-06,6.94684787472255e-09
1984,6.48097176281226e-06,1.1018116197192285e-08
1985,6.596059478169991e-06,6.015557940663996e-09
1986,6.7857575913876644e-06,9.591176797218992e-09
1987,6.443856563009831e-06,9.777307352631937e-09
1988,6.142270166265007e-06,6.596209134457354e-09
1989,6.218042628347575e-06,7.134558721588746e-09
1990,6.05726523872363e-06,7.628111475810329e-09
1991,6.7623726351939695e-06,8.7921980806982e-09
1992,6.253235625308662e-06,9.917899890243831e-09
1993,6.385044429180198e-06,7.75489034099408e-09
1994,6.184323893876353e-06,9.494867947434926e-09
1995,6.370295110968982e-06,1.084490158786977e-08
1996,6.445212676453593e-06,5.3380921904988554e-09
1997,6.620310728067125e-06,5.753873377756236e-09
1998,6.778849495958639e-06,7.629006870679689e-09
1999,6.8127988726018884e-06,1.0968482760942422e-08
2000,6.884176755761473e-06,1.0603275590881367e-08
2001,7.237761693090761e-06,3.94309060403053e-09
2002,8.346226678668245e-06,7.00995456126563e-09
2003,7.833814805735528e-06,1.12506919336397e-08
2004,7.947124771590097e-06,9.690541036277978e-09
2005,8.083780102197125e-06,1.2610498645315715e-08
2006,8.141892294588615e-06,8.647568938702221e-09
2007,8.417966355978024e-06,7.988958827809256e-09
2008,8.419512980140098e-06,9.366367403895737e-09
2009,8.859778162673138e-06,9.059566208335923e-09
2010,8.865614958608603e-06,5.196172492283324e-09
2011,9.892232711194993e-06,9.559929708968795e-09
2012,1.067131123022591e-05,9.531907513293802e-09
2013,1.0445273133541377e-05,9.483025031897796e-09
2014,9.719167891830693e-06,7.579058047824105e-09
2015,1.0491716125216044e-05,8.201329060320006e-09
2016,1.1363371669403932e-05,1.1599503996206906e-08
2017,1.0002322071045455e-05,8.804639684001359e-09
2018,1.056052218473269e-05,8.518839800242262e-09
2019,9.90038320480835e-06,8.4182593118598e-09
