year,bien_ADV ôté_VERB,bien_ADV sauté_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.8574191901498125e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,5.851017448321727e-09
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,0.0,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,1.1588019432906549e-08,4.6352077731626196e-09
1817,7.784366928831332e-09,0.0
1818,1.1921177378582115e-09,2.384235475716423e-09
1819,0.0,3.1053151161586356e-09
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,3.94459531705138e-09,9.86148829262845e-10
1822,2.3058916553964082e-08,0.0
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,8.421112696055388e-09,0.0
1825,2.8177417732422327e-08,1.937197424695114e-08
1826,2.642395191543301e-09,8.807984341885344e-10
1827,1.013900075008678e-08,0.0
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,1.714635211591542e-09,1.714635211591542e-09
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,6.236482441579483e-09,1.5591206103948707e-09
1832,1.2176972319366541e-08,2.1647950543268735e-08
1833,2.3167257001688313e-09,0.0
1834,3.733812370398937e-09,9.334530925997342e-10
1835,6.050470346963266e-09,3.025235173481633e-09
1836,8.736974699274924e-09,1.3441500135158435e-09
1837,1.3219993100221927e-08,3.478945576063097e-09
1838,2.5248647617104325e-09,5.680945491803868e-09
1839,6.9914751765765e-10,6.9914751765765e-10
1840,3.1848443882154243e-09,0.0
1841,1.2841097074556274e-09,5.778493683550323e-09
1842,2.683306021822318e-09,6.037438549100216e-09
1843,3.5441467538532834e-09,0.0
1844,1.097712254427563e-09,0.0
1845,3.348136878855712e-09,2.2320911785556063e-09
1846,5.854501328173001e-09,1.7563503984519002e-09
1847,4.853901280910122e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,8.045221711050488e-10
1849,0.0,8.379414939696517e-10
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,6.449438760824933e-09,3.8696632564949596e-09
1852,5.859490670445666e-09,6.510545436100301e-10
1853,8.360704129017904e-09,5.971931837933653e-10
1854,3.117398783558656e-09,2.0782657816909023e-09
1855,5.306937111981824e-09,5.837630823180007e-09
1856,6.73034605824796e-09,2.588594560926083e-09
1857,7.322263684272912e-09,5.369659827891837e-09
1858,7.34051397444091e-09,1.2234189661342043e-08
1859,1.018434669930457e-09,1.018434669930457e-09
1860,1.373155145145688e-09,5.492620580582752e-09
1861,3.772770984511453e-09,3.3011746669586728e-09
1862,6.325180823552046e-09,1.8071945051545413e-09
1863,3.995696662428827e-09,4.994620828036034e-10
1864,4.794728170054441e-09,3.3563094525845827e-09
1865,1.882737743486018e-09,9.41368871743009e-10
1866,6.811858188626729e-09,2.919367858567057e-09
1867,8.73506067478047e-09,5.82337378318698e-09
1868,4.93987406535723e-10,1.0373735648272486e-08
1869,2.441759683335931e-09,1.4650557433881772e-09
1870,1.7202146374017957e-09,4.587239033071455e-09
1871,0.0,0.0
1872,1.8142017887967654e-09,1.2094678591978436e-09
1873,2.9930022904522957e-09,1.7958012854535355e-09
1874,8.961913877669758e-09,4.779687312606029e-09
1875,3.432916173551348e-09,4.0050688876469565e-09
1876,0.0,1.209202959984168e-09
1877,4.329371083855449e-09,7.421779191219002e-09
1878,0.0,6.039088673581716e-10
1879,0.0,6.10932526790009e-10
1880,4.492492600149944e-09,1.2835692508872398e-09
1881,0.0,2.7890030285249168e-09
1882,3.3276925659464496e-09,3.9932310791357395e-09
1883,0.0,5.687405213450347e-09
1884,1.9805090900604227e-09,1.9805090900604227e-09
1885,1.933690763067375e-09,4.511945039809007e-09
1886,4.5174246565693466e-09,2.5813854942491332e-09
1887,1.9586774424595887e-09,8.487601954598745e-09
1888,3.1703073499755874e-09,3.1703073499755874e-09
1889,0.0,2.5060546970934183e-09
1890,6.554386478008212e-10,8.520702365899524e-09
1891,1.2748440081367107e-09,3.1871101313640793e-09
1892,0.0,1.8805537127519756e-09
1893,1.847525021858587e-09,4.926733299104313e-09
1894,3.780923574225881e-09,1.8904617871129403e-09
1895,0.0,6.018614495673091e-09
1896,0.0,4.7176231254830725e-09
1897,1.1653427112179315e-09,2.9133566670225264e-09
1898,0.0,3.960848538042683e-09
1899,1.1055156790007459e-09,4.9748205555033564e-09
1900,2.595526460424935e-09,7.267474289029963e-09
1901,1.1177477832191585e-09,3.353243460679778e-09
1902,6.38336894454028e-09,2.9461704187383475e-09
1903,5.400220270956879e-10,1.6200660812870638e-09
1904,5.374625189347171e-10,2.1498500757388683e-09
1905,0.0,1.0321518084666081e-09
1906,5.144184522798412e-10,1.5432553013283723e-09
1907,0.0,1.028568674676933e-09
1908,4.911389073214423e-10,2.4556945366072114e-09
1909,0.0,0.0
1910,2.67207544979442e-09,1.6032452032632705e-09
1911,5.320374141248863e-10,5.320374141248863e-10
1912,1.0418842455450772e-09,1.0418842455450772e-09
1913,0.0,1.590896969716482e-09
1914,1.3393487430235496e-09,2.678697486047099e-09
1915,1.1780761921542648e-09,2.0027295377644805e-08
1916,0.0,5.493730803607377e-09
1917,0.0,3.289927441585405e-09
1918,0.0,1.1486376294556067e-09
