year,en_ADP homme_NOUN,en_ADP somme_NOUN
1800,3.0183979831122087e-06,9.621143419735745e-07
1801,4.1908812704605225e-06,1.0072402147898174e-06
1802,3.4059926861118583e-06,1.0629740927470266e-06
1803,2.603702782266737e-06,7.645329844763182e-07
1804,4.4913530956591785e-06,1.0925581364062964e-06
1805,4.778877240596557e-06,1.0973507755807077e-06
1806,3.4349495479091274e-06,7.261806302949481e-07
1807,2.835567205039524e-06,9.964343092860872e-07
1808,3.716361280936553e-06,1.0537243824160214e-06
1809,3.445021434345108e-06,8.132509705660596e-07
1810,4.2566906159891005e-06,7.582010468354383e-07
1811,3.6277401704865042e-06,9.877882263253923e-07
1812,3.846114353223129e-06,1.1175602310231625e-06
1813,4.655825605937025e-06,7.419413634579541e-07
1814,3.62497203809653e-06,9.943499605924444e-07
1815,2.6918291453625898e-06,6.068753179988562e-07
1816,2.706961439002953e-06,5.654953554312669e-07
1817,4.1334988267749395e-06,9.185553153656656e-07
1818,4.675485790528455e-06,9.203148749747925e-07
1819,4.798746836343071e-06,1.0144029261027754e-06
1820,4.204294484111415e-06,9.884778648938664e-07
1821,4.780849693020173e-06,1.7809847463468031e-06
1822,4.31101462083916e-06,1.7133777419076068e-06
1823,3.911567389991433e-06,1.7946960042536375e-06
1824,4.6812967298137664e-06,3.5713939610104717e-06
1825,5.301757042275312e-06,1.691525596925203e-06
1826,3.521432027753235e-06,1.3238400242698845e-06
1827,3.7541952622177632e-06,1.3024006761952478e-06
1828,3.3671517769562342e-06,1.5088435816323909e-06
1829,4.512919986154884e-06,1.778076693881303e-06
1830,4.250923158366504e-06,2.154162928036385e-06
1831,3.5703861840374884e-06,1.9878788179994444e-06
1832,4.514950603606849e-06,2.186442998208804e-06
1833,3.624517376010772e-06,3.0696614885528106e-06
1834,3.4080372870448628e-06,2.2850931600260083e-06
1835,3.988016217704171e-06,2.7491824994285707e-06
1836,3.824106805438987e-06,4.400075113153434e-06
1837,3.378751728178031e-06,2.874304755096091e-06
1838,3.5139804168693445e-06,3.0336250347318128e-06
1839,3.6894014030508515e-06,3.9438909880118445e-06
1840,3.656838316601352e-06,3.4345360973020433e-06
1841,3.2173369675092545e-06,3.915892534678278e-06
1842,3.519826691444905e-06,3.7224162952043116e-06
1843,3.760339609470975e-06,3.941090881198761e-06
1844,3.2596566086340317e-06,3.961094762416906e-06
1845,3.413425460507824e-06,4.184612862445647e-06
1846,3.468206600132362e-06,3.7111683468538104e-06
1847,3.1275303769007223e-06,3.9408284919772996e-06
1848,3.0571842586368803e-06,5.696016842193785e-06
1849,3.1070870107896553e-06,5.055301244283328e-06
1850,3.1765711270281827e-06,4.87449915453908e-06
1851,3.271800324000651e-06,5.823843139296514e-06
1852,3.293033927320721e-06,4.826918484468479e-06
1853,3.5431471019364835e-06,5.549119123315904e-06
1854,3.640082411493495e-06,5.953192157903686e-06
1855,4.029557430840214e-06,6.267492608458269e-06
1856,3.584685927648934e-06,5.401879207056481e-06
1857,3.993562557980113e-06,6.039891331965919e-06
1858,4.115581347718944e-06,6.358842483678018e-06
1859,4.049296379093903e-06,7.654555020053522e-06
1860,3.8123365300180012e-06,7.58393593969231e-06
1861,3.5544218519589776e-06,8.301039542857325e-06
1862,3.4549041458831198e-06,7.98282962932717e-06
1863,3.886813914277809e-06,8.283078841486713e-06
1864,3.7629024944862977e-06,9.23416655496112e-06
1865,3.517424701726668e-06,9.39344954531407e-06
1866,3.598120827064122e-06,1.014626241158112e-05
1867,3.4192910476349425e-06,1.0454411494720262e-05
1868,3.4875511829568495e-06,1.149558102042647e-05
1869,3.6992657044265798e-06,1.1422062925703358e-05
1870,3.911194738748236e-06,1.1353416539350292e-05
1871,2.8794012649768774e-06,1.4317346995085245e-05
1872,3.2202080859633497e-06,1.280161268368829e-05
1873,3.140856648542467e-06,1.369537994833081e-05
1874,3.3607176135319605e-06,1.4714267308590934e-05
1875,3.5811039111877108e-06,1.5757085748191457e-05
1876,3.3325632955438778e-06,1.585627887834562e-05
1877,3.350314756289663e-06,1.5877659279794898e-05
1878,3.400007031473251e-06,1.6048878478613915e-05
1879,3.842154725930413e-06,1.654038715059869e-05
1880,3.4983678887101632e-06,1.64328953360382e-05
1881,3.1264724213997397e-06,1.862217322923243e-05
1882,3.14533509992998e-06,1.9613419681263622e-05
1883,2.848126015919661e-06,1.9686004634422716e-05
1884,3.1523104127018087e-06,2.1640362319885753e-05
1885,2.684607366632008e-06,2.2827863176644314e-05
1886,2.8414600592441275e-06,2.266714636789402e-05
1887,2.902107070212878e-06,2.4307839339599013e-05
1888,3.0301797266929498e-06,2.278436477354262e-05
1889,2.9402287253788018e-06,2.4739772015891504e-05
1890,2.5195061965632704e-06,2.526715979911387e-05
1891,2.761312146049022e-06,2.605334884719923e-05
1892,2.819576906176735e-06,2.6816068384505343e-05
1893,2.5834556396375774e-06,2.7660527848638594e-05
1894,2.700209634554085e-06,2.866759223252302e-05
1895,2.5621240951068103e-06,3.093748455285095e-05
1896,2.605897194030149e-06,3.116933658020571e-05
1897,2.3079611679577283e-06,3.104414736299077e-05
1898,2.6243450719221073e-06,3.32994195559877e-05
1899,2.518917369798146e-06,3.161222139169695e-05
1900,2.697271142437785e-06,3.124806426058058e-05
1901,2.4897830996906123e-06,3.2938350159383845e-05
1902,2.0083061258446833e-06,2.961244808830088e-05
1903,2.456560309838096e-06,3.381725946383085e-05
1904,2.1708110864437913e-06,3.3169499147334136e-05
1905,2.4214281069134813e-06,3.3250771593884565e-05
1906,2.3375174578177393e-06,3.4404306461510714e-05
1907,2.137365655130452e-06,3.367122462805128e-05
1908,2.3898818710677006e-06,3.3898898436746094e-05
1909,2.4314348081588832e-06,3.5093524274998344e-05
1910,2.362648999110206e-06,3.2469990401295945e-05
1911,2.478762283431024e-06,3.2940032724582125e-05
1912,2.2301531430457544e-06,3.2464070500282105e-05
1913,2.257482748291295e-06,3.536510757840006e-05
1914,2.4155153823812725e-06,3.1572467378282454e-05
1915,1.7494432000830784e-06,2.919508369814139e-05
