year,en_PRON avais_VERB,en_PRON savais_VERB
1800,1.131899196593622e-07,6.288328968651058e-09
1801,6.429193177837078e-08,9.524730337773235e-09
1802,1.1412984690650774e-07,2.2378401354217203e-09
1803,1.0336798084153997e-07,3.900678446910888e-09
1804,7.415552971679062e-08,7.4155526164076946e-09
1805,1.02343598484822e-07,1.7057265822018053e-08
1806,5.76333825108577e-08,2.881669125542885e-09
1807,5.97860605466849e-08,1.1387820464392462e-08
1808,9.29090351320383e-08,0.0
1809,1.4683698168482806e-07,0.0
1810,1.0998595456612748e-07,2.3401267590372754e-09
1811,1.2033967777824728e-07,2.5070767684098882e-09
1812,9.068507855758412e-08,8.00162425207418e-09
1813,5.7514832008109806e-08,0.0
1814,7.552024783308298e-08,0.0
1815,5.664169533403651e-08,0.0
1816,8.343373991692715e-08,4.6352077731626196e-09
1817,1.2610674748891881e-07,1.5568733857662664e-08
1818,1.4663048375496146e-07,7.152706427149269e-09
1819,8.694881725723747e-08,1.3456364911235141e-08
1820,1.4002447645822258e-07,7.119888678630559e-09
1821,2.54426405277286e-07,9.861488514673056e-09
1822,2.0552512580707116e-07,6.015369535816717e-09
1823,2.0852469706511556e-07,1.4824030003524058e-08
1824,2.863178325540616e-07,1.7684335773537896e-08
1825,1.7786994988000515e-07,7.924898959288385e-09
1826,1.7792127948723646e-07,1.6735169694470642e-08
1827,2.3411873462109156e-07,4.608636583469661e-09
1828,2.4306597845580313e-07,4.586150570418113e-09
1829,2.2718916686814694e-07,1.2002446148073886e-08
1830,2.9640614229720086e-07,1.6698937344017395e-08
1831,2.5569578609996313e-07,9.354723218280014e-09
1832,2.421864464530188e-07,5.411987746839486e-09
1833,4.2859426230279496e-07,5.791814250422078e-09
1834,1.7922298845007845e-07,2.5203233278148218e-08
1835,2.851284293114986e-07,1.2100940693926532e-08
1836,1.586097084782523e-07,6.048674894287842e-09
1837,2.2126093313090678e-07,6.957891152126194e-09
1838,1.2056229081736092e-07,1.1993107174035345e-08
1839,1.5381245077605854e-07,6.292327547896548e-09
1840,2.2612395439436384e-07,5.732719632334238e-09
1841,1.3739974047410897e-07,1.926164561183441e-09
1842,1.7240241190208394e-07,3.3541325272778977e-09
1843,1.8134217327769875e-07,4.134837805480629e-09
1844,1.2678576344349324e-07,3.2931368743049916e-09
1845,1.5568835981527585e-07,7.812318791877715e-09
1846,1.3582442437432007e-07,8.781752214304106e-09
1847,1.229655008927466e-07,8.089835468183537e-09
1848,1.5768634703539064e-07,1.6090443422100975e-09
1849,1.2736710663929784e-07,6.703531951757213e-09
1850,1.5614690251908314e-07,4.752297222410107e-09
1851,1.7993933942861418e-07,7.739326512989919e-09
1852,1.2304930252504676e-07,4.557381805270211e-09
1853,1.8572707460862148e-07,7.166318205520383e-09
1854,1.740547590500796e-07,1.0391328686409906e-08
1855,1.6610712805231742e-07,1.1675261646360013e-08
1856,1.8948512747751778e-07,1.65670055451983e-08
1857,2.0258262578565223e-07,6.8341128311999455e-09
1858,1.7764044546453306e-07,1.3212924976357954e-08
1859,1.7618920322703957e-07,1.018434669930457e-08
1860,2.2107798258730327e-07,6.865775947773045e-09
1861,2.174059302584297e-07,1.2733102239259608e-08
1862,1.4773814882573788e-07,8.584174260306554e-09
1863,2.1826493079579734e-07,6.99246927027275e-09
1864,2.1480381562355433e-07,7.1920918109924514e-09
1865,1.6850502349008423e-07,5.6482134525026595e-09
1866,2.2430476143142641e-07,1.216403244796993e-08
1867,2.465228359227467e-07,1.3102591012170706e-08
1868,1.76353503356097e-07,1.778354707937524e-08
1869,2.0266604172647362e-07,1.4650557211837167e-08
1870,2.0413213697167976e-07,1.0894693147633916e-08
1871,1.7737365487491275e-07,2.2304472935275044e-08
1872,2.249610253635126e-07,2.1770421909650395e-08
1873,2.2208075911578362e-07,2.334541804316359e-08
1874,2.509335916833777e-07,1.8521288946971026e-08
1875,2.860763572698488e-07,3.4901315615343265e-08
1876,2.986731306720003e-07,1.934724735974669e-08
1877,2.913048273711638e-07,2.4739264858908427e-08
1878,2.294853735929081e-07,1.1474268646338714e-08
1879,3.103537205007001e-07,1.588424503040642e-08
1880,2.2847532332725962e-07,2.5029599726167362e-08
1881,3.0888209778812126e-07,1.673401861523871e-08
1882,2.608911005008707e-07,1.5972924316542958e-08
1883,3.020643986606508e-07,1.7062215029728378e-08
1884,2.429424448280315e-07,1.1222884843675729e-08
1885,1.9788100980022705e-07,1.4180398189012067e-08
1886,2.071561939209765e-07,1.613365974151293e-08
1887,2.102313740870443e-07,1.7628096316002484e-08
1888,1.8831625125947937e-07,2.282621380800265e-08
1889,2.0862906041640983e-07,1.5662841412744655e-08
1890,2.0646317833161731e-07,1.9663159989136147e-08
1891,1.791155845864978e-07,1.0836173736095134e-08
1892,2.0874146056115706e-07,1.3790726782758611e-08
1893,2.401782526195717e-07,1.847524977449666e-08
1894,2.558424998522213e-07,1.449354058991048e-08
1895,2.1667011895765143e-07,1.2639090662958097e-08
1896,2.317532432627445e-07,1.0614651768658945e-08
1897,2.045176463738585e-07,9.322741689743452e-09
1898,2.1162247776373988e-07,1.640922953072277e-08
1899,2.481882717120243e-07,1.2713430308508578e-08
1900,2.0141286416475168e-07,1.1939421895590385e-08
1901,2.2075518746333955e-07,7.824234593556412e-09
1902,1.8364461668030074e-07,8.838511256215043e-09
1903,1.5822645682561642e-07,1.0800440541913758e-08
1904,1.8703695214838945e-07,8.599400302955473e-09
1905,1.7236935756503868e-07,1.0321517862621477e-08
1906,1.8621948044694747e-07,9.259531807970234e-09
1907,2.041708853095514e-07,8.742834012309686e-09
1908,2.1315428622159516e-07,6.875944702500192e-09
1909,1.6998039598092873e-07,5.5009836685826485e-09
1910,2.2178224945434977e-07,9.619471441624228e-09
1911,1.8887327846162094e-07,6.384448969498635e-09
1912,1.8545539637315755e-07,1.719108944087111e-08
1913,1.6810477898587806e-07,2.8105845761849935e-08
1914,1.5402510200601682e-07,8.036092680185902e-09
1915,1.7082105330246122e-07,2.1205371680821372e-08
1916,1.6151569415256972e-07,6.592477230782379e-09
1917,1.8533257950537063e-07,3.289927441585405e-09
1918,1.849306636714232e-07,1.033773866510046e-08
1919,1.6942440972389505e-07,2.762354567309444e-09
1920,1.7037521349294593e-07,2.4231141537711665e-08
1921,2.0446417781094794e-07,1.2116395886607734e-08
1922,2.3830731965546192e-07,1.696925089333945e-08
1923,2.696450747130541e-07,1.6985516992917837e-08
1924,2.2173593716701134e-07,1.4180787211159895e-08
1925,2.727548120695644e-07,1.4297631523163545e-08
1926,2.708511595006513e-07,2.1177662290483568e-08
1927,2.4751279070756027e-07,1.2264147031260109e-08
