year,en_PRON aurais_VERB,en_PRON saurais_VERB
1800,3.772997425599556e-08,9.432493897065797e-09
1801,3.809892135109294e-08,9.524730337773235e-09
1802,6.713520406265161e-08,1.3427040812530322e-08
1803,6.631153581793114e-08,1.5602713787643552e-08
1804,9.88740396223875e-08,9.887403784603066e-09
1805,4.264316544322355e-08,2.842877711017877e-09
1806,4.610670600868616e-08,5.76333825108577e-09
1807,5.693910054560547e-08,1.4234775136401367e-08
1808,7.251436784372345e-08,6.798221985349073e-09
1809,2.9367396070512086e-08,0.0
1810,2.8081521108447305e-08,7.020380277111826e-09
1811,4.512738271955641e-08,0.0
1812,3.200649700829672e-08,0.0
1813,7.18935417864941e-08,5.751483289628823e-09
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,6.47333635583891e-08,0.0
1816,3.9399267848239106e-08,0.0
1817,3.580808827230442e-08,0.0
1818,1.060984775591578e-07,1.1921176934492905e-08
1819,4.140420029052905e-08,3.1053151161586356e-09
1820,9.255855459855411e-08,9.493184904840746e-09
1821,1.6370070810012294e-07,3.94459531705138e-09
1822,1.2431763707354548e-07,3.0076847679083585e-08
1823,9.685032864581444e-08,7.906149512848515e-09
1824,7.410578906075216e-08,5.052667617633233e-09
1825,1.0830695185148898e-07,1.0566531649658373e-08
1826,6.341748415295001e-08,3.6112734136395375e-08
1827,5.438191053031005e-08,1.474763688946723e-08
1828,8.713686128203335e-08,1.559291185060374e-08
1829,1.0630738245254179e-07,2.0575622983187714e-08
1830,1.2524202475105994e-07,1.878630406793036e-08
1831,1.6526678847661458e-07,6.236482441579483e-09
1832,1.2447572417251251e-07,1.7588959622116818e-08
1833,1.0888610768589047e-07,1.0425265983826648e-08
1834,6.720862111286863e-08,8.401078055442213e-09
1835,1.1420262779893164e-07,2.571449897459388e-08
1836,1.431519812689075e-07,1.6129799718100912e-08
1837,9.045258486661822e-08,1.8090516529234435e-08
1838,7.32210807541378e-08,1.5149188570262595e-08
1839,5.6630947153912814e-08,2.2372720787089406e-08
1840,1.1783923808961205e-07,1.46502836528839e-08
1841,9.245589893680517e-08,7.0626033910059505e-09
1842,1.0330727828744557e-07,1.2745703159566801e-08
1843,1.3054273484414125e-07,2.0674189471492355e-08
1844,1.1086893669798314e-07,1.811225303072206e-08
1845,9.93280583339029e-08,1.3392547515422848e-08
1846,7.786486833083472e-08,9.367202125076801e-09
1847,6.741529290366088e-08,9.707802561820245e-09
1848,1.6251347290108242e-07,1.367687652020777e-08
1849,8.211826485471363e-08,1.6758829879393033e-09
1850,7.332116069846961e-08,7.467895635215882e-09
1851,7.416854375108528e-08,1.096404567135778e-08
1852,6.77096707590863e-08,1.2370035884501362e-08
