year,on_PRON avait_VERB,on_PRON savait_VERB
1800,2.1204245058470406e-05,1.7072812852347852e-06
1801,2.381658805461484e-05,1.7120702864303894e-06
1802,1.6589109236520017e-05,1.0473091833773651e-06
1803,1.9548249838408083e-05,1.1955579282130202e-06
1804,2.5830842787399888e-05,1.6067030514932412e-06
1805,2.169115714423242e-05,1.2252803287537972e-06
1806,2.116585983458208e-05,1.3918462116180308e-06
1807,3.0798360057815444e-05,2.1893084749535774e-06
1808,2.049890554189915e-05,1.092247686074188e-06
1809,2.473638460287475e-05,1.402857947141456e-06
1810,2.3324043922912097e-05,1.2472875710045628e-06
1811,2.7414883788878797e-05,1.6471494177494606e-06
1812,2.958734194180579e-05,1.7603574065105931e-06
1813,3.502653407849721e-05,1.9928888832509983e-06
1814,3.409109967833501e-05,2.4984616970868956e-06
1815,3.533632661856245e-05,2.6351874566898914e-06
1816,3.0522843644575914e-05,1.728932488731516e-06
1817,3.3664272905298276e-05,2.151599119315506e-06
1818,3.383826106073684e-05,2.1911123440077063e-06
1819,3.461184132902417e-05,2.458374353864201e-06
1820,4.019533207610948e-05,2.461108124407474e-06
1821,4.172987428319175e-05,2.5383470756423776e-06
1822,4.363248353911331e-05,2.414168307041109e-06
1823,4.5109522943675984e-05,2.7444220904726535e-06
1824,4.225630073051434e-05,3.4484455682104453e-06
1825,4.089335743628908e-05,3.0000144306541188e-06
1826,4.126452677155612e-05,2.1940689407529135e-06
1827,4.4261345465201885e-05,3.1771940030012047e-06
1828,4.394908046378987e-05,2.8388271857693326e-06
1829,4.9737279368855525e-05,3.4044081758111133e-06
1830,4.7767310206836555e-05,3.5433058656053618e-06
1831,4.297404029784957e-05,3.320926907690591e-06
1832,4.578541756927734e-05,3.3635503768891795e-06
1833,4.7045748033269774e-05,2.8785316317225806e-06
1834,4.8160579353861976e-05,3.2829545943968697e-06
1835,4.2532538827799726e-05,2.981369334520423e-06
1836,4.057585647387896e-05,2.7024136102227203e-06
1837,4.544755211099982e-05,2.8916995233885245e-06
1838,4.6975109398772474e-05,3.2608628544039675e-06
1839,4.434762649907498e-05,3.0881345765010337e-06
1840,4.988676664652303e-05,3.525622787492466e-06
1841,4.4753790461982135e-05,3.2860367582543404e-06
1842,4.941375027556205e-05,3.574834408937022e-06
1843,4.324154360801913e-05,3.2340337838832056e-06
1844,5.063142907602014e-05,3.6054358361070626e-06
1845,5.489102841238491e-05,3.7700020811826107e-06
1846,4.982941663911333e-05,3.5027480862481752e-06
1847,5.135589526616968e-05,3.4101352639481775e-06
1848,4.630829698726302e-05,2.925242597484612e-06
1849,5.085131579107838e-05,3.3685248581605265e-06
1850,4.583319150697207e-05,3.160956680403615e-06
1851,4.833338243770413e-05,2.9435238957375987e-06
1852,4.093700772500597e-05,2.895239560984919e-06
