year,on_PRON erre_VERB,on_PRON serre_VERB
1800,6.602745239447927e-08,5.345079685525889e-07
1801,5.2386017301842e-08,6.119639124335663e-07
1802,8.056224487518193e-08,6.467358275585866e-07
1803,2.3404069793286908e-08,4.992868305464526e-07
1804,5.6852572427601444e-08,4.820109396064254e-07
1805,7.391481915419718e-08,4.4348892913603777e-07
1806,2.881669125542885e-08,6.743105700479646e-07
1807,1.0249038240317532e-07,3.7010417131000395e-07
1808,5.211970233176544e-08,3.6030577277301745e-07
1809,6.777091243748146e-08,5.624985988106346e-07
1810,2.574139479349924e-08,3.5101902007284025e-07
1811,6.518399686683551e-08,6.518399331412184e-07
1812,2.400487364440096e-08,5.174383730377485e-07
1813,5.4639092583741444e-08,4.486156885974424e-07
1814,1.8880063290538374e-08,5.286417366079377e-07
1815,2.6972236000233352e-08,3.425473948936997e-07
1816,8.111613958305952e-08,4.913320239552377e-07
1817,4.203558034987509e-08,4.4526580111892144e-07
1818,4.768471084659609e-08,3.421377989809571e-07
1819,1.75967855842174e-08,4.720078798925442e-07
1820,2.610625848831205e-08,3.3463476256656577e-07
1821,4.437669787193954e-08,3.638889169987891e-07
1822,4.6117833107928163e-08,3.839811029138218e-07
1823,3.953074634299725e-08,3.755420898698958e-07
1824,3.2842341290972854e-08,4.168450828956338e-07
1825,3.6982861217893515e-08,4.112142022449916e-07
1826,2.554315514657901e-08,3.8578971306435506e-07
1827,2.2121456222379265e-08,5.382887557914273e-07
1828,3.485474486808471e-08,6.328887565132391e-07
1829,2.4862210068476998e-08,5.281076518315331e-07
1830,2.5048406016026092e-08,4.1225501234976036e-07
1831,1.7150327380477393e-08,6.563897940736751e-07
1832,2.4353944638733083e-08,6.372615821703675e-07
1833,2.7800709290204395e-08,4.4596968606924747e-07
1834,3.453776553641319e-08,5.451366291708837e-07
1835,2.117664621437143e-08,6.300051964558406e-07
1836,3.024337402735e-08,4.227351766417087e-07
1837,3.061471864906906e-08,5.698512666185707e-07
1838,2.9667161394186792e-08,4.090280878443764e-07
1839,1.8177836236255018e-08,5.285555317868784e-07
1840,2.675269317187201e-08,4.153036918808084e-07
1841,1.540931604537832e-08,4.3723936116180084e-07
1842,4.628703065279183e-08,3.407798505605797e-07
1843,3.5441465817687146e-08,3.998978748143145e-07
1844,2.0856532612079093e-08,4.2426578161780526e-07
1845,4.185171054160719e-08,4.4362812801068685e-07
1846,2.1661654248106288e-08,4.109859865764065e-07
1847,1.1325769655456952e-08,4.4278365152194965e-07
1848,1.3676877186341585e-08,4.0547916313471433e-07
1849,3.770736700658972e-08,3.527733660746435e-07
1850,1.5614691761811628e-08,2.953213211753791e-07
1851,4.3211238143214814e-08,4.579101506863026e-07
1852,1.7578472233381603e-08,3.7045004575020357e-07
1853,1.911018188138769e-08,5.368766835545102e-07
1854,2.1302224872954412e-08,3.449921290865632e-07
1855,1.963566731433275e-08,4.2030940861081945e-07
1856,4.0899793773974125e-08,3.9605497903494324e-07
1857,2.9777205645675764e-08,3.900325786787562e-07
1858,3.572383455718864e-08,3.4647224822492717e-07
1859,3.3608344329749684e-08,3.702009898631786e-07
1860,3.249800606397457e-08,3.9272238794296754e-07
1861,4.527325270231586e-08,4.244367310946018e-07
1862,2.6656119311851967e-08,3.3478277927656563e-07
1863,2.946826249683454e-08,3.5711537549332206e-07
1864,2.1576275877066564e-08,3.5433040324051035e-07
1865,1.835669261041062e-08,3.7890097814852197e-07
1866,1.65430835696867e-08,3.493510121188592e-07
1867,2.0867089389753346e-08,3.799751269184526e-07
1868,2.7663294210888978e-08,4.3816683970021586e-07
1869,1.269715022012008e-08,3.110801731764923e-07
1870,4.30053663791341e-08,3.7041954925598475e-07
