year,son_DET or_NOUN,son_DET sort_NOUN
1800,1.25452167765161e-06,7.049216577570405e-06
1801,1.0381955606320048e-06,7.322136610810048e-06
1802,9.95838888684375e-07,6.854504420061858e-06
1803,1.0044246694373982e-06,7.085582623744813e-06
1804,1.2977217114240602e-06,7.482292772920118e-06
1805,9.950072372699736e-07,7.871928332292555e-06
1806,7.578790048867745e-07,6.060150298026201e-06
1807,9.394952158459091e-07,6.303158585296842e-06
1808,1.0741191260876803e-06,7.056554238715762e-06
1809,9.82678247218871e-07,7.192753272988739e-06
1810,9.407309633502337e-07,8.368293151761463e-06
1811,1.0178731670862362e-06,5.83898187755949e-06
1812,6.107906798114016e-07,6.521324110053683e-06
1813,8.655982277616658e-07,8.515071016290676e-06
1814,9.471498465529749e-07,8.64392224286803e-06
1815,1.1220449911419905e-06,7.18270636212992e-06
1816,1.0614625640670283e-06,6.139332839438794e-06
1817,9.761595762824982e-07,7.242575037480492e-06
1818,8.750144031566265e-07,7.778568203775649e-06
1819,1.1613878356797613e-06,6.871026883459308e-06
1820,1.301752971194503e-06,8.657784519527922e-06
1821,8.924646834884697e-07,7.775783529950786e-06
1822,8.431543250253526e-07,7.665585997074231e-06
1823,9.872803836685762e-07,7.196572724410544e-06
1824,1.142745000848322e-06,6.610573350940285e-06
1825,1.0997997854644836e-06,6.3865876853697046e-06
1826,1.026130223347188e-06,5.7163819917605e-06
1827,6.885303113213226e-07,5.617006237912392e-06
1828,7.989074619629832e-07,5.342865506463568e-06
1829,9.207591245008473e-07,5.107040919938299e-06
1830,7.723258761416218e-07,5.668245563583696e-06
1831,6.89131281594868e-07,5.271386868344052e-06
1832,8.104451931778556e-07,4.8180220559856934e-06
1833,1.0911778209887757e-06,5.854366051494253e-06
1834,9.455880087827495e-07,5.6268551844596e-06
1835,8.417716941266917e-07,5.07105045244316e-06
1836,8.078341666717392e-07,4.4854286045392655e-06
1837,9.170500074873189e-07,4.37094697502971e-06
1838,9.076888827230789e-07,4.459542346069156e-06
1839,7.858418245021426e-07,4.451472051414385e-06
1840,8.917564064958583e-07,4.637133230289692e-06
1841,8.539329705570253e-07,3.918460976137794e-06
1842,1.0042272644561479e-06,4.274506693491276e-06
1843,9.297478165137818e-07,3.910965887143902e-06
1844,9.270180119091975e-07,4.404570475458058e-06
1845,8.05226888278554e-07,3.880490602625741e-06
1846,8.418772874385638e-07,3.7702988322507736e-06
1847,8.612977966393487e-07,3.979120563712968e-06
1848,8.302668921267298e-07,3.7522914908549865e-06
1849,8.320759299351721e-07,3.3903111926747442e-06
1850,8.106061244461671e-07,3.721727658501095e-06
1851,8.010203007557948e-07,3.7329351769699315e-06
1852,7.747549211067906e-07,3.5209028794724873e-06
1853,8.181546871099954e-07,3.323379999642384e-06
1854,6.785537687292731e-07,3.72217412802911e-06
1855,8.761753029773445e-07,3.7382064306257234e-06
1856,6.947788167011026e-07,3.3056354098448537e-06
1857,8.630508023799166e-07,3.332606276273964e-06
1858,8.015841483910435e-07,3.911025984848493e-06
1859,9.57837786197402e-07,3.989208735788452e-06
1860,9.07655541837471e-07,3.921731064338019e-06
1861,8.328392091527803e-07,3.964239056131191e-06
1862,8.588691873256948e-07,4.073868439036232e-06
1863,8.161210391932627e-07,3.814391988044008e-06
1864,7.091402398629043e-07,3.4339841405994775e-06
1865,8.458199216576645e-07,3.4237586348240256e-06
1866,8.037992778042735e-07,3.409335079140874e-06
1867,8.201251535666643e-07,3.2455603360403984e-06
1868,6.871364561789051e-07,3.2731606509628364e-06
1869,7.676892104235833e-07,3.6103856331237694e-06
1870,7.012741516376764e-07,3.47426006896967e-06
1871,6.691341827291808e-07,3.4996778666140926e-06
1872,6.839540471759165e-07,3.0871667036080908e-06
1873,5.596914229855088e-07,2.8229997894868575e-06
1874,6.10007602652729e-07,2.7734135201740173e-06
1875,6.60264239726871e-07,3.3287843947960027e-06
1876,6.511557675281665e-07,3.217689169332516e-06
1877,6.957918161631937e-07,3.402885809578038e-06
1878,5.284202395650084e-07,3.1548198791142568e-06
1879,6.763023017164471e-07,3.0491642704078004e-06
1880,6.052028771463824e-07,3.3501156764259576e-06
1881,6.066081423838909e-07,3.167610174159563e-06
1882,6.442412558982369e-07,2.860484642042138e-06
1883,5.207135540530317e-07,2.7394333201868903e-06
1884,6.03395125864381e-07,2.847972069730531e-06
