year,en_ADP air_NOUN,en_ADP cerf_NOUN
1800,9.023752340908686e-07,1.1633408902866904e-07
1801,4.4528114284680953e-07,5.476719877606229e-08
1802,2.506380951672327e-07,1.3427040812530322e-07
1803,4.5442902552039754e-07,1.1311967429428194e-07
1804,3.8808059343864443e-07,6.673997243744623e-08
1805,2.7575912708854844e-07,1.0234359471006371e-07
1806,3.7749865100522584e-07,2.1612518175118112e-07
1807,2.0498076924724273e-07,6.832692145408714e-08
1808,2.062127402169267e-07,1.7448769717987034e-07
1809,2.4397530085096264e-07,5.42167306605279e-08
1810,1.7550951270095538e-07,1.4976811257838563e-07
1811,2.0808736911348547e-07,1.5042460255187962e-07
1812,1.3869483117545656e-07,2.6672083208723052e-08
1813,2.0992913585260453e-07,1.0352669699287276e-07
1814,1.3530711839848664e-07,3.776012391654149e-08
1815,2.8320846801044297e-07,2.4275012222574333e-08
1816,1.7150268938337376e-07,4.4034472068688046e-08
1817,1.3077736582545185e-07,3.580808805025981e-08
1818,2.2888661255215936e-07,8.940882878505363e-08
1819,1.3870406800897683e-07,1.1386155129855524e-08
1820,1.8511710120350244e-07,6.526564533260171e-08
1821,8.776724769177235e-08,5.1279737789400315e-08
1822,1.0426640528748976e-07,3.709477880420309e-08
1823,9.586206450862278e-08,4.644862849900733e-08
1824,1.4905369027928828e-07,3.789500624407083e-08
1825,1.1270966804310945e-07,2.0252519661312363e-08
1826,9.776862741617265e-08,3.258954150986426e-08
1827,1.6222400611720644e-07,1.6591091167583727e-08
1828,1.4033620721054518e-07,5.5033806956039655e-09
1829,1.3717081515096652e-07,4.286587973467704e-09
1830,1.8786305133744463e-07,4.383470941782264e-08
1831,1.7306238930814288e-07,3.585977381703742e-08
1832,1.1094574858816486e-07,4.8707889277466165e-08
1833,1.4247862734073635e-07,3.0117434990373226e-08
1834,1.474855890748472e-07,4.0138484536100805e-08
1835,1.1722786297241328e-07,4.61348363955949e-08
1836,1.9624590608113834e-07,2.419469957715137e-08
1837,9.253994626146067e-08,2.01778832531474e-08
1838,1.7484688585867048e-07,5.996553653631054e-08
1839,1.3143973565110656e-07,1.677954131196202e-08
1840,1.1720227499623093e-07,3.758116307039927e-08
1841,1.4703056194775854e-07,9.695028069245382e-08
1842,1.1739464067517247e-07,5.0311989241436095e-08
1843,1.9729083622355148e-07,2.126487963494128e-08
1844,1.5203314940315238e-07,3.0187088384536764e-08
1845,1.9419193170167048e-07,1.897277535078956e-08
1846,1.0362467706137579e-07,3.5127008857216424e-08
1847,9.977463566457345e-08,4.0449176452739266e-08
1848,7.562508130831702e-08,2.011305433313737e-08
1849,4.776266493422554e-08,7.0387088157986e-08
1850,1.0726613819400654e-07,2.5119284430275002e-08
1851,9.28719168236114e-08,2.644269869733762e-08
1852,1.295598495154593e-07,3.1250618093281446e-08
1853,1.8632426690423642e-07,3.523439673358553e-08
1854,1.5327209934579145e-07,5.2476209710938804e-08
1855,1.645150575768639e-07,5.3600064831016425e-08
1856,1.0457922500206607e-07,4.0899795550330964e-08
1857,1.649950125415245e-07,3.3194262505364946e-08
1858,1.1793758891709416e-07,5.4809170979552846e-08
1859,9.522363986214089e-08,1.5785736939832873e-08
1860,2.2016254042078742e-07,4.165237399433863e-08
1861,1.787350306092783e-07,4.810283105172175e-08
1862,2.466820419877447e-07,3.885468302655681e-08
1863,1.4883970733681195e-07,2.3474717281146695e-08
1864,9.829192038068868e-08,5.2742006984018985e-08
1865,8.425251213362017e-08,5.5540765098172074e-08
1866,1.7954111974916032e-07,3.503241430280468e-08
1867,1.465549051005155e-07,4.949867715708933e-08
1868,1.1262912769094413e-07,2.420538258718352e-08
1869,1.3771524309813543e-07,2.7836058902330763e-08
1870,1.2614906896857292e-07,5.73404883574824e-08
1871,1.115223595693493e-07,3.82362392858937e-08
1872,1.5420715726577328e-07,5.3821318068969504e-08
1873,7.302925214558442e-08,4.549363552541763e-08
1874,1.69081439682639e-07,4.5407028526067705e-08
1875,1.0241533254795598e-07,9.7265964171811e-09
1876,1.6566080840441089e-07,1.9951848173604958e-08
1877,1.0699732011509866e-07,3.0924081073635534e-08
1878,1.6547102504871347e-07,3.32149880932775e-08
1879,6.659164597522249e-08,2.6270098985037293e-08
1880,1.1167052460514526e-07,5.0059199452334724e-08
1881,1.1713813058422673e-07,4.6018548971460405e-08
1882,1.0715170062347568e-07,2.662154119370541e-08
1883,1.131161653233903e-07,2.9068958795619437e-08
1884,1.7296446674919252e-07,1.386356363042296e-08
1885,1.4180398011376383e-07,2.0626034213933053e-08
1886,1.0906354014350583e-07,2.3877816557327236e-08
1887,8.161155939934162e-08,2.3504128032758587e-08
1888,1.0715638998348709e-07,2.7264643875923866e-08
1889,8.645888804892365e-08,2.0674951528576457e-08
1890,1.7238036653655087e-07,1.7041405009354804e-08
1891,2.42220368873447e-07,5.290602567153968e-08
1892,1.1847488301519604e-07,1.5671280939599797e-08
1893,1.422594238520425e-07,4.12613916367377e-08
1894,1.9282710761459043e-07,2.268554122331068e-08
1895,1.0352017021375559e-07,2.9491211250842753e-08
1896,7.194375445385148e-08,2.358811634906033e-08
1897,1.1070755412401212e-07,1.922815473509587e-08
1898,1.9181822974445595e-07,2.8857610079313645e-08
1899,1.0060192678906787e-07,4.311511148102909e-08
1900,1.3496738171525635e-07,2.595526638060619e-08
1901,1.279821263411307e-07,4.0797793643410074e-08
1902,2.533706344731712e-07,6.481574388317313e-08
1903,1.3608554705335507e-07,2.5381035939631147e-08
1904,1.4135264425618743e-07,2.3110889202371254e-08
1905,1.475977098319703e-07,4.18021492976095e-08
1906,2.052529679552606e-07,3.8581382866276215e-08
1907,2.2062798410438234e-07,3.497133665986141e-08
